day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.661589,2734.661589,5200.0,82521.921616,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0
0,SDC-1450,item:773474,28139.800941,28139.800941,2000000.0,314825406.366814,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,80346.726484,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,28086.397789,28086.397789,2000000.0,314797692.912644,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,77749.508451,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27473.519138,27473.519138,2000000.0,314769606.514855,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,75179.77913,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,82481.11433,none,,0.0
3,SDC-1450,item:773474,26818.241966,26818.241966,2000000.0,317869172.170562,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,72615.547552,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,82785.11433,none,,0.0
4,SDC-1450,item:773474,26274.924694,26274.924694,2000000.0,317842353.928596,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,70052.415522,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,82948.891464,none,,0.0
5,SDC-1450,item:773474,25860.53969,25860.53969,2000000.0,317821767.955343,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,67489.503401,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83300.0,none,,0.0
6,SDC-1450,item:773474,25554.393508,25554.393508,2000000.0,317830926.738887,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,64926.635263,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83300.0,none,,0.0
7,SDC-1450,item:773474,25331.039399,25331.039399,2000000.0,317833182.954329,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,59726.635263,capacity,,908.96044
8,M-1810,item:268091,4177.037447,4177.037447,11900.0,83300.0,none,,0.0
8,SDC-1450,item:773474,30261.067418,30261.067418,2000000.0,317810349.916118,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,54526.635263,capacity,,1027.163517
9,M-1810,item:268091,4917.578918,4917.578918,11900.0,79122.962553,none,,0.0
9,SDC-1450,item:773474,35235.766258,35235.766258,2000000.0,317806387.61774,none,,0.0
10,M-1430,item:268967,6250.804132,5200.0,5200.0,49326.635263,capacity,,1050.804132
10,M-1810,item:268091,5065.687212,5065.687212,11900.0,83300.0,none,,0.0
10,SDC-1450,item:773474,39224.459494,39224.459494,2000000.0,317786155.276055,none,,0.0
11,M-1430,item:268967,6255.532255,5200.0,5200.0,44126.635263,capacity,,1055.532255
11,M-1810,item:268091,5095.308871,5095.308871,11900.0,78234.312788,none,,0.0
11,SDC-1450,item:773474,42218.212963,42218.212963,2000000.0,317747116.26918,none,,0.0
12,M-1430,item:268967,6256.47788,5200.0,5200.0,38926.635263,capacity,,1056.47788
12,M-1810,item:268091,5101.233203,5101.233203,11900.0,78204.691129,none,,0.0
12,SDC-1450,item:773474,44414.227784,44414.227784,2000000.0,317704898.078902,none,,0.0
13,M-1430,item:268967,6256.667005,5200.0,5200.0,33726.635263,capacity,,1056.667005
13,M-1810,item:268091,5102.418069,5102.418069,11900.0,78204.691129,none,,0.0
13,SDC-1450,item:773474,46011.491911,46011.491911,2000000.0,317698088.76955,none,,0.0
14,M-1430,item:268967,4587.219115,4587.219115,5200.0,28526.635263,none,,0.0
14,M-1810,item:268091,6913.169328,6913.169328,11900.0,83300.0,none,,0.0
14,SDC-1450,item:773474,47169.553075,47169.553075,2000000.0,317652077.277639,none,,0.0
15,M-1430,item:268967,4253.329537,4253.329537,5200.0,23939.416147,none,,0.0
15,M-1810,item:268091,7275.31958,7275.31958,11900.0,76386.830672,none,,0.0
15,SDC-1450,item:773474,46824.916085,46824.916085,2000000.0,317625041.952753,none,,0.0
16,M-1430,item:268967,4186.551622,4186.551622,5200.0,19686.08661,none,,0.0
16,M-1810,item:268091,7347.74963,7347.74963,11900.0,83300.0,none,,0.0
16,SDC-1450,item:773474,45603.944919,45603.944919,2000000.0,317611712.574643,none,,0.0
17,M-1430,item:268967,4173.196039,4173.196039,5200.0,15499.534988,none,,0.0
17,M-1810,item:268091,7362.23564,7362.23564,11900.0,75952.25037,none,,0.0
17,SDC-1450,item:773474,44322.956762,44322.956762,2000000.0,331590917.531506,none,,0.0
18,M-1430,item:268967,4170.524922,4170.524922,5200.0,11326.338949,none,,0.0
18,M-1810,item:268091,7365.132842,7365.132842,11900.0,75937.76436,none,,0.0
18,SDC-1450,item:773474,43260.373961,43260.373961,2000000.0,331579460.903821,none,,0.0
19,M-1430,item:268967,4169.990699,4169.990699,5200.0,7155.814027,none,,0.0
19,M-1810,item:268091,7365.712283,7365.712283,11900.0,83300.0,none,,0.0
19,SDC-1450,item:773474,42448.831016,42448.831016,2000000.0,343004752.057689,none,,0.0
20,M-1430,item:268967,4169.883854,2985.823328,5200.0,2985.823328,input_shortage,item:038005,1184.060526
20,M-1810,item:268091,7365.828171,7365.828171,11900.0,83300.0,none,,0.0
20,SDC-1450,item:773474,41848.773076,41848.773076,2000000.0,342962839.003776,none,,0.0
21,M-1430,item:268967,3960.833914,0.0,5200.0,0.0,input_shortage,item:038005,3960.833914
21,M-1810,item:268091,10810.537063,10810.537063,11900.0,83300.0,none,,0.0
21,SDC-1450,item:773474,39124.463319,39124.463319,2000000.0,342920990.244601,none,,0.0
22,M-1430,item:268967,3919.023926,0.0,5200.0,0.0,input_shortage,item:038005,3919.023926
22,M-1810,item:268091,11499.478841,11499.478841,11900.0,72489.462937,none,,0.0
22,SDC-1450,item:773474,30754.708704,30754.708704,2000000.0,342881865.781282,none,,0.0
23,M-1430,item:268967,3910.661928,0.0,5200.0,0.0,input_shortage,item:038005,3910.661928
23,M-1810,item:268091,11637.267197,11637.267197,11900.0,83300.0,none,,0.0
23,SDC-1450,item:773474,22929.81604,22929.81604,2000000.0,342870477.697813,none,,0.0
24,M-1430,item:268967,3908.989529,0.0,5200.0,0.0,input_shortage,item:038005,3908.989529
24,M-1810,item:268091,11664.824868,11664.824868,11900.0,83300.0,none,,0.0
24,SDC-1450,item:773474,16778.874299,16778.874299,2000000.0,342847547.881773,none,,0.0
