day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,20.0,17.5,17.5,350.0,capacity,,2.5
0,M-1810,item:268091,20.0,20.0,25.0,215.517241,none,,0.0
1,M-1430,item:268967,23.0,17.5,17.5,332.5,capacity,,5.5
1,M-1810,item:268091,23.0,23.0,25.0,215.517241,none,,0.0
1,SDC-1450,item:773474,33.791513,33.791513,500000.0,110000000.0,none,,0.0
2,M-1430,item:268967,25.6,17.5,17.5,315.0,capacity,,8.1
2,M-1810,item:268091,25.6,25.0,25.0,192.517241,capacity,,0.6
2,SDC-1450,item:773474,42.758303,42.758303,500000.0,109999966.208487,none,,0.0
3,M-1430,item:268967,29.12,17.5,17.5,297.5,capacity,,11.62
3,M-1810,item:268091,29.12,25.0,25.0,215.517241,capacity,,4.12
3,SDC-1450,item:773474,44.551661,44.551661,500000.0,109999923.450184,none,,0.0
4,M-1430,item:268967,27.824,17.5,17.5,280.0,capacity,,10.324
4,M-1810,item:268091,27.824,25.0,25.0,215.517241,capacity,,2.824
4,SDC-1450,item:773474,44.910332,44.910332,500000.0,109999878.898524,none,,0.0
5,M-1430,item:268967,25.5648,17.5,17.5,262.5,capacity,,8.0648
5,M-1810,item:268091,25.5648,25.0,25.0,215.517241,capacity,,0.5648
5,SDC-1450,item:773474,44.982066,44.982066,500000.0,109999833.988192,none,,0.0
6,M-1430,item:268967,23.11296,17.5,17.5,245.0,capacity,,5.61296
6,M-1810,item:268091,23.11296,23.11296,25.0,215.517241,none,,0.0
6,SDC-1450,item:773474,44.996413,44.996413,500000.0,109999789.006125,none,,0.0
7,M-1430,item:268967,20.622592,17.5,17.5,245.0,capacity,,3.122592
7,M-1810,item:268091,20.622592,20.622592,25.0,192.404281,none,,0.0
7,SDC-1450,item:773474,44.999283,44.999283,500000.0,109999744.009712,none,,0.0
8,M-1430,item:268967,23.124518,17.5,17.5,227.5,capacity,,5.624518
8,M-1810,item:268091,23.124518,23.124518,25.0,192.404281,none,,0.0
8,SDC-1450,item:773474,44.999857,44.999857,500000.0,109999699.010429,none,,0.0
9,M-1430,item:268967,25.624904,17.5,17.5,210.0,capacity,,8.124904
9,M-1810,item:268091,25.624904,25.0,25.0,192.392723,capacity,,0.624904
9,SDC-1450,item:773474,44.999971,44.999971,500000.0,109999654.010573,none,,0.0
10,M-1430,item:268967,29.124981,17.5,17.5,192.5,capacity,,11.624981
10,M-1810,item:268091,29.124981,25.0,25.0,215.517241,capacity,,4.124981
10,SDC-1450,item:773474,44.999994,44.999994,500000.0,109999609.010602,none,,0.0
11,M-1430,item:268967,27.824996,17.5,17.5,179.660562,capacity,,10.324996
11,M-1810,item:268091,27.824996,25.0,25.0,190.517241,capacity,,2.824996
11,SDC-1450,item:773474,44.999999,44.999999,500000.0,109999564.010607,none,,0.0
12,M-1430,item:268967,25.564999,17.5,17.5,166.775058,capacity,,8.064999
12,M-1810,item:268091,25.564999,25.0,25.0,190.517241,capacity,,0.564999
12,SDC-1450,item:773474,45.0,45.0,500000.0,109999519.010608,none,,0.0
13,M-1430,item:268967,23.113,17.5,17.5,149.275058,capacity,,5.613
13,M-1810,item:268091,23.113,23.113,25.0,190.517241,none,,0.0
13,SDC-1450,item:773474,45.0,45.0,500000.0,109999474.010609,none,,0.0
14,M-1430,item:268967,20.6226,17.5,17.5,141.079652,capacity,,3.1226
14,M-1810,item:268091,20.6226,20.6226,25.0,192.404242,none,,0.0
14,SDC-1450,item:773474,45.0,45.0,500000.0,109999429.010609,none,,0.0
15,M-1430,item:268967,23.12452,17.5,17.5,123.579652,capacity,,5.62452
15,M-1810,item:268091,23.12452,23.12452,25.0,194.894641,none,,0.0
15,SDC-1450,item:773474,45.0,45.0,500000.0,109999384.010609,none,,0.0
16,M-1430,item:268967,25.624904,17.5,17.5,106.079652,capacity,,8.124904
16,M-1810,item:268091,25.624904,25.0,25.0,215.517241,capacity,,0.624904
16,SDC-1450,item:773474,45.0,45.0,500000.0,109999339.010609,none,,0.0
17,M-1430,item:268967,29.124981,17.5,17.5,88.579652,capacity,,11.624981
17,M-1810,item:268091,29.124981,25.0,25.0,190.517241,capacity,,4.124981
17,SDC-1450,item:773474,45.0,45.0,500000.0,109999294.010609,none,,0.0
18,M-1430,item:268967,27.824996,17.5,17.5,75.508399,capacity,,10.324996
18,M-1810,item:268091,27.824996,25.0,25.0,215.517241,capacity,,2.824996
18,SDC-1450,item:773474,45.0,45.0,500000.0,109999249.010609,none,,0.0
19,M-1430,item:268967,25.564999,17.5,17.5,62.66933,capacity,,8.064999
19,M-1810,item:268091,25.564999,25.0,25.0,190.517241,capacity,,0.564999
19,SDC-1450,item:773474,45.0,45.0,500000.0,109999204.010609,none,,0.0
20,M-1430,item:268967,23.113,17.5,17.5,54.491197,capacity,,5.613
20,M-1810,item:268091,23.113,23.113,25.0,190.517241,none,,0.0
20,SDC-1450,item:773474,45.0,45.0,500000.0,109999159.010609,none,,0.0
21,M-1430,item:268967,20.6226,17.5,17.5,46.31305,capacity,,3.1226
21,M-1810,item:268091,20.6226,20.6226,25.0,192.404242,none,,0.0
21,SDC-1450,item:773474,45.0,45.0,500000.0,109999114.010609,none,,0.0
22,M-1430,item:268967,23.12452,17.5,17.5,33.464696,capacity,,5.62452
22,M-1810,item:268091,23.12452,23.12452,25.0,194.894641,none,,0.0
22,SDC-1450,item:773474,45.0,45.0,500000.0,109999069.010609,none,,0.0
23,M-1430,item:268967,25.624904,17.5,17.5,25.286563,capacity,,8.124904
23,M-1810,item:268091,25.624904,25.0,25.0,215.517241,capacity,,0.624904
23,SDC-1450,item:773474,45.0,45.0,500000.0,109999024.010609,none,,0.0
24,M-1430,item:268967,29.124981,12.447496,17.5,12.447496,input_shortage,item:773474,16.677485
24,M-1810,item:268091,29.124981,25.0,25.0,215.517241,capacity,,4.124981
24,SDC-1450,item:773474,45.0,45.0,500000.0,109998979.010609,none,,0.0
25,M-1430,item:268967,27.824996,4.660934,17.5,4.660934,input_shortage,item:773474,23.164063
25,M-1810,item:268091,27.824996,25.0,25.0,190.517241,capacity,,2.824996
25,SDC-1450,item:773474,45.0,45.0,500000.0,109998934.010609,none,,0.0
26,M-1430,item:268967,25.564999,4.659076,17.5,4.659076,input_shortage,item:773474,20.905923
26,M-1810,item:268091,25.564999,25.0,25.0,215.517241,capacity,,0.564999
26,SDC-1450,item:773474,45.0,45.0,500000.0,109998889.010609,none,,0.0
27,M-1430,item:268967,23.113,0.0,17.5,-0.0,input_shortage,item:773474,23.113
27,M-1810,item:268091,23.113,23.113,25.0,215.517241,none,,0.0
27,SDC-1450,item:773474,45.0,45.0,500000.0,109998844.010609,none,,0.0
28,M-1430,item:268967,20.6226,4.660934,17.5,4.660934,input_shortage,item:773474,15.961666
28,M-1810,item:268091,20.6226,20.6226,25.0,215.517241,none,,0.0
28,SDC-1450,item:773474,45.0,45.0,500000.0,109998799.010609,none,,0.0
29,M-1430,item:268967,23.12452,0.0,17.5,0.0,input_shortage,item:773474,23.12452
29,M-1810,item:268091,23.12452,23.12452,25.0,215.517241,none,,0.0
29,SDC-1450,item:773474,45.0,45.0,500000.0,109998754.010609,none,,0.0
