day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,86.358434,41183.415,1925.0,1120.0,7.2163,382.13,5.46,3210.193735,6.26052,3.14244,19.90212,3.25815,635.04,1.098636,0.104748,0.065163,10.109806,0.156716,3.25815,3205.0,1930.0,14.355,1301.23,983400.0
1,86.052198,40127.43,1907.5,1102.5,7.077525,378.42,5.32,3041.23617,6.223168,3.114426,19.724698,3.21146,625.296,1.08743,0.103814,0.064229,10.075255,0.154848,3.21146,3182.0,1907.0,14.102,1291.892,983399.697904
2,85.745962,39071.445,1890.0,1085.0,6.93875,374.71,5.18,2872.278605,6.182568,3.083976,19.531848,3.16071,544.096,1.07525,0.102799,0.063214,10.0377,0.152818,3.16071,3157.0,1882.0,13.827,1281.742,983399.315645
3,85.439727,38015.46,1872.5,1067.5,6.799975,371.0,5.04,2703.32104,6.141968,3.053526,19.338998,3.10996,618.8,1.06307,0.101784,0.062199,10.000145,0.150788,3.10996,3132.0,1857.0,13.552,1271.592,983398.917353
4,85.133491,36959.475,1855.0,1050.0,6.6612,367.29,4.9,2534.363475,6.101368,3.023076,19.146148,3.05921,618.8,1.05089,0.100769,0.061184,9.96259,0.148758,3.05921,3107.0,1832.0,13.277,1261.442,983398.515854
5,84.827256,35903.49,1837.5,1032.5,6.522425,363.58,4.76,2365.40591,6.060768,2.992626,18.953298,3.00846,618.8,1.03871,0.099754,0.060169,9.925035,0.146728,3.00846,3082.0,1807.0,13.002,1251.292,983398.113715
6,84.52102,34847.505,1820.0,1015.0,6.38365,359.87,4.62,2196.448345,6.023233,2.964474,18.775005,2.961541,624.929106,1.02745,0.098816,0.059231,9.890315,0.144852,2.961541,3058.88704,1783.88704,12.747757,1241.908138,983397.711447
7,84.214784,33791.52,1802.5,997.5,6.244875,356.16,4.48,2196.448345,5.989741,2.939356,18.615922,2.919677,557.946927,1.017402,0.097979,0.058394,9.859336,0.145207,2.919677,3038.264448,1763.264448,12.520909,1233.535366,983397.309153
8,83.908549,32735.535,1785.0,980.0,6.1061,352.45,4.34,2027.49078,5.952187,2.91119,18.437539,2.872734,549.82067,1.006136,0.09704,0.057455,9.824598,0.143329,2.872734,3015.13993,1740.13993,12.266539,1224.146811,983396.906855
9,83.602313,31679.55,1767.5,962.5,5.967325,348.74,4.2,1858.533215,5.911587,2.88074,18.244689,2.821984,543.691564,0.993956,0.096025,0.05644,9.787043,0.141299,2.821984,2990.13993,1715.13993,11.991539,1213.996811,983396.504555
10,83.296078,30623.565,1750.0,945.0,5.82855,345.03,4.2,1689.57565,5.870987,2.85029,18.051839,2.771234,618.8,0.981776,0.09501,0.055425,9.749488,0.139269,2.771234,2965.13993,1690.13993,11.716539,1203.846811,983396.102255
11,82.989842,29567.58,1732.5,927.5,5.689775,341.32,4.06,1565.614498,5.830387,2.81984,17.858989,2.720484,537.6,0.969596,0.093995,0.05441,9.711933,0.137239,2.720484,2940.13993,1665.13993,11.441539,1193.696811,983395.699955
12,82.683607,28511.595,1715.0,910.0,5.551,337.61,3.92,1441.208594,5.789787,2.78939,17.820419,2.669734,537.6,0.957416,0.09298,0.053395,9.674378,0.135209,2.669734,2940.13993,1640.13993,11.166539,1183.546811,983395.297655
13,82.377371,28331.595,1697.5,892.5,5.412225,333.9,3.92,1272.251029,5.752252,2.761239,17.642126,2.622815,543.728977,0.946156,0.092041,0.052456,9.639658,0.133333,2.622815,2917.02693,1617.02693,10.912296,1174.162933,983394.895355
14,82.071135,27275.61,1680.0,892.5,5.27345,330.19,3.92,1193.126694,5.718761,2.73612,17.483043,2.580951,557.946772,0.936108,0.091204,0.052553,9.608679,0.131658,2.580951,2896.40433,1596.40433,10.685448,1165.790158,983394.493055
15,81.7649,28511.595,1662.5,875.0,5.134675,330.19,3.78,1024.169129,5.681206,2.738405,17.30466,2.534008,557.909354,0.924842,0.090265,0.051614,9.573941,0.13181,2.534008,2873.27981,1573.27981,10.706078,1156.401603,983394.090755
16,81.458664,27455.61,1645.0,857.5,4.9959,326.48,3.64,855.211564,5.640606,2.707955,17.11181,2.483258,618.8,0.912662,0.08925,0.052629,9.536386,0.13181,2.534008,2848.27981,1548.27981,10.431078,1146.251603,983393.688455
17,81.152429,26399.625,1627.5,840.0,4.857125,322.77,3.5,686.253999,5.600006,2.732315,17.11181,2.432508,537.6,0.900482,0.088235,0.051614,9.498831,0.12978,2.534008,2823.27981,1523.27981,10.156078,1136.101603,983393.286155
