day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.649687,22929.96,380.0,380.0,3.0134,80.56,3.04,3668.79284,0.4263,0.319725,2.024925,0.532875,0.12789,0.010658,0.010658,0.394327,0.021315,0.532875,262.5,262.5,2.8875,106.575,643.16
1,6.271705,21626.5728,358.4,358.4,2.842112,75.9808,2.8672,3460.250931,0.39788,0.29841,1.88993,0.49735,0.119364,0.009947,0.009947,0.368039,0.019894,0.49735,245.0,245.0,2.695,99.47,643.16
2,5.860124,20207.32896,334.88,334.88,2.655598,70.99456,2.67904,3233.171964,0.36946,0.277095,1.754935,0.461825,0.110838,0.009237,0.009237,0.341751,0.018473,0.461825,227.5,227.5,2.5025,92.365,586.32
3,5.422645,18698.77896,309.88,309.88,2.457348,69.93456,2.47904,2991.804014,0.34104,0.25578,1.61994,0.4263,0.102312,0.008526,0.008526,0.315462,0.018473,0.4263,210.0,210.0,2.31,85.26,643.16
4,4.985165,17190.22896,284.88,308.4,2.259098,64.63456,2.27904,2750.436064,0.31262,0.234465,1.61994,0.390775,0.093786,0.007816,0.007816,0.315462,0.017052,0.390775,210.0,210.0,2.1175,78.155,586.32
5,4.547686,15681.67896,259.88,283.4,2.219448,59.33456,2.07904,2689.068114,0.2842,0.234465,1.484945,0.35525,0.08526,0.007816,0.007105,0.289174,0.015631,0.35525,192.5,210.0,1.925,71.05,586.32
6,4.488189,14353.12896,234.88,258.4,2.021198,54.03456,2.05184,2447.700164,0.2842,0.21315,1.34995,0.319725,0.076734,0.007105,0.006395,0.262885,0.01421,0.390775,175.0,192.5,2.1175,63.945,586.32
7,4.488189,12844.57896,234.88,233.4,1.994236,53.31376,1.85184,2206.332214,0.25578,0.234465,1.214955,0.2842,0.068208,0.007105,0.006395,0.262885,0.012789,0.35525,175.0,175.0,1.925,63.945,643.16
8,4.059599,11366.682619,210.387999,228.907999,1.800015,58.407696,1.655904,1969.868848,0.25578,0.234465,1.07996,0.248675,0.076734,0.006395,0.005684,0.236597,0.011368,0.35525,192.5,175.0,1.7325,63.945,586.32
9,3.665895,10009.084151,212.889598,206.409598,1.819853,53.638035,1.475917,1752.653138,0.25578,0.21315,0.944965,0.21315,0.068208,0.006395,0.005684,0.210308,0.009947,0.319725,192.5,157.5,1.7325,56.84,586.32
10,4.094631,8772.092457,213.989918,185.909918,2.05379,54.592103,1.311919,1567.828868,0.22736,0.191835,1.214955,0.248675,0.068208,0.007105,0.004974,0.18402,0.009947,0.2842,210.0,157.5,1.7325,63.945,643.16
11,3.7149,10479.774918,217.289982,164.209982,1.88171,55.291716,1.49832,1579.958374,0.19894,0.191835,1.07996,0.2842,0.068208,0.006394,0.005684,0.18402,0.011368,0.248675,192.5,140.0,1.54,56.84,586.32
12,3.302969,12076.42501,253.629995,140.669995,1.8576,50.301239,1.31,1801.401672,0.19894,0.21315,1.07996,0.248675,0.059682,0.006394,0.005684,0.18402,0.009947,0.2842,175.0,140.0,1.3475,63.945,529.48
13,3.302969,12898.10221,228.629995,140.669995,1.8576,50.301239,1.11,2042.769622,0.17052,0.21315,1.07996,0.248675,0.051156,0.006395,0.004974,0.157731,0.009947,0.319725,157.5,157.5,1.155,56.84,643.16
14,2.86549,14135.74086,203.629995,115.669995,1.83143,49.347171,0.91,1801.401672,0.17052,0.21315,0.944965,0.21315,0.051156,0.005684,0.005684,0.131443,0.009947,0.319725,140.0,140.0,1.155,63.945,643.16
15,3.268181,15644.29086,202.149995,150.789995,1.63318,54.337648,1.089987,1560.033722,0.1421,0.21315,1.07996,0.21315,0.051156,0.005684,0.005684,0.131443,0.011368,0.2842,127.5,122.5,1.155,63.945,586.32
16,2.830702,15445.158399,177.149995,140.669995,1.43493,54.229953,0.889987,1545.93771,0.1421,0.191835,0.944965,0.248675,0.051156,0.004973,0.005684,0.131443,0.011368,0.248675,127.5,122.5,1.3475,56.84,643.16
17,3.60136,13936.608399,152.149995,137.269995,1.63318,48.929953,1.285923,1787.30566,0.11368,0.17052,0.80997,0.21315,0.04263,0.004973,0.004973,0.157731,0.012789,0.21315,110.0,105.0,1.155,56.84,586.32
18,3.17277,12458.71198,162.269994,112.777993,1.637209,43.737648,1.653985,1550.842283,0.17052,0.149205,0.674975,0.177625,0.051156,0.004263,0.004973,0.131443,0.011368,0.21315,127.5,105.0,1.155,56.84,586.32
19,3.158797,11101.113496,139.771593,90.279592,1.64531,38.967987,2.050477,1333.62657,0.1421,0.17052,0.53998,0.177625,0.059682,0.004263,0.004973,0.18402,0.011368,0.35525,110.0,87.5,1.3475,56.84,586.32
20,3.675028,9864.1218,119.271913,94.779912,1.86767,39.222442,1.88648,1135.70794,0.19894,0.149205,0.404985,0.177625,0.068208,0.003552,0.005684,0.18402,0.011368,0.319725,92.5,70.0,1.155,49.735,586.32
21,3.689001,8554.70426,97.571977,201.19798,1.695589,45.222055,1.908816,1584.436203,0.19894,0.12789,0.53998,0.21315,0.059682,0.002842,0.006395,0.236597,0.009947,0.2842,110.0,152.5,1.155,49.735,643.16
22,3.70566,8371.246046,152.149994,198.157672,1.687329,45.423882,1.720496,1598.532215,0.17052,0.149205,0.674975,0.248675,0.068208,0.003552,0.006395,0.210308,0.011368,0.319725,92.5,170.0,1.3475,49.735,586.32
23,3.70566,6862.696046,127.149994,230.268074,1.489079,45.423882,1.520496,1598.532215,0.1421,0.149205,0.674975,0.2842,0.059682,0.004263,0.005684,0.18402,0.011368,0.319725,105.0,152.5,1.54,42.63,586.32
24,3.268181,5354.146046,102.149994,215.895995,1.683301,54.79393,1.494096,2209.077306,0.1421,0.12789,0.53998,0.248675,0.051156,0.004263,0.005684,0.157731,0.009947,0.319725,87.5,157.5,1.3475,35.525,586.32
25,2.830702,8283.145954,102.149994,265.895995,1.845864,54.79393,1.294096,2177.216119,0.17052,0.149205,0.944965,0.21315,0.059682,0.003552,0.004973,0.18402,0.011368,0.2842,122.5,175.0,1.54,49.735,643.16
26,2.830702,9385.292186,107.769674,265.387997,1.826026,49.49393,1.294096,1935.848169,0.19894,0.12789,0.80997,0.21315,0.051156,0.003552,0.005684,0.236597,0.012789,0.319725,140.0,157.5,1.54,49.735,586.32
27,2.75195,7876.742186,107.261676,240.387997,1.799856,49.184407,1.267695,1694.480219,0.19894,0.12789,0.80997,0.21315,0.051156,0.003552,0.006395,0.236597,0.012789,0.2842,152.5,157.5,1.3475,49.735,586.32
