day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,152.5,32.5,120.0,32.5
5,C-XXXXX,item:268091,25.0,152.5,0.0,152.5,0.0
6,C-XXXXX,item:268967,22.5,142.5,0.0,142.5,0.0
6,C-XXXXX,item:268091,22.5,175.0,32.5,142.5,32.5
7,C-XXXXX,item:268967,20.0,162.5,0.0,162.5,0.0
7,C-XXXXX,item:268091,20.0,162.5,0.0,162.5,0.0
8,C-XXXXX,item:268967,23.75,186.25,16.25,170.0,16.25
8,C-XXXXX,item:268091,23.75,186.25,32.5,153.75,32.5
9,C-XXXXX,item:268967,26.25,196.25,0.0,196.25,0.0
9,C-XXXXX,item:268091,26.25,180.0,16.25,163.75,16.25
10,C-XXXXX,item:268967,30.0,226.25,0.0,226.25,0.0
10,C-XXXXX,item:268091,30.0,193.75,16.25,177.5,16.25
11,C-XXXXX,item:268967,27.5,253.75,48.75,205.0,48.75
11,C-XXXXX,item:268091,27.5,205.0,0.0,205.0,0.0
12,C-XXXXX,item:268967,25.0,230.0,0.0,230.0,0.0
12,C-XXXXX,item:268091,25.0,230.0,16.25,213.75,16.25
13,C-XXXXX,item:268967,22.5,252.5,32.5,220.0,32.5
13,C-XXXXX,item:268091,22.5,236.25,32.5,203.75,32.5
14,C-XXXXX,item:268967,20.0,240.0,32.5,207.5,32.5
14,C-XXXXX,item:268091,20.0,223.75,16.25,207.5,16.25
15,C-XXXXX,item:268967,23.75,231.25,0.0,231.25,0.0
15,C-XXXXX,item:268091,23.75,231.25,0.0,231.25,0.0
16,C-XXXXX,item:268967,26.25,257.5,32.5,225.0,32.5
16,C-XXXXX,item:268091,26.25,257.5,32.5,225.0,32.5
17,C-XXXXX,item:268967,30.0,255.0,0.0,255.0,0.0
17,C-XXXXX,item:268091,30.0,255.0,16.25,238.75,16.25
18,C-XXXXX,item:268967,27.5,282.5,0.0,282.5,0.0
18,C-XXXXX,item:268091,27.5,266.25,0.0,266.25,0.0
19,C-XXXXX,item:268967,25.0,307.5,48.75,258.75,48.75
19,C-XXXXX,item:268091,25.0,291.25,0.0,291.25,0.0
20,C-XXXXX,item:268967,22.5,281.25,0.0,281.25,0.0
20,C-XXXXX,item:268091,22.5,313.75,0.0,313.75,0.0
21,C-XXXXX,item:268967,20.0,301.25,32.5,268.75,32.5
21,C-XXXXX,item:268091,20.0,333.75,48.75,285.0,48.75
22,C-XXXXX,item:268967,23.75,292.5,32.5,260.0,32.5
22,C-XXXXX,item:268091,23.75,308.75,32.5,276.25,32.5
23,C-XXXXX,item:268967,26.25,286.25,0.0,286.25,0.0
23,C-XXXXX,item:268091,26.25,302.5,0.0,302.5,0.0
24,C-XXXXX,item:268967,30.0,316.25,16.25,300.0,16.25
24,C-XXXXX,item:268091,30.0,332.5,32.5,300.0,32.5
25,C-XXXXX,item:268967,27.5,327.5,0.0,327.5,0.0
25,C-XXXXX,item:268091,27.5,327.5,16.25,311.25,16.25
26,C-XXXXX,item:268967,25.0,352.5,16.25,336.25,16.25
26,C-XXXXX,item:268091,25.0,336.25,32.5,303.75,32.5
27,C-XXXXX,item:268967,22.5,358.75,0.0,358.75,0.0
27,C-XXXXX,item:268091,22.5,326.25,0.0,326.25,0.0
28,C-XXXXX,item:268967,20.0,378.75,48.75,330.0,48.75
28,C-XXXXX,item:268091,20.0,346.25,0.0,346.25,0.0
29,C-XXXXX,item:268967,23.75,353.75,0.0,353.75,0.0
29,C-XXXXX,item:268091,23.75,370.0,48.75,321.25,48.75
