day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,84.0,0.0,84.0,0.0,26.25,299.232,882635.1659,35018.1355,146.0031,27.4983,683.9887,0.0,0.0
1,84.0,0.0,168.0,42.63,51.45,0.0,881706.2692,34985.2492,0.0,0.0,0.0,0.0,0.0
2,168.0,0.0,336.0,0.0,51.45,0.0,880734.7425,34952.3613,0.0,0.0,0.0,0.0,0.0
3,168.0,0.0,504.0,9.8438,46.41,0.0,879768.0647,34919.4749,0.0,0.0,0.0,0.0,0.0
4,168.0,0.0,672.0,0.0,41.37,0.0,879470.5368,34913.9497,0.0,0.0,0.0,683.9887,0.0
5,168.0,0.0,840.0,0.0,37.338,0.0,878485.0243,34881.0662,0.0,0.0,0.0,0.0,0.0
6,168.0,0.0,1008.0,9.8438,34.314,0.0,877506.3586,34848.1837,0.0,0.0,0.0,0.0,0.0
7,168.0,0.0,1176.0,0.0,32.0964,1381.8792,874673.1458,34764.6985,557.5794,120.5967,1589.4775,0.0,3986.9437
8,168.0,7.3828,1336.6172,7.3828,52.6193,0.0,873702.7779,34731.8102,0.0,0.0,0.0,0.0,0.0
9,168.0,0.0,1504.6172,298.41,51.45,0.0,873029.6613,34698.9341,0.0,0.0,0.0,0.0,0.0
10,168.0,0.0,1672.6172,94.5,46.1761,0.0,872147.4079,34666.0516,0.0,0.0,0.0,0.0,0.0
11,168.0,0.0,1840.6172,0.0,41.1361,0.0,872755.1371,34696.746,0.0,0.0,0.0,1589.4775,0.0
12,84.0,0.0,1924.6172,68.9062,37.1509,0.0,871838.3454,34663.8626,0.0,0.0,0.0,0.0,0.0
13,84.0,7.3828,2001.2344,7.3828,34.1737,0.0,870849.6969,34630.9801,0.0,0.0,0.0,0.0,0.0
14,84.0,0.0,2085.2344,68.9062,31.9935,1878.2954,867423.4001,34525.7553,821.4014,117.3176,1688.9775,0.0,8470.8847
15,84.0,0.0,2169.2344,0.0,52.5987,0.0,866453.0118,34492.867,0.0,0.0,0.0,0.0,0.0
16,84.0,0.0,2253.2344,298.41,51.45,0.0,865779.8952,34459.991,0.0,0.0,0.0,0.0,0.0
17,84.0,103.3594,2233.875,172.2656,46.1803,0.0,864872.0521,34427.1047,0.0,0.0,0.0,0.0,0.0
18,84.0,0.0,2317.875,151.9188,41.1403,0.0,865731.2041,34461.7825,0.0,0.0,0.0,1688.9775,0.0
19,84.0,0.0,2401.875,0.1012,37.1542,0.0,864745.6107,34428.9032,0.0,0.0,0.0,0.0,0.0
20,84.0,0.0,2485.875,0.0,34.1762,0.0,863756.9646,34396.0207,0.0,0.0,0.0,0.0,0.0
21,84.0,0.0,2569.875,0.0,31.9953,1930.1842,860192.5782,34286.8171,851.0325,129.2498,1699.635,0.0,13097.9166
22,84.0,0.0,2653.875,0.0,52.5991,0.0,859222.1903,34253.9288,0.0,0.0,0.0,0.0,0.0
23,84.0,0.0,2737.875,370.0987,51.45,0.0,858620.7624,34221.164,0.0,0.0,0.0,0.0,0.0
24,84.0,51.6797,2770.1953,201.5859,46.1802,0.0,857793.9193,34191.5177,0.0,0.0,0.0,0.0,0.0
25,84.0,0.0,2854.1953,0.0,41.1402,0.0,858511.81,34226.1926,0.0,0.0,0.0,1699.635,0.0
26,84.0,0.0,2938.1953,0.0,37.1541,0.0,857526.1153,34193.3091,0.0,0.0,0.0,0.0,0.0
27,84.0,0.0,3022.1953,0.016,34.1761,0.0,856537.4851,34160.4273,0.0,0.0,0.0,0.0,0.0
28,84.0,51.6797,3054.5156,1239.7669,31.9953,1923.6087,854169.9533,34098.7475,850.1278,129.184,1699.635,0.0,17774.1047
29,84.0,51.6797,3086.8359,51.6797,52.5991,0.0,853199.5654,34065.8592,0.0,0.0,0.0,0.0,0.0
