day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,20.0,20.0,25.0,775.0,none,,0.0
0,M-1810,item:268091,20.0,20.0,25.0,250.0,none,,0.0
1,M-1430,item:268967,23.0,23.0,25.0,755.0,none,,0.0
1,M-1810,item:268091,23.0,23.0,25.0,250.0,none,,0.0
1,SDC-1450,item:773474,36.0,36.0,500000.0,123500000.0,none,,0.0
2,M-1430,item:268967,21.0,21.0,25.0,732.0,none,,0.0
2,M-1810,item:268091,21.0,21.0,25.0,227.0,none,,0.0
2,SDC-1450,item:773474,36.0,36.0,500000.0,123499964.0,none,,0.0
3,M-1430,item:268967,19.4,19.4,25.0,711.0,none,,0.0
3,M-1810,item:268091,19.4,19.4,25.0,206.0,none,,0.0
3,SDC-1450,item:773474,28.8,28.8,500000.0,123499928.0,none,,0.0
4,M-1430,item:268967,13.2,13.2,25.0,691.6,none,,0.0
4,M-1810,item:268091,13.2,13.2,25.0,186.6,none,,0.0
4,SDC-1450,item:773474,21.6,21.6,500000.0,123499899.2,none,,0.0
5,M-1430,item:268967,7.32,7.32,25.0,678.4,none,,0.0
5,M-1810,item:268091,7.32,7.32,25.0,173.4,none,,0.0
5,SDC-1450,item:773474,15.84,15.84,500000.0,123499877.6,none,,0.0
6,M-1430,item:268967,2.68,2.68,25.0,671.08,none,,0.0
6,M-1810,item:268091,2.68,2.68,25.0,166.08,none,,0.0
6,SDC-1450,item:773474,11.52,11.52,500000.0,123499861.76,none,,0.0
7,SDC-1450,item:773474,8.352,8.352,500000.0,123499850.24,none,,0.0
8,M-1430,item:268967,19.0,19.0,25.0,668.4,none,,0.0
8,M-1810,item:268091,19.0,19.0,25.0,163.4,none,,0.0
8,SDC-1450,item:773474,37.6704,37.6704,500000.0,123499841.888,none,,0.0
9,M-1430,item:268967,21.0,21.0,25.0,649.4,none,,0.0
9,M-1810,item:268091,21.0,21.0,25.0,231.0,none,,0.0
9,SDC-1450,item:773474,36.0,36.0,500000.0,123499804.2176,none,,0.0
10,M-1430,item:268967,20.2,20.2,25.0,647.043735,none,,0.0
10,M-1810,item:268091,20.2,20.2,25.0,210.0,none,,0.0
10,SDC-1450,item:773474,28.46592,28.46592,500000.0,123499768.2176,none,,0.0
11,M-1430,item:268967,14.0,14.0,25.0,626.843735,none,,0.0
11,M-1810,item:268091,14.0,14.0,25.0,189.8,none,,0.0
11,SDC-1450,item:773474,21.26592,21.26592,500000.0,123499739.75168,none,,0.0
12,M-1430,item:268967,7.96,7.96,25.0,612.843735,none,,0.0
12,M-1810,item:268091,7.96,7.96,25.0,175.8,none,,0.0
12,SDC-1450,item:773474,15.572736,15.572736,500000.0,123499718.48576,none,,0.0
13,M-1430,item:268967,3.16,3.16,25.0,604.883735,none,,0.0
13,M-1810,item:268091,3.16,3.16,25.0,167.84,none,,0.0
13,SDC-1450,item:773474,11.319552,11.319552,500000.0,123499702.913024,none,,0.0
14,SDC-1450,item:773474,8.205005,8.205005,500000.0,123499691.593472,none,,0.0
15,M-1430,item:268967,19.0,19.0,25.0,601.723735,none,,0.0
15,M-1810,item:268091,19.0,19.0,25.0,164.68,none,,0.0
15,SDC-1450,item:773474,37.641001,37.641001,500000.0,123499683.388467,none,,0.0
16,M-1430,item:268967,21.0,21.0,25.0,582.723735,none,,0.0
16,M-1810,item:268091,21.0,21.0,25.0,231.0,none,,0.0
16,SDC-1450,item:773474,36.0,36.0,500000.0,123499645.747466,none,,0.0
17,M-1430,item:268967,20.2,20.2,25.0,561.723735,none,,0.0
17,M-1810,item:268091,20.2,20.2,25.0,210.0,none,,0.0
17,SDC-1450,item:773474,28.4718,28.4718,500000.0,123499609.747466,none,,0.0
18,M-1430,item:268967,14.0,14.0,25.0,557.900391,none,,0.0
18,M-1810,item:268091,14.0,14.0,25.0,189.8,none,,0.0
18,SDC-1450,item:773474,21.2718,21.2718,500000.0,123499581.275666,none,,0.0
19,M-1430,item:268967,7.96,7.96,25.0,543.900391,none,,0.0
19,M-1810,item:268091,7.96,7.96,25.0,175.8,none,,0.0
19,SDC-1450,item:773474,15.57744,15.57744,500000.0,123499560.003867,none,,0.0
20,M-1430,item:268967,3.16,3.16,25.0,535.940391,none,,0.0
20,M-1810,item:268091,3.16,3.16,25.0,167.84,none,,0.0
20,SDC-1450,item:773474,11.32308,11.32308,500000.0,123499544.426427,none,,0.0
21,SDC-1450,item:773474,8.207592,8.207592,500000.0,123499533.103347,none,,0.0
22,M-1430,item:268967,19.0,19.0,25.0,532.780391,none,,0.0
22,M-1810,item:268091,19.0,19.0,25.0,164.68,none,,0.0
22,SDC-1450,item:773474,37.641518,37.641518,500000.0,123499524.895755,none,,0.0
23,M-1430,item:268967,21.0,21.0,25.0,513.780391,none,,0.0
23,M-1810,item:268091,21.0,21.0,25.0,231.0,none,,0.0
23,SDC-1450,item:773474,36.0,36.0,500000.0,123499487.254237,none,,0.0
24,M-1430,item:268967,20.2,20.2,25.0,492.780391,none,,0.0
24,M-1810,item:268091,20.2,20.2,25.0,210.0,none,,0.0
24,SDC-1450,item:773474,28.471696,28.471696,500000.0,123499451.254237,none,,0.0
25,M-1430,item:268967,14.0,14.0,25.0,472.580391,none,,0.0
25,M-1810,item:268091,14.0,14.0,25.0,189.8,none,,0.0
25,SDC-1450,item:773474,21.271696,21.271696,500000.0,123499422.78254,none,,0.0
26,M-1430,item:268967,7.96,7.96,25.0,458.580391,none,,0.0
26,M-1810,item:268091,7.96,7.96,25.0,175.8,none,,0.0
26,SDC-1450,item:773474,15.577357,15.577357,500000.0,123499401.510844,none,,0.0
27,M-1430,item:268967,3.16,3.16,25.0,450.620391,none,,0.0
27,M-1810,item:268091,3.16,3.16,25.0,167.84,none,,0.0
