day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,20.0,20.0
0,M-1810,item:268091,24.0,24.0
1,M-1430,item:268967,20.0,40.0
1,M-1810,item:268091,24.0,48.0
2,M-1430,item:268967,8.8,48.8
2,M-1810,item:268091,10.56,58.56
3,M-1430,item:268967,6.56,55.36
3,M-1810,item:268091,7.872,66.432
4,M-1430,item:268967,6.112,61.472
4,M-1810,item:268091,7.3344,73.7664
5,M-1430,item:268967,6.0224,67.4944
5,M-1810,item:268091,7.22688,80.99328
6,M-1430,item:268967,6.00448,73.49888
6,M-1810,item:268091,7.205376,88.198656
7,M-1430,item:268967,6.000896,79.499776
7,M-1810,item:268091,7.201075,95.399731
8,M-1430,item:268967,6.000179,85.499955
8,M-1810,item:268091,7.200215,102.599946
9,M-1430,item:268967,6.000036,91.499991
9,M-1810,item:268091,7.200043,109.799989
10,M-1430,item:268967,6.000007,97.499998
10,M-1810,item:268091,7.200009,116.999998
11,M-1430,item:268967,6.000001,103.5
11,M-1810,item:268091,7.200002,124.2
12,M-1430,item:268967,6.0,109.5
12,M-1810,item:268091,7.2,131.4
13,M-1430,item:268967,6.0,115.5
13,M-1810,item:268091,7.2,138.6
14,M-1430,item:268967,17.2,132.7
14,M-1810,item:268091,20.64,159.24
15,M-1430,item:268967,19.44,152.14
15,M-1810,item:268091,23.328,182.568
16,M-1430,item:268967,19.888,172.028
16,M-1810,item:268091,23.8656,206.4336
17,M-1430,item:268967,19.9776,192.0056
17,M-1810,item:268091,23.97312,230.40672
18,M-1430,item:268967,19.99552,212.00112
18,M-1810,item:268091,23.994624,254.401344
19,M-1430,item:268967,19.999104,232.000224
19,M-1810,item:268091,23.998925,278.400269
20,M-1430,item:268967,19.999821,252.000045
20,M-1810,item:268091,23.999785,302.400054
21,M-1430,item:268967,19.999964,272.000009
21,M-1810,item:268091,23.999957,326.400011
22,M-1430,item:268967,19.999993,292.000002
22,M-1810,item:268091,23.999991,350.400002
23,M-1430,item:268967,19.999999,312.0
23,M-1810,item:268091,23.999998,374.4
24,M-1430,item:268967,20.0,332.0
24,M-1810,item:268091,24.0,398.4
25,M-1430,item:268967,20.0,352.0
25,M-1810,item:268091,24.0,422.4
26,M-1430,item:268967,20.0,372.0
26,M-1810,item:268091,24.0,446.4
27,M-1430,item:268967,20.0,392.0
27,M-1810,item:268091,24.0,470.4
28,M-1430,item:268967,20.0,412.0
28,M-1810,item:268091,24.0,494.4
29,M-1430,item:268967,20.0,432.0
29,M-1810,item:268091,24.0,518.4
