day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,6.99967,6.754682
0,M-1430,item:042342,24136.8,23292.012
0,M-1430,item:333362,400.0,386.0
0,M-1430,item:344135,400.0,386.0
0,M-1430,item:708073,3.172,3.06098
0,M-1430,item:730384,84.8,81.832
0,M-1430,item:734545,3.2,3.088
0,M-1430,item:773474,3861.8872,3726.721148
0,M-1810,item:001757,0.6496,0.610624
0,M-1810,item:001848,0.4872,0.457968
0,M-1810,item:001893,3.0856,2.900464
0,M-1810,item:002612,0.812,0.76328
0,M-1810,item:016332,0.19488,0.183187
0,M-1810,item:029313,0.01624,0.015266
0,M-1810,item:039668,0.01624,0.015266
0,M-1810,item:049371,0.60088,0.564827
0,M-1810,item:055703,0.03248,0.030531
0,M-1810,item:099439,0.812,0.76328
0,M-1810,item:338928,400.0,376.0
0,M-1810,item:338929,400.0,376.0
0,M-1810,item:426331,4.4,4.136
0,M-1810,item:693055,162.4,152.656
0,M-1810,item:693710,700.0,622.048
1,M-1430,item:038005,6.754682,6.490094
1,M-1430,item:042342,23292.012,22379.64096
1,M-1430,item:333362,386.0,370.88
1,M-1430,item:344135,386.0,370.88
1,M-1430,item:708073,3.06098,2.941078
1,M-1430,item:730384,81.832,78.62656
1,M-1430,item:734545,3.088,2.96704
1,M-1430,item:773474,3726.721148,3580.741812
1,M-1810,item:001757,0.610624,0.574246
1,M-1810,item:001848,0.457968,0.430685
1,M-1810,item:001893,2.900464,2.72767
1,M-1810,item:002612,0.76328,0.717808
1,M-1810,item:016332,0.183187,0.172274
1,M-1810,item:029313,0.015266,0.014356
1,M-1810,item:039668,0.015266,0.014356
1,M-1810,item:049371,0.564827,0.531178
1,M-1810,item:055703,0.030531,0.028712
1,M-1810,item:099439,0.76328,0.717808
1,M-1810,item:338928,376.0,353.6
1,M-1810,item:338929,376.0,353.6
1,M-1810,item:426331,4.136,3.8896
1,M-1810,item:693055,152.656,143.5616
1,M-1810,item:693710,700.0,627.2448
2,M-1430,item:038005,6.490094,6.201988
2,M-1430,item:042342,22379.64096,21386.170272
2,M-1430,item:333362,370.88,354.416
2,M-1430,item:344135,370.88,354.416
2,M-1430,item:708073,2.941078,2.810519
2,M-1430,item:730384,78.62656,75.136192
2,M-1430,item:734545,2.96704,2.835328
2,M-1430,item:773474,3580.741812,3421.786535
2,M-1810,item:001757,0.574246,0.540987
2,M-1810,item:001848,0.430685,0.40574
2,M-1810,item:001893,2.72767,2.569688
2,M-1810,item:002612,0.717808,0.676234
2,M-1810,item:016332,0.172274,0.162296
2,M-1810,item:029313,0.014356,0.013525
2,M-1810,item:039668,0.014356,0.013525
2,M-1810,item:049371,0.531178,0.500413
2,M-1810,item:055703,0.028712,0.027049
2,M-1810,item:099439,0.717808,0.676234
2,M-1810,item:338928,353.6,333.12
2,M-1810,item:338929,353.6,333.12
2,M-1810,item:426331,3.8896,3.66432
2,M-1810,item:693055,143.5616,135.24672
2,M-1810,item:693710,627.2448,560.72576
3,M-1430,item:038005,6.201988,5.889579
3,M-1430,item:042342,21386.170272,20308.896614
3,M-1430,item:333362,354.416,336.5632
3,M-1430,item:344135,354.416,336.5632
3,M-1430,item:708073,2.810519,2.668946
3,M-1430,item:730384,78.104192,74.319398
3,M-1430,item:734545,2.835328,2.692506
3,M-1430,item:773474,3421.786535,3249.422785
3,M-1810,item:001757,0.540987,0.505753
3,M-1810,item:001848,0.40574,0.379314
3,M-1810,item:001893,2.569688,2.402325
3,M-1810,item:002612,0.676234,0.632191
3,M-1810,item:016332,0.162296,0.151726
3,M-1810,item:029313,0.013525,0.012644
3,M-1810,item:039668,0.013525,0.012644
3,M-1810,item:049371,0.534062,0.50147
3,M-1810,item:055703,0.027049,0.025288
3,M-1810,item:099439,0.676234,0.632191
3,M-1810,item:338928,333.12,311.424
3,M-1810,item:338929,333.12,311.424
3,M-1810,item:426331,3.66432,3.425664
3,M-1810,item:693055,135.24672,126.438144
3,M-1810,item:693710,700.0,629.531392
4,M-1430,item:038005,5.889579,5.55271
4,M-1430,item:042342,20308.896614,19147.279323
