day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,20.0,20.0
0,M-1810,item:268091,24.0,24.0
1,M-1430,item:268967,20.0,40.0
1,M-1810,item:268091,24.0,48.0
2,M-1430,item:268967,20.0,60.0
2,M-1810,item:268091,24.0,72.0
3,M-1430,item:268967,25.0,85.0
3,M-1810,item:268091,25.0,97.0
4,M-1430,item:268967,25.0,110.0
4,M-1810,item:268091,25.0,122.0
5,M-1430,item:268967,25.0,135.0
5,M-1810,item:268091,25.0,147.0
6,M-1430,item:268967,25.0,160.0
6,M-1810,item:268091,25.0,172.0
7,M-1430,item:268967,25.0,185.0
7,M-1810,item:268091,25.0,197.0
8,M-1430,item:268967,25.0,210.0
8,M-1810,item:268091,25.0,222.0
9,M-1430,item:268967,25.0,235.0
9,M-1810,item:268091,25.0,247.0
10,M-1430,item:268967,25.0,260.0
10,M-1810,item:268091,25.0,272.0
11,M-1430,item:268967,23.99999,283.99999
11,M-1810,item:268091,25.0,297.0
12,M-1430,item:268967,20.799998,304.799988
12,M-1810,item:268091,24.959998,321.959998
13,M-1430,item:268967,20.16,324.959987
13,M-1810,item:268091,24.192,346.151997
14,M-1430,item:268967,20.032,344.991987
14,M-1810,item:268091,24.0384,370.190397
15,M-1430,item:268967,20.0064,364.998387
15,M-1810,item:268091,24.00768,394.198077
16,M-1430,item:268967,20.00128,384.999667
16,M-1810,item:268091,24.001536,418.199613
17,M-1430,item:268967,20.000256,404.999923
17,M-1810,item:268091,24.000307,442.19992
18,M-1430,item:268967,20.000051,424.999974
18,M-1810,item:268091,24.000061,466.199982
19,M-1430,item:268967,20.00001,444.999985
19,M-1810,item:268091,24.000012,490.199994
20,M-1430,item:268967,20.000002,464.999987
20,M-1810,item:268091,24.000002,514.199996
21,M-1430,item:268967,20.0,484.999987
21,M-1810,item:268091,24.0,538.199997
22,M-1430,item:268967,20.0,504.999987
22,M-1810,item:268091,24.0,562.199997
23,M-1430,item:268967,20.0,524.999987
23,M-1810,item:268091,24.0,586.199997
24,M-1430,item:268967,20.0,544.999987
24,M-1810,item:268091,24.0,610.199997
25,M-1430,item:268967,20.0,564.999987
25,M-1810,item:268091,24.0,634.199997
26,M-1430,item:268967,20.0,584.999987
26,M-1810,item:268091,24.0,658.199997
27,M-1430,item:268967,20.0,604.999987
27,M-1810,item:268091,24.0,682.199997
28,M-1430,item:268967,20.0,624.999987
28,M-1810,item:268091,24.0,706.199997
29,M-1430,item:268967,20.0,644.999987
29,M-1810,item:268091,24.0,730.199997
