day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.754682,23292.012,386.0,386.0,3.06098,81.832,3.088,3726.721148,0.622317,0.466738,2.956005,0.777896,0.186695,0.015558,0.015558,0.575643,0.031116,0.777896,383.2,383.2,4.2152,155.5792,645.4336
1,6.509693,22447.224,372.0,372.0,2.94996,78.864,2.976,3591.555096,0.595034,0.446275,2.82641,0.743792,0.17851,0.014876,0.014876,0.550406,0.029752,0.743792,366.4,366.4,4.0304,148.7584,645.4336
2,6.072214,20938.674,347.0,347.0,2.75171,73.564,2.776,3350.187146,0.554434,0.415825,2.63356,0.693042,0.16633,0.013861,0.013861,0.512851,0.027722,0.693042,341.4,341.4,3.7554,138.6084,564.2336
3,5.634735,19430.124,322.0,322.0,2.55346,71.232,2.576,3108.819196,0.513834,0.385375,2.44071,0.642292,0.15415,0.012846,0.012846,0.500533,0.025692,0.642292,316.4,316.4,3.4804,128.4584,618.8
4,5.31471,18326.589504,328.712,303.712,2.408436,67.354944,2.429696,2932.253713,0.478194,0.358645,2.401016,0.597742,0.143458,0.011955,0.012637,0.467566,0.02391,0.597742,311.2544,311.2544,3.238998,119.548486,628.720691
5,5.026715,17333.505005,312.2544,287.2544,2.388947,63.865933,2.298035,2908.526278,0.486721,0.334591,2.248672,0.557652,0.142021,0.011153,0.011835,0.437899,0.022306,0.557652,308.30528,291.50528,3.021758,111.530344,564.575549
6,4.834224,16004.955005,287.2544,262.2544,2.190697,58.565933,2.410035,2667.158328,0.446121,0.304141,2.055822,0.506902,0.129841,0.010138,0.01082,0.400344,0.022306,0.541006,283.30528,316.50528,2.746758,101.380344,554.654858
7,4.396745,14496.405005,287.2544,237.2544,2.103467,56.233933,2.210035,2425.790378,0.432805,0.294153,1.862972,0.456152,0.117661,0.009925,0.011502,0.362789,0.020276,0.52436,258.30528,291.50528,2.471758,98.051144,618.8
8,4.083656,13416.786409,269.362739,233.362739,2.358087,52.440901,2.066902,2253.051439,0.433577,0.294733,1.697352,0.497422,0.107201,0.009053,0.010631,0.330537,0.018533,0.576075,283.780887,270.035287,2.510588,109.634327,549.065463
9,3.811048,12476.75869,270.242007,236.072407,2.23455,49.138294,2.142275,2102.647035,0.403218,0.271963,1.553147,0.459473,0.098093,0.009991,0.009872,0.302455,0.017015,0.588876,265.086888,268.141288,2.304954,102.044563,569.547355
