day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,126.081563,68186.46,2905.0,1755.0,11.53815,578.76,9.04,6082.47234,6.50412,3.32514,21.05922,3.56265,665.84,1.171716,0.110838,0.071253,10.335136,0.168896,3.56265,3355.0,2080.0,16.005,1362.13,1010220.0
1,125.679082,66798.594,2882.0,1732.0,11.35576,573.884,8.856,5860.413826,6.466768,3.297126,20.881798,3.51596,656.096,1.16051,0.109904,0.070319,10.300585,0.167028,3.51596,3332.0,2057.0,15.752,1352.792,1010219.67816
2,125.311599,65531.412,2861.0,1711.0,11.18923,569.432,8.688,5657.664748,6.432664,3.271548,20.719804,3.47333,587.888,1.150279,0.109052,0.069467,10.269039,0.165323,3.47333,3311.0,2036.0,15.521,1344.266,1010219.35632
3,124.972115,64360.7772,2841.6,1691.6,11.035388,565.3192,8.5328,5470.363219,6.401158,3.247919,20.570152,3.433948,524.8768,1.140828,0.108264,0.068679,10.239897,0.163748,3.433948,3291.6,2016.6,15.3076,1336.3896,1010219.098848
4,124.741126,63564.2628,2828.4,1678.4,10.930712,562.5208,8.4272,5342.920941,6.379722,3.231841,20.468328,3.407152,482.0032,1.134396,0.107728,0.068143,10.220067,0.162676,3.407152,3278.4,2003.4,15.1624,1331.0304,1010218.905744
5,124.613032,63122.55936,2821.08,1671.08,10.872664,560.96896,8.36864,5272.248405,6.367834,3.222925,20.411861,3.392292,458.22784,1.13083,0.107431,0.067846,10.209071,0.162082,3.392292,3271.08,1996.08,15.08188,1328.05848,1010218.764134
6,124.566134,62960.8428,2818.4,1668.4,10.851412,560.4008,8.3472,5246.373761,6.363482,3.219661,20.391188,3.386852,449.5232,1.129524,0.107322,0.067737,10.205045,0.161864,3.386852,3268.4,1993.4,15.0524,1326.9704,1010218.661146
7,124.566134,62960.8428,2818.4,1668.4,10.851412,560.4008,8.3472,5426.373761,6.363482,3.219661,20.391188,3.386852,449.5232,1.129524,0.107322,0.067737,10.205045,0.161864,3.386852,3268.4,1993.4,15.0524,1326.9704,1010218.586479
8,124.23365,61814.3448,2799.4,1649.4,10.700742,556.3728,8.1952,5242.934119,6.332626,3.196519,20.244622,3.348282,669.088,1.120268,0.106551,0.066966,10.176504,0.160321,3.348282,3249.4,1974.4,14.8434,1319.2564,1010218.249705
9,123.866167,60547.1628,2778.4,1628.4,10.534212,551.9208,8.0272,5040.185041,6.298522,3.170941,20.082628,3.305652,600.88,1.110036,0.105698,0.066113,10.144957,0.158616,3.305652,3228.4,1953.4,14.6124,1310.7304,1010217.927865
