day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.649687,22929.96,380.0,380.0,3.0134,80.56,3.04,3668.79284,0.610624,0.457968,2.900464,0.76328,0.183187,0.015266,0.015266,0.564827,0.030531,0.76328,376.0,376.0,4.136,152.656,622.048
1,6.271705,21626.5728,358.4,358.4,2.842112,75.9808,2.8672,3460.250931,0.574246,0.430685,2.72767,0.717808,0.172274,0.014356,0.014356,0.531178,0.028712,0.717808,353.6,353.6,3.8896,143.5616,627.2448
2,5.860124,20207.32896,334.88,334.88,2.655598,70.99456,2.67904,3233.171964,0.540987,0.40574,2.569688,0.676234,0.162296,0.013525,0.013525,0.500413,0.027049,0.676234,333.12,333.12,3.66432,135.24672,560.72576
3,5.422645,18698.77896,309.88,309.88,2.457348,69.93456,2.47904,2991.804014,0.505753,0.379314,2.402325,0.632191,0.151726,0.012644,0.012644,0.467821,0.027107,0.632191,311.424,311.424,3.425664,126.438144,629.531392
4,4.985165,17190.22896,284.88,308.4,2.259098,64.63456,2.27904,2750.436064,0.467525,0.350644,2.405879,0.584406,0.140257,0.011688,0.011688,0.46611,0.025195,0.584406,311.8848,311.8848,3.166733,116.881229,553.07607
5,4.547686,15681.67896,259.88,283.4,2.219448,59.33456,2.07904,2662.068114,0.426925,0.345138,2.213029,0.533656,0.128077,0.011583,0.010673,0.428555,0.023165,0.533656,286.8848,309.2848,2.891733,106.731229,542.344678
6,4.488189,14326.12896,234.88,258.4,2.021198,54.03456,2.05184,2420.700164,0.419584,0.314688,2.020179,0.482906,0.115897,0.010568,0.009658,0.391,0.021135,0.573201,261.8848,284.2848,3.080669,96.581229,537.6
7,4.488189,12817.57896,222.76,233.4,1.994236,53.31376,1.85184,2179.332214,0.378984,0.340754,1.827329,0.432156,0.103717,0.010568,0.009618,0.38421,0.019105,0.522451,259.2848,259.2848,2.805669,96.175229,618.8
8,4.059599,11339.682619,198.267999,228.907999,1.800015,58.407696,1.655904,1942.868848,0.376612,0.338974,1.634479,0.381406,0.112429,0.009553,0.008603,0.346655,0.017075,0.519485,279.52,254.7648,2.530669,94.340109,618.8
9,3.665895,9982.084151,200.769598,206.409598,1.819853,53.638035,1.475917,1725.653138,0.371246,0.308524,1.441629,0.330656,0.100249,0.009512,0.008468,0.3091,0.015045,0.468735,275.0,229.7648,2.502069,84.190109,537.6
10,4.094631,8745.092457,201.869918,185.909918,2.05379,54.592103,1.311919,1538.864714,0.331471,0.278693,1.799923,0.373262,0.098886,0.01023,0.007474,0.272308,0.014719,0.419016,291.392797,228.811997,2.496657,83.340756,539.249976
11,3.7149,12564.744918,205.169982,164.209982,1.88171,55.291716,1.49832,1540.69878,0.294934,0.277716,1.62637,0.417105,0.099393,0.009316,0.007392,0.271103,0.012892,0.373345,268.894397,206.313597,2.799174,74.206405,626.925195
12,3.302969,13708.83001,226.629995,140.669995,1.893287,50.301239,1.31,1717.784793,0.29802,0.313647,1.82453,0.375491,0.089406,0.009499,0.007575,0.240308,0.011228,0.421245,248.394717,207.509917,2.573678,94.992111,560.342234
13,3.302969,14203.92313,201.629995,140.669995,1.695037,50.301239,1.489987,1476.416843,0.262779,0.287217,1.849987,0.38219,0.078834,0.008618,0.006694,0.28282,0.009466,0.427944,226.694781,210.809981,2.334979,96.331937,629.518608
14,2.86549,13568.18713,176.629995,115.669995,1.496787,45.001239,1.289987,1235.048893,0.263526,0.316398,1.668399,0.384122,0.079058,0.007662,0.007709,0.28425,0.009584,0.430908,203.154794,187.269994,2.076039,96.331617,553.060729
15,3.233295,12059.63713,175.149995,128.549995,1.298537,39.701239,1.485923,2451.929426,0.259464,0.285948,1.633532,0.333372,0.079058,0.008495,0.009633,0.282748,0.009466,0.430908,178.154794,162.269994,1.801039,86.181617,542.342122
