day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:693055,169.743158
0,SDC-1450,item:693710,2917.945263
0,SDC-1450,item:773474,0.0
0,SDC-VD0500655A,item:002612,180.0
0,SDC-VD0505677A,item:099439,179.948716
0,SDC-VD0508918A,item:730384,175.536842
0,SDC-VD0514881A,item:016332,179.987692
0,SDC-VD0518684A,item:001893,180.0
0,SDC-VD0519670A,item:001848,179.969229
0,SDC-VD0519670A,item:029313,179.998974
0,SDC-VD0520115A,item:708073,179.833053
0,SDC-VD0520132A,item:038005,179.631596
0,SDC-VD0520132A,item:049371,179.96205
0,SDC-VD0525412A,item:333362,158.947368
0,SDC-VD0901566A,item:338928,154.736842
0,SDC-VD0910216A,item:001893,179.80512
0,SDC-VD0910216A,item:002612,179.948716
0,SDC-VD0914320A,item:055703,179.997949
0,SDC-VD0914360C,item:338929,154.736842
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0951020A,item:001757,179.958973
0,SDC-VD0951020A,item:001848,180.0
0,SDC-VD0964290A,item:055703,180.0
0,SDC-VD0989480A,item:426331,179.722105
0,SDC-VD0990780A,item:002612,180.0
0,SDC-VD0993480A,item:344135,158.947368
0,SDC-VD1091642A,item:001893,180.0
0,SDC-VD1091642A,item:002612,180.0
0,SDC-VD1095770A,item:734545,179.831579
0,SDC-VD1096202A,item:039668,179.998974
1,SDC-1450,item:693055,160.170105
1,SDC-1450,item:693710,2841.360842
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,180.0
1,SDC-VD0505677A,item:099439,179.900851
1,SDC-VD0508918A,item:730384,170.716632
1,SDC-VD0514881A,item:016332,179.976204
1,SDC-VD0518684A,item:001893,180.0
1,SDC-VD0519670A,item:001848,179.94051
1,SDC-VD0519670A,item:029313,179.998017
1,SDC-VD0520115A,item:708073,179.652749
1,SDC-VD0520132A,item:038005,179.23372
1,SDC-VD0520132A,item:049371,179.926629
1,SDC-VD0525412A,item:333362,136.210526
1,SDC-VD0901566A,item:338928,131.157895
1,SDC-VD0910216A,item:001893,179.623232
1,SDC-VD0910216A,item:002612,179.900851
1,SDC-VD0914320A,item:055703,179.996034
1,SDC-VD0914360C,item:338929,131.157895
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0951020A,item:001757,179.92068
1,SDC-VD0951020A,item:001848,180.0
1,SDC-VD0964290A,item:055703,180.0
