day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,2382.7057,542869.8482,21438.2725,6777.7922,9917.2961,0.0,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,158.1115,541066.1247,21378.7447,39.4178,6.7443,0.0,0.0,0.0
2,52.5,0.0,140.0,94.704,93.8,196.55,539066.2494,21312.5362,59.1311,7.6445,0.0,0.0,0.0
3,60.0,0.0,200.0,81.2,98.76,181.6277,536818.4471,21237.509,47.9404,7.8879,0.0,0.0,0.0
4,55.0,20.0,235.0,169.2,97.752,248.5763,534664.3115,21165.7285,94.6534,8.4128,0.0,0.0,0.0
5,50.0,45.0,240.0,195.0,95.5504,203.8992,532716.6602,21099.6095,63.8977,7.7141,0.0,0.0,0.0
6,45.0,23.0,262.0,186.144,91.223,249.6524,530919.9203,21039.7868,101.0194,7.685,0.0,0.0,0.0
7,40.0,25.6,276.4,205.6,86.2446,154.4888,529424.2807,20986.4124,41.6884,6.1744,0.0,0.0,0.0
8,47.5,25.0,298.9,274.167,91.2489,238.8855,527723.4558,20926.5638,93.4965,7.58,0.0,0.0,0.0
9,52.5,0.0,351.4,94.6005,95.6249,272.676,525647.3605,20860.3012,111.7339,8.4086,0.0,0.0,0.0
10,60.0,80.057,331.343,349.0579,99.125,205.1173,523563.8715,20785.268,64.2105,8.1233,0.0,0.0,0.0
11,55.0,139.8601,246.483,162.9846,97.825,203.7739,521328.4632,20713.4817,63.47,7.9649,0.0,0.0,0.0
12,50.0,23.1245,273.3585,190.1624,95.565,253.9387,519347.8104,20647.769,98.7073,8.2145,0.0,0.0,0.0
13,45.0,25.5648,292.7937,172.4177,82.7893,179.6153,518205.8669,20609.0851,53.5541,6.0438,0.0,0.0,0.0
14,40.0,20.6226,312.1711,206.8856,65.6226,238.2404,518101.9369,20607.371,103.0346,4.7121,0.0,0.0,0.0
15,47.5,75.6249,284.0462,603.2441,68.1245,169.4401,518396.4501,20619.8529,48.6373,4.3067,0.0,0.0,0.0
16,52.5,0.0,336.5462,93.1258,74.6609,204.8354,517880.2433,20606.0997,67.6685,5.3923,0.0,0.0,0.0
17,60.0,73.678,322.8682,195.7733,74.6609,156.7109,517441.1263,20592.4288,34.1883,4.9111,0.0,0.0,0.0
18,55.0,105.0745,272.7937,232.7276,70.0,191.8539,517304.479,20590.6133,59.3334,4.7427,0.0,0.0,0.0
19,50.0,20.6226,302.1711,356.9409,74.6609,186.3719,517049.9241,20584.0814,54.8234,5.2077,0.0,0.0,0.0
20,45.0,0.0,347.1711,106.201,68.113,168.8258,516923.6873,20582.1618,48.24,4.2993,0.0,0.0,0.0
21,40.0,44.3371,342.8339,181.1324,65.6226,187.8384,516820.6916,20580.485,67.9699,4.2081,0.0,0.0,0.0
22,47.5,84.3219,306.012,159.5787,68.1245,143.8751,516688.4075,20578.5717,30.8517,4.0511,0.0,0.0,0.0
23,52.5,0.0,358.512,159.0115,79.3216,161.5274,515949.3565,20553.2281,36.8429,5.479,0.0,0.0,0.0
24,60.0,0.0,418.512,256.6451,83.9813,212.5804,514924.9162,20516.1443,71.6645,6.5092,0.0,0.0,0.0
25,55.0,0.0,473.512,217.2532,74.6609,166.0325,514571.6354,20502.4186,40.6733,5.0043,0.0,0.0,0.0
26,50.0,46.2375,477.2745,173.1146,70.0,197.5168,514428.5492,20500.3455,63.2731,4.7994,0.0,0.0,0.0
27,45.0,0.0,522.2745,44.562,68.113,182.8071,514226.692,20498.6459,57.9668,4.4391,0.0,0.0,0.0
28,40.0,45.6226,516.6519,427.5235,70.2835,137.9942,514086.5912,20492.4851,32.5971,4.2294,0.0,0.0,0.0
29,47.5,0.0,564.1519,226.2171,77.4464,222.2442,513362.7884,20467.2342,83.9807,5.8743,0.0,0.0,0.0
30,47.5,107.7169,503.935,232.0726,77.9468,189.97,512567.0557,20441.9207,60.221,5.6081,0.0,0.0,0.0
31,47.5,9.3216,542.1134,117.8808,68.725,179.3893,512429.7485,20439.9705,53.991,4.4741,0.0,0.0,0.0
32,47.5,25.0,564.6134,404.093,73.4059,151.3448,512258.871,20433.5389,33.7321,4.7156,0.0,0.0,0.0
33,47.5,23.6249,588.4885,92.8247,73.4099,175.0869,511754.3393,20419.9077,50.239,4.9535,0.0,0.0,0.0
34,47.5,33.0468,602.9417,133.9602,68.7498,169.6731,511618.9862,20417.9614,47.1667,4.3797,0.0,0.0,0.0
35,47.5,32.4464,617.9953,277.8312,73.4109,189.0939,511276.6281,20404.6531,59.9811,5.0937,0.0,0.0,0.0
36,47.5,0.0,665.4953,217.2256,82.7328,165.6606,510265.4341,20367.6732,42.2862,5.8989,0.0,0.0,0.0
37,47.5,37.7278,675.2675,232.4735,73.4109,222.615,509838.9156,20354.0803,83.3017,5.4289,0.0,0.0,0.0
38,47.5,4.6609,718.1066,155.4031,73.4109,178.5145,509412.494,20340.4408,53.4362,4.9879,0.0,0.0,0.0
39,47.5,0.0,765.6066,5.184,68.75,74.0704,509277.0132,20338.4894,30.4647,3.4237,0.0,0.0,0.0
40,47.5,94.9988,718.1078,330.0948,82.7328,107.6097,508341.7405,20301.5142,51.7094,5.3184,0.0,0.0,0.0
41,47.5,9.3219,756.286,187.0085,82.7328,126.2535,507330.4146,20264.529,64.6799,5.5048,0.0,0.0,0.0
42,47.5,0.0,803.786,62.4823,68.75,130.8923,507195.4104,20262.5967,69.9956,3.9919,0.0,0.0,0.0
43,47.5,23.75,827.536,69.286,73.4109,74.2262,506768.0709,20248.9709,29.8769,3.945,0.0,0.0,0.0
44,47.5,56.3765,818.6594,139.6339,73.4109,111.959,506340.72,20235.3447,56.1276,4.3224,0.0,0.0,0.0
45,47.5,37.7328,828.4266,66.6069,68.75,97.8204,506205.1795,20233.3909,46.9875,3.6612,0.0,0.0,0.0
46,47.5,0.0,875.9266,74.3189,73.4109,102.6372,505778.212,20219.7801,49.6424,4.2291,0.0,0.0,0.0
47,47.5,4.6609,918.7657,142.4097,78.0719,126.543,505058.7137,20194.468,65.5775,4.988,0.0,0.0,0.0
48,47.5,75.9109,890.3548,166.6996,55.7004,56.0503,504467.4861,20171.0201,28.0329,1.7558,0.0,0.0,0.0
49,47.5,23.75,914.1048,62.219,45.0,82.7328,504467.82,20171.0335,48.6967,0.8273,0.0,0.0,0.0
50,47.5,47.5,914.1048,47.963,45.0,45.0,504467.8807,20171.0359,22.446,0.45,0.0,0.0,0.0
51,47.5,37.7328,923.872,94.1888,49.6609,60.5171,504176.3624,20159.3752,32.5451,1.1249,0.0,0.0,0.0
52,47.5,0.0,971.372,24.705,45.0,68.75,504176.9151,20159.3973,38.9689,0.6875,0.0,0.0,0.0
53,47.5,0.0,1018.872,0.934,45.0,45.0,504177.4467,20159.4186,22.446,0.45,0.0,0.0,0.0
54,47.5,33.0719,1033.3001,173.7372,58.9828,64.1112,503302.4338,20124.418,33.6531,2.2004,0.0,0.0,0.0
55,47.5,1.3785,1079.4216,2.1131,45.0,45.0,503302.7661,20124.4313,22.446,0.45,0.0,0.0,0.0
56,47.5,4.6609,1122.2607,49.6929,49.6609,49.8167,503010.5241,20112.7417,25.1008,1.0179,0.0,0.0,0.0
57,47.5,0.0,1169.7607,108.9699,54.3219,73.2772,502426.7047,20089.3889,40.7261,1.7723,0.0,0.0,0.0
58,47.5,0.0,1217.2607,226.2252,49.6609,49.8167,502315.656,20077.7541,25.1008,1.0179,0.0,0.0,0.0
59,47.5,0.0,1264.7607,144.8116,58.9828,68.7721,501440.1284,20042.733,36.8957,2.247,0.0,0.0,0.0
