day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,61.903335,61.553352
0,M-1430,item:042342,30171.0,28964.16
0,M-1430,item:333362,1387.5,1367.5
0,M-1430,item:344135,812.5,792.5
0,M-1430,item:708073,5.253625,5.095025
0,M-1430,item:730384,275.6,271.36
0,M-1430,item:734545,4.0,3.84
0,M-1430,item:773474,2413.6795,2220.58514
0,M-1810,item:001757,2.5172,2.48472
0,M-1810,item:001848,1.26672,1.24236
0,M-1810,item:001893,8.02256,7.86828
0,M-1810,item:002612,1.3195,1.2789
0,M-1810,item:007923,700.0,635.04
0,M-1810,item:016332,0.443352,0.433608
0,M-1810,item:029313,0.042224,0.041412
0,M-1810,item:039668,0.02639,0.025578
0,M-1810,item:049371,4.05594,4.025896
0,M-1810,item:055703,0.063336,0.061712
0,M-1810,item:099439,1.3195,1.2789
0,M-1810,item:338928,1290.0,1270.0
0,M-1810,item:338929,780.0,760.0
0,M-1810,item:426331,5.83,5.61
0,M-1810,item:693055,523.74,515.62
0,SDC-1450,item:021081,491700.0,491700.0
1,M-1430,item:038005,61.553352,61.150871
1,M-1430,item:042342,28964.16,27576.294
1,M-1430,item:333362,1367.5,1344.5
1,M-1430,item:344135,792.5,769.5
1,M-1430,item:708073,5.095025,4.912635
1,M-1430,item:730384,271.36,266.484
1,M-1430,item:734545,3.84,3.656
1,M-1430,item:773474,2220.58514,1998.526626
1,M-1810,item:001757,2.48472,2.45224
1,M-1810,item:001848,1.24236,1.218
1,M-1810,item:001893,7.86828,7.714
1,M-1810,item:002612,1.2789,1.2383
1,M-1810,item:007923,700.0,635.04
1,M-1810,item:016332,0.433608,0.423864
1,M-1810,item:029313,0.041412,0.0406
1,M-1810,item:039668,0.025578,0.024766
1,M-1810,item:049371,4.025896,3.995852
1,M-1810,item:055703,0.061712,0.060088
1,M-1810,item:099439,1.2789,1.2383
1,M-1810,item:338928,1270.0,1250.0
1,M-1810,item:338929,760.0,740.0
1,M-1810,item:426331,5.61,5.39
1,M-1810,item:693055,515.62,507.5
1,SDC-1450,item:021081,491700.0,491699.67816
2,M-1430,item:038005,61.150871,60.713391
2,M-1430,item:042342,27576.294,26067.744
2,M-1430,item:333362,1344.5,1319.5
2,M-1430,item:344135,769.5,744.5
2,M-1430,item:708073,4.912635,4.714385
2,M-1430,item:730384,266.484,261.184
2,M-1430,item:734545,3.656,3.456
2,M-1430,item:773474,1998.526626,1757.158676
2,M-1810,item:001757,2.45224,2.41976
2,M-1810,item:001848,1.218,1.19364
2,M-1810,item:001893,7.714,7.55972
2,M-1810,item:002612,1.2383,1.1977
2,M-1810,item:007923,700.0,635.04
2,M-1810,item:016332,0.423864,0.41412
2,M-1810,item:029313,0.0406,0.039788
2,M-1810,item:039668,0.024766,0.023954
2,M-1810,item:049371,3.995852,3.965808
2,M-1810,item:055703,0.060088,0.058464
2,M-1810,item:099439,1.2383,1.1977
2,M-1810,item:338928,1250.0,1230.0
2,M-1810,item:338929,740.0,720.0
2,M-1810,item:426331,5.39,5.17
2,M-1810,item:693055,507.5,499.38
2,SDC-1450,item:021081,491699.67816,491699.291952
3,M-1430,item:038005,60.713391,60.275912
3,M-1430,item:042342,26067.744,24559.194
3,M-1430,item:333362,1319.5,1294.5
3,M-1430,item:344135,744.5,719.5
3,M-1430,item:708073,4.714385,4.516135
3,M-1430,item:730384,261.184,255.884
3,M-1430,item:734545,3.456,3.256
3,M-1430,item:773474,1757.158676,1515.790726
3,M-1810,item:001757,2.41976,2.38728
3,M-1810,item:001848,1.19364,1.16928
3,M-1810,item:001893,7.55972,7.40544
3,M-1810,item:002612,1.1977,1.1571
3,M-1810,item:007923,700.0,635.04
3,M-1810,item:016332,0.41412,0.404376
3,M-1810,item:029313,0.039788,0.038976
3,M-1810,item:039668,0.023954,0.023142
3,M-1810,item:049371,3.965808,3.935764
3,M-1810,item:055703,0.058464,0.05684
3,M-1810,item:099439,1.1977,1.1571
3,M-1810,item:338928,1230.0,1210.0
3,M-1810,item:338929,720.0,700.0
3,M-1810,item:426331,5.17,4.95
3,M-1810,item:693055,499.38,491.26
3,SDC-1450,item:021081,491699.291952,491698.89287
4,M-1430,item:038005,60.275912,59.838432
4,M-1430,item:042342,24559.194,23050.644
4,M-1430,item:333362,1294.5,1269.5
4,M-1430,item:344135,719.5,694.5
4,M-1430,item:708073,4.516135,4.317885
4,M-1430,item:730384,255.884,250.584
4,M-1430,item:734545,3.256,3.056
4,M-1430,item:773474,1515.790726,1274.422776
4,M-1810,item:001757,2.38728,2.3548
4,M-1810,item:001848,1.16928,1.14492
4,M-1810,item:001893,7.40544,7.25116
4,M-1810,item:002612,1.1571,1.1165
4,M-1810,item:007923,700.0,635.04
4,M-1810,item:016332,0.404376,0.394632
4,M-1810,item:029313,0.038976,0.038164
4,M-1810,item:039668,0.023142,0.02233
4,M-1810,item:049371,3.935764,3.90572
4,M-1810,item:055703,0.05684,0.055216
4,M-1810,item:099439,1.1571,1.1165
4,M-1810,item:338928,1210.0,1190.0
4,M-1810,item:338929,700.0,680.0
4,M-1810,item:426331,4.95,4.73
4,M-1810,item:693055,491.26,483.14
4,SDC-1450,item:021081,491698.89287,491698.491214
5,M-1430,item:038005,59.838432,59.400953
5,M-1430,item:042342,23050.644,21542.094
5,M-1430,item:333362,1269.5,1244.5
5,M-1430,item:344135,694.5,669.5
5,M-1430,item:708073,4.317885,4.119635
5,M-1430,item:730384,250.584,245.284
5,M-1430,item:734545,3.056,2.856
5,M-1430,item:773474,1317.622776,1076.254826
5,M-1810,item:001757,2.3548,2.32232
5,M-1810,item:001848,1.14492,1.12056
5,M-1810,item:001893,7.25116,7.09688
5,M-1810,item:002612,1.1165,1.0759
5,M-1810,item:007923,700.0,635.04
5,M-1810,item:016332,0.394632,0.384888
5,M-1810,item:029313,0.038164,0.037352
5,M-1810,item:039668,0.02233,0.021518
5,M-1810,item:049371,3.90572,3.875676
5,M-1810,item:055703,0.055216,0.053592
5,M-1810,item:099439,1.1165,1.0759
5,M-1810,item:338928,1190.0,1170.0
5,M-1810,item:338929,680.0,660.0
5,M-1810,item:426331,4.73,4.51
5,M-1810,item:693055,483.14,475.02
5,SDC-1450,item:021081,491698.491214,491698.089043
6,M-1430,item:038005,59.400953,58.996495
6,M-1430,item:042342,21542.094,20147.411768
6,M-1430,item:333362,1244.5,1221.38704
6,M-1430,item:344135,669.5,646.38704
6,M-1430,item:708073,4.119635,3.936349
6,M-1430,item:730384,245.284,240.384052
6,M-1430,item:734545,2.856,2.671096
6,M-1430,item:773474,1076.254826,853.105715
6,M-1810,item:001757,2.32232,2.28984
6,M-1810,item:001848,1.12056,1.0962
6,M-1810,item:001893,7.09688,6.9426
6,M-1810,item:002612,1.0759,1.0353
6,M-1810,item:007923,700.0,635.04
6,M-1810,item:016332,0.384888,0.375144
6,M-1810,item:029313,0.037352,0.03654
6,M-1810,item:039668,0.021518,0.020706
6,M-1810,item:049371,3.875676,3.845632
6,M-1810,item:055703,0.053592,0.051968
6,M-1810,item:099439,1.0759,1.0353
6,M-1810,item:338928,1170.0,1150.0
6,M-1810,item:338929,660.0,640.0
6,M-1810,item:426331,4.51,4.29
6,M-1810,item:693055,475.02,466.9
6,SDC-1450,item:021081,491698.089043,491697.686769
7,M-1430,item:038005,58.996495,58.635617
7,M-1430,item:042342,20147.411768,18903.003321
7,M-1430,item:333362,1221.38704,1200.764448
7,M-1430,item:344135,646.38704,625.764448
7,M-1430,item:708073,3.936349,3.772812
7,M-1430,item:730384,240.384052,236.012063
7,M-1430,item:734545,2.671096,2.506116
7,M-1430,item:773474,1033.105715,834.000405
7,M-1810,item:001757,2.28984,2.25736
7,M-1810,item:001848,1.0962,1.07184
7,M-1810,item:001893,6.9426,6.78832
7,M-1810,item:002612,1.0353,0.9947
7,M-1810,item:007923,635.04,570.08
7,M-1810,item:016332,0.375144,0.3654
7,M-1810,item:029313,0.03654,0.035728
7,M-1810,item:039668,0.020706,0.019894
7,M-1810,item:049371,3.845632,3.815588
7,M-1810,item:055703,0.051968,0.050344
7,M-1810,item:099439,1.0353,0.9947
7,M-1810,item:338928,1150.0,1130.0
7,M-1810,item:338929,640.0,620.0
7,M-1810,item:426331,4.29,4.07
7,M-1810,item:693055,466.9,458.78
7,SDC-1450,item:021081,491697.686769,491697.284474
8,M-1430,item:038005,58.635617,58.230957
8,M-1430,item:042342,18903.003321,17507.623632
8,M-1430,item:333362,1200.764448,1177.63993
8,M-1430,item:344135,625.764448,602.63993
8,M-1430,item:708073,3.772812,3.589435
8,M-1430,item:730384,236.012063,231.109665
8,M-1430,item:734545,2.506116,2.321119
8,M-1430,item:773474,870.000405,646.739701
8,M-1810,item:001757,2.25736,2.22488
8,M-1810,item:001848,1.07184,1.04748
8,M-1810,item:001893,6.78832,6.63404
8,M-1810,item:002612,0.9947,0.9541
8,M-1810,item:007923,700.0,635.04
8,M-1810,item:016332,0.3654,0.355656
8,M-1810,item:029313,0.035728,0.034916
8,M-1810,item:039668,0.020706,0.019894
8,M-1810,item:049371,3.815588,3.785544
8,M-1810,item:055703,0.050344,0.04872
8,M-1810,item:099439,0.9947,0.9541
8,M-1810,item:338928,1130.0,1110.0
8,M-1810,item:338929,620.0,600.0
8,M-1810,item:426331,4.07,3.85
8,M-1810,item:693055,458.78,450.66
8,SDC-1450,item:021081,491697.284474,491696.882175
9,M-1430,item:038005,58.230957,57.793477
9,M-1430,item:042342,17507.623632,15999.073632
9,M-1430,item:333362,1177.63993,1152.63993
9,M-1430,item:344135,602.63993,577.63993
9,M-1430,item:708073,3.589435,3.391185
9,M-1430,item:730384,231.109665,225.809665
9,M-1430,item:734545,2.321119,2.121119
9,M-1430,item:773474,646.739701,405.371751
9,M-1810,item:001757,2.22488,2.1924
9,M-1810,item:001848,1.07184,1.04748
9,M-1810,item:001893,6.63404,6.47976
9,M-1810,item:002612,0.9541,0.9135
9,M-1810,item:007923,635.04,570.08
9,M-1810,item:016332,0.355656,0.345912
9,M-1810,item:029313,0.034916,0.034104
9,M-1810,item:039668,0.019894,0.019082
9,M-1810,item:049371,3.785544,3.7555
9,M-1810,item:055703,0.04872,0.047096
9,M-1810,item:099439,0.9541,0.9135
9,M-1810,item:338928,1110.0,1090.0
9,M-1810,item:338929,600.0,580.0
