day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,36.0,36.0,0.0,36.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,42.75,78.75,0.0,78.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,47.25,126.0,0.0,126.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,54.0,180.0,0.0,180.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,49.5,229.5,50.0,179.5,50.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,45.0,224.5,0.0,224.5,0.0
5,C-XXXXX,item:268091,25.0,152.5,45.0,107.5,45.0
6,C-XXXXX,item:268967,40.5,265.0,0.0,265.0,0.0
6,C-XXXXX,item:268091,22.5,130.0,0.0,130.0,0.0
7,C-XXXXX,item:268967,36.0,301.0,0.0,301.0,0.0
7,C-XXXXX,item:268091,20.0,150.0,25.0,125.0,25.0
8,C-XXXXX,item:268967,42.75,343.75,50.0,293.75,50.0
8,C-XXXXX,item:268091,23.75,148.75,0.0,148.75,0.0
9,C-XXXXX,item:268967,47.25,341.0,25.0,316.0,25.0
9,C-XXXXX,item:268091,26.25,175.0,48.0,127.0,48.0
10,C-XXXXX,item:268967,54.0,370.0,25.0,345.0,25.0
10,C-XXXXX,item:268091,30.0,157.0,0.0,157.0,0.0
11,C-XXXXX,item:268967,49.5,394.5,0.0,394.5,0.0
11,C-XXXXX,item:268091,27.5,184.5,25.0,159.5,25.0
12,C-XXXXX,item:268967,45.0,439.5,25.0,414.5,25.0
12,C-XXXXX,item:268091,25.0,184.5,23.124518,161.375482,23.124518
13,C-XXXXX,item:268967,40.5,455.0,0.0,455.0,0.0
13,C-XXXXX,item:268091,22.5,183.875482,23.11296,160.762522,23.11296
14,C-XXXXX,item:268967,36.0,491.0,25.0,466.0,25.0
14,C-XXXXX,item:268091,20.0,180.762522,0.0,180.762522,0.0
15,C-XXXXX,item:268967,42.75,508.75,0.0,508.75,0.0
15,C-XXXXX,item:268091,23.75,204.512522,95.622592,108.88993,95.622592
16,C-XXXXX,item:268967,47.25,556.0,76.846978,479.153022,76.846978
16,C-XXXXX,item:268091,26.25,135.13993,0.0,135.13993,0.0
17,C-XXXXX,item:268967,54.0,533.153022,0.0,533.153022,0.0
17,C-XXXXX,item:268091,30.0,165.13993,25.0,140.13993,25.0
18,C-XXXXX,item:268967,49.5,582.653022,13.937996,568.715026,13.937996
18,C-XXXXX,item:268091,27.5,167.63993,23.113,144.52693,23.113
19,C-XXXXX,item:268967,45.0,613.715026,4.659442,609.055584,4.659442
19,C-XXXXX,item:268091,25.0,169.52693,0.0,169.52693,0.0
20,C-XXXXX,item:268967,40.5,649.555584,0.0,649.555584,0.0
20,C-XXXXX,item:268091,22.5,192.02693,0.0,192.02693,0.0
21,C-XXXXX,item:268967,36.0,685.555584,4.660931,680.894652,4.660931
21,C-XXXXX,item:268091,20.0,212.02693,0.0,212.02693,0.0
22,C-XXXXX,item:268967,42.75,723.644652,0.0,723.644652,0.0
22,C-XXXXX,item:268091,23.75,235.77693,43.74712,192.02981,43.74712
23,C-XXXXX,item:268967,47.25,770.894652,0.0,770.894652,0.0
23,C-XXXXX,item:268091,26.25,218.27981,75.0,143.27981,75.0
24,C-XXXXX,item:268967,54.0,824.894652,0.0,824.894652,0.0
24,C-XXXXX,item:268091,30.0,173.27981,65.0,108.27981,65.0
25,C-XXXXX,item:268967,49.5,874.394652,18.643424,855.751228,18.643424
25,C-XXXXX,item:268091,27.5,135.77981,0.0,135.77981,0.0
26,C-XXXXX,item:268967,45.0,900.751228,4.660934,896.090294,4.660934
26,C-XXXXX,item:268091,25.0,160.77981,26.113,134.66681,26.113
27,C-XXXXX,item:268967,40.5,936.590294,0.0,936.590294,0.0
27,C-XXXXX,item:268091,22.5,157.16681,0.0,157.16681,0.0
28,C-XXXXX,item:268967,36.0,972.590294,0.0,972.590294,0.0
28,C-XXXXX,item:268091,20.0,177.16681,0.0,177.16681,0.0
29,C-XXXXX,item:268967,42.75,1015.340294,9.321867,1006.018428,9.321867
29,C-XXXXX,item:268091,23.75,200.91681,25.0,175.91681,25.0
30,C-XXXXX,item:268967,42.75,1048.768428,0.0,1048.768428,0.0
30,C-XXXXX,item:268091,23.75,199.66681,25.0,174.66681,25.0
31,C-XXXXX,item:268967,42.75,1091.518428,0.0,1091.518428,0.0
31,C-XXXXX,item:268091,23.75,198.41681,0.0,198.41681,0.0
32,C-XXXXX,item:268967,42.75,1134.268428,0.0,1134.268428,0.0
32,C-XXXXX,item:268091,23.75,222.16681,25.0,197.16681,25.0
33,C-XXXXX,item:268967,42.75,1177.018428,9.321867,1167.69656,9.321867
33,C-XXXXX,item:268091,23.75,220.91681,48.112761,172.804049,48.112761
34,C-XXXXX,item:268967,42.75,1210.44656,0.0,1210.44656,0.0
34,C-XXXXX,item:268091,23.75,196.554049,70.474393,126.079656,70.474393
35,C-XXXXX,item:268967,42.75,1253.19656,9.321867,1243.874693,9.321867
35,C-XXXXX,item:268091,23.75,149.829656,20.622552,129.207104,20.622552
36,C-XXXXX,item:268967,42.75,1286.624693,0.0,1286.624693,0.0
36,C-XXXXX,item:268091,23.75,152.957104,0.0,152.957104,0.0
37,C-XXXXX,item:268967,42.75,1329.374693,13.982801,1315.391892,13.982801
37,C-XXXXX,item:268091,23.75,176.707104,0.0,176.707104,0.0
38,C-XXXXX,item:268967,42.75,1358.141892,0.0,1358.141892,0.0
38,C-XXXXX,item:268091,23.75,200.457104,47.494956,152.962148,47.494956
39,C-XXXXX,item:268967,42.75,1400.891892,0.0,1400.891892,0.0
39,C-XXXXX,item:268091,23.75,176.712148,23.748999,152.963149,23.748999
