day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,24.0,0.0,24.0,0.0,24.0,1469.7453,537896.3956,21246.2864,6469.3618,9646.6801,0.0,0.0,0.0,882.1942
1,28.5,0.0,52.5,64.96,63.6,389.927,537171.7123,21223.849,114.2605,157.3542,0.0,0.0,0.0,631.3636
2,31.5,0.0,84.0,98.704,73.32,388.8983,536442.5278,21201.5944,124.933,33.685,0.0,0.0,0.0,421.8506
3,36.0,0.0,120.0,108.8,75.464,342.7178,535720.8924,21179.6538,109.8088,22.5039,0.0,0.0,0.0,264.2857
4,33.0,20.0,133.0,20.0,75.4928,271.5016,534980.4247,21160.1046,75.4573,10.2773,0.0,0.0,0.0,150.3571
5,30.0,31.6,131.4,148.744,75.0986,292.0362,534368.8134,21142.2907,92.5497,9.4475,0.0,0.0,0.0,51.4286
6,27.0,10.944,147.456,153.144,72.7327,225.0285,533893.0469,21127.7623,59.6363,5.3899,0.0,0.0,0.0,0.0
7,24.0,50.0,121.456,311.2365,69.7465,137.4392,533671.0515,21115.724,32.3292,4.1757,0.0,0.0,0.0,0.0
8,28.5,0.0,149.956,190.166,72.7493,196.7674,533271.296,21102.2194,67.0007,5.1088,0.0,0.0,0.0,0.0
9,31.5,0.0,181.456,30.1345,75.125,187.3034,532676.5659,21087.3026,55.4481,5.2829,0.0,0.0,0.0,0.0
10,36.0,0.0,217.456,120.7604,75.825,197.4733,532112.4213,21070.6344,62.4188,5.4626,0.0,0.0,0.0,0.0
11,33.0,53.2259,197.2301,232.6589,75.565,180.7697,531642.1755,21054.6206,50.8369,5.2666,0.0,0.0,0.0,0.0
12,30.0,20.6226,206.6075,95.4086,75.113,187.3031,531092.9508,21039.7355,55.4497,5.2815,0.0,0.0,0.0,0.0
13,27.0,49.0618,184.5457,186.5118,72.7356,173.603,530663.8619,21027.4853,50.9155,4.8756,0.0,0.0,0.0,0.0
14,24.0,23.1245,185.4212,271.6297,69.7471,198.3778,530368.1971,21016.6931,74.724,4.7851,0.0,0.0,0.0,0.0
15,28.5,0.0,213.9212,256.3552,72.7494,154.2196,530077.1787,21011.4164,37.4001,4.6833,0.0,0.0,0.0,0.0
16,31.5,10.938,234.4832,127.5795,75.125,161.8131,529594.446,20996.5046,37.7145,5.028,0.0,0.0,0.0,0.0
17,36.0,50.0,220.4832,329.824,75.825,205.7856,529181.0527,20981.1389,68.2016,5.5458,0.0,0.0,0.0,0.0
18,33.0,55.565,197.9182,154.1161,75.565,205.7582,528604.9366,20965.3382,68.2214,5.5165,0.0,0.0,0.0,0.0
19,30.0,0.0,227.9182,256.5528,75.113,192.368,528232.4137,20952.4638,58.9733,5.3322,0.0,0.0,0.0,0.0
20,27.0,43.7471,211.1711,233.4016,72.7356,173.603,527855.5294,20939.057,50.9155,4.8756,0.0,0.0,0.0,0.0
21,24.0,25.0,210.1711,195.4922,69.7471,142.5648,527537.6646,20927.0253,35.8949,4.2269,0.0,0.0,0.0,0.0
22,28.5,87.9255,150.7456,162.1151,72.7494,177.5926,527041.1076,20913.5269,53.6607,4.9171,0.0,0.0,0.0,0.0
23,31.5,9.2495,172.9961,230.6961,75.125,191.438,526633.5551,20898.6216,58.3245,5.3242,0.0,0.0,0.0,0.0
24,36.0,53.938,155.0581,244.8265,75.825,190.276,526146.7359,20883.2483,57.4115,5.3907,0.0,0.0,0.0,0.0
25,33.0,9.2475,178.8106,144.8926,75.565,203.2678,525610.2043,20867.2355,66.4888,5.4916,0.0,0.0,0.0,0.0
26,30.0,32.362,176.4485,305.2382,75.113,157.1781,525289.1948,20854.9752,34.4917,4.9803,0.0,0.0,0.0,0.0
27,27.0,0.0,203.4485,277.844,72.7356,179.4279,524994.6749,20842.7131,54.968,4.9339,0.0,0.0,0.0,0.0
28,24.0,51.4476,176.0009,113.2887,69.7471,173.1298,524537.594,20831.7089,57.159,4.5326,0.0,0.0,0.0,0.0
29,28.5,0.0,204.5009,152.2963,72.7494,158.3902,524138.346,20818.2247,40.3016,4.725,0.0,0.0,0.0,0.0
30,28.5,60.69,172.3109,226.0986,73.3499,194.6331,523706.4951,20804.4898,64.1952,5.1554,0.0,0.0,0.0,0.0
31,28.5,0.0,200.8109,105.4321,73.47,179.5959,523227.8104,20790.6503,53.4697,5.0187,0.0,0.0,0.0,0.0
32,28.5,53.4712,175.8397,162.1426,73.494,151.4358,522780.1461,20778.0456,33.8259,4.7398,0.0,0.0,0.0,0.0
