day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,4.0,4.0,0.0,4.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,4.75,8.75,0.0,8.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,5.25,14.0,0.0,14.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,6.0,20.0,0.0,20.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,5.5,25.5,0.0,25.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,20.0,107.5,20.0
5,C-XXXXX,item:268967,5.0,30.5,8.6,21.9,8.6
5,C-XXXXX,item:268091,25.0,132.5,23.0,109.5,23.0
6,C-XXXXX,item:268967,4.5,26.4,10.944,15.456,10.944
6,C-XXXXX,item:268091,22.5,132.0,0.0,132.0,0.0
7,C-XXXXX,item:268967,4.0,19.456,0.0,19.456,0.0
7,C-XXXXX,item:268091,20.0,152.0,50.0,102.0,50.0
8,C-XXXXX,item:268967,4.75,24.206,0.0,24.206,0.0
8,C-XXXXX,item:268091,23.75,125.75,0.0,125.75,0.0
9,C-XXXXX,item:268967,5.25,29.456,0.0,29.456,0.0
9,C-XXXXX,item:268091,26.25,152.0,0.0,152.0,0.0
10,C-XXXXX,item:268967,6.0,35.456,0.0,35.456,0.0
10,C-XXXXX,item:268091,30.0,182.0,0.0,182.0,0.0
11,C-XXXXX,item:268967,5.5,40.956,5.11296,35.84304,5.11296
11,C-XXXXX,item:268091,27.5,209.5,48.11296,161.38704,48.11296
12,C-XXXXX,item:268967,5.0,40.84304,0.0,40.84304,0.0
12,C-XXXXX,item:268091,25.0,186.38704,20.622592,165.764448,20.622592
13,C-XXXXX,item:268967,4.5,45.34304,24.061795,21.281245,24.061795
13,C-XXXXX,item:268091,22.5,188.264448,25.0,163.264448,25.0
14,C-XXXXX,item:268967,4.0,25.281245,0.0,25.281245,0.0
14,C-XXXXX,item:268091,20.0,183.264448,23.124518,160.13993,23.124518
15,C-XXXXX,item:268967,4.75,30.031245,0.0,30.031245,0.0
15,C-XXXXX,item:268091,23.75,183.88993,0.0,183.88993,0.0
16,C-XXXXX,item:268967,5.25,35.281245,10.937996,24.343249,10.937996
16,C-XXXXX,item:268091,26.25,210.13993,0.0,210.13993,0.0
17,C-XXXXX,item:268967,6.0,30.343249,0.0,30.343249,0.0
17,C-XXXXX,item:268091,30.0,240.13993,50.0,190.13993,50.0
18,C-XXXXX,item:268967,5.5,35.843249,5.564999,30.27825,5.564999
18,C-XXXXX,item:268091,27.5,217.63993,50.0,167.63993,50.0
19,C-XXXXX,item:268967,5.0,35.27825,0.0,35.27825,0.0
19,C-XXXXX,item:268091,25.0,192.63993,0.0,192.63993,0.0
20,C-XXXXX,item:268967,4.5,39.77825,0.0,39.77825,0.0
20,C-XXXXX,item:268091,22.5,215.13993,43.74712,171.39281,43.74712
21,C-XXXXX,item:268967,4.0,43.77825,0.0,43.77825,0.0
21,C-XXXXX,item:268091,20.0,191.39281,25.0,166.39281,25.0
22,C-XXXXX,item:268967,4.75,48.52825,14.812503,33.715747,14.812503
22,C-XXXXX,item:268091,23.75,190.14281,73.113,117.02981,73.113
23,C-XXXXX,item:268967,5.25,38.965747,9.249501,29.716246,9.249501
23,C-XXXXX,item:268091,26.25,143.27981,0.0,143.27981,0.0
24,C-XXXXX,item:268967,6.0,35.716246,5.824996,29.89125,5.824996
24,C-XXXXX,item:268091,30.0,173.27981,48.113,125.16681,48.113
25,C-XXXXX,item:268967,5.5,35.39125,9.247504,26.143746,9.247504
25,C-XXXXX,item:268091,27.5,152.66681,0.0,152.66681,0.0
26,C-XXXXX,item:268967,5.0,31.143746,9.23752,21.906226,9.23752
26,C-XXXXX,item:268091,25.0,177.66681,23.12452,154.54229,23.12452
27,C-XXXXX,item:268967,4.5,26.406226,0.0,26.406226,0.0
27,C-XXXXX,item:268091,22.5,177.04229,0.0,177.04229,0.0
28,C-XXXXX,item:268967,4.0,30.406226,5.824996,24.58123,5.824996
28,C-XXXXX,item:268091,20.0,197.04229,45.6226,151.41969,45.6226
29,C-XXXXX,item:268967,4.75,29.33123,0.0,29.33123,0.0
29,C-XXXXX,item:268091,23.75,175.16969,0.0,175.16969,0.0
30,C-XXXXX,item:268967,4.75,34.08123,10.68998,23.39125,10.68998
30,C-XXXXX,item:268091,23.75,198.91969,50.0,148.91969,50.0
31,C-XXXXX,item:268967,4.75,28.14125,0.0,28.14125,0.0
31,C-XXXXX,item:268091,23.75,172.66969,0.0,172.66969,0.0
32,C-XXXXX,item:268967,4.75,32.89125,9.7356,23.15565,9.7356
32,C-XXXXX,item:268091,23.75,196.41969,43.7356,152.68409,43.7356
33,C-XXXXX,item:268967,4.75,27.90565,4.624904,23.280746,4.624904
33,C-XXXXX,item:268091,23.75,176.43409,0.0,176.43409,0.0
34,C-XXXXX,item:268967,4.75,28.030746,13.594497,14.436249,13.594497
34,C-XXXXX,item:268091,23.75,200.18409,23.624904,176.559186,23.624904
35,C-XXXXX,item:268967,4.75,19.186249,0.0,19.186249,0.0
35,C-XXXXX,item:268091,23.75,200.309186,0.0,200.309186,0.0
36,C-XXXXX,item:268967,4.75,23.936249,0.0,23.936249,0.0
36,C-XXXXX,item:268091,23.75,224.059186,94.343496,129.71569,94.343496
37,C-XXXXX,item:268967,4.75,28.686249,0.0,28.686249,0.0
37,C-XXXXX,item:268091,23.75,153.46569,0.0,153.46569,0.0
38,C-XXXXX,item:268967,4.75,33.436249,9.49976,23.936489,9.49976
38,C-XXXXX,item:268091,23.75,177.21569,48.7498,128.46589,48.7498
39,C-XXXXX,item:268967,4.75,28.686489,4.748999,23.93749,4.748999
39,C-XXXXX,item:268091,23.75,152.21589,0.0,152.21589,0.0
40,C-XXXXX,item:268967,4.75,28.68749,9.49999,19.1875,9.49999
40,C-XXXXX,item:268091,23.75,175.96589,47.499952,128.465938,47.499952
41,C-XXXXX,item:268967,4.75,23.9375,0.0,23.9375,0.0
41,C-XXXXX,item:268091,23.75,152.215938,0.0,152.215938,0.0
42,C-XXXXX,item:268967,4.75,28.6875,4.75,23.9375,4.75
42,C-XXXXX,item:268091,23.75,175.965938,3.963057,172.002881,3.963057
43,C-XXXXX,item:268967,4.75,28.6875,0.0,28.6875,0.0
43,C-XXXXX,item:268091,23.75,195.752881,23.75,172.002882,23.75
44,C-XXXXX,item:268967,4.75,33.4375,0.0,33.4375,0.0
44,C-XXXXX,item:268091,23.75,195.752882,0.0,195.752882,0.0
45,C-XXXXX,item:268967,4.75,38.1875,9.5,28.6875,9.5
45,C-XXXXX,item:268091,23.75,219.502882,23.75,195.752882,23.75
46,C-XXXXX,item:268967,4.75,33.4375,0.0,33.4375,0.0
46,C-XXXXX,item:268091,23.75,219.502882,0.0,219.502882,0.0
47,C-XXXXX,item:268967,4.75,38.1875,4.75,33.4375,4.75
47,C-XXXXX,item:268091,23.75,243.252882,23.12452,220.128362,23.12452
48,C-XXXXX,item:268967,4.75,38.1875,9.5,28.6875,9.5
48,C-XXXXX,item:268091,23.75,243.878362,0.0,243.878362,0.0
49,C-XXXXX,item:268967,4.75,33.4375,14.25,19.1875,14.25
49,C-XXXXX,item:268091,23.75,267.628362,0.0,267.628362,0.0
50,C-XXXXX,item:268967,4.75,23.9375,0.0,23.9375,0.0
50,C-XXXXX,item:268091,23.75,291.378362,47.5,243.878362,47.5
51,C-XXXXX,item:268967,4.75,28.6875,0.0,28.6875,0.0
51,C-XXXXX,item:268091,23.75,267.628362,48.75,218.878362,48.75
52,C-XXXXX,item:268967,4.75,33.4375,0.0,33.4375,0.0
52,C-XXXXX,item:268091,23.75,242.628362,0.0,242.628362,0.0
53,C-XXXXX,item:268967,4.75,38.1875,0.0,38.1875,0.0
53,C-XXXXX,item:268091,23.75,266.378362,0.0,266.378362,0.0
54,C-XXXXX,item:268967,4.75,42.9375,14.25,28.6875,14.25
54,C-XXXXX,item:268091,23.75,290.128362,0.0,290.128362,0.0
55,C-XXXXX,item:268967,4.75,33.4375,19.0,14.4375,19.0
55,C-XXXXX,item:268091,23.75,313.878362,23.75,290.128362,23.75
56,C-XXXXX,item:268967,4.75,19.1875,4.75,14.4375,4.75
56,C-XXXXX,item:268091,23.75,313.878362,23.75,290.128362,23.75
57,C-XXXXX,item:268967,4.75,19.1875,0.0,19.1875,0.0
57,C-XXXXX,item:268091,23.75,313.878362,23.75,290.128362,23.75
58,C-XXXXX,item:268967,4.75,23.9375,4.75,19.1875,4.75
58,C-XXXXX,item:268091,23.75,313.878362,20.540923,293.337438,20.540923
59,C-XXXXX,item:268967,4.75,23.9375,0.0,23.9375,0.0
59,C-XXXXX,item:268091,23.75,317.087438,0.0,317.087438,0.0
