day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,20.0,20.0,25.0,250.0,none,,0.0
0,M-1810,item:268091,20.0,20.0,25.0,87.5,none,,0.0
1,M-1430,item:268967,23.0,23.0,25.0,230.0,none,,0.0
1,M-1810,item:268091,23.0,23.0,25.0,98.75,none,,0.0
1,SDC-1450,item:773474,7.2,7.2,500000.0,55000000.0,none,,0.0
2,M-1430,item:268967,25.6,25.0,25.0,207.0,capacity,,0.6
2,M-1810,item:268091,25.6,25.0,25.0,107.0,capacity,,0.6
2,SDC-1450,item:773474,8.64,8.64,500000.0,54999992.8,none,,0.0
3,M-1430,item:268967,29.12,25.0,25.0,182.0,capacity,,4.12
3,M-1810,item:268091,29.12,25.0,25.0,113.25,capacity,,4.12
3,SDC-1450,item:773474,8.928,8.928,500000.0,54999984.16,none,,0.0
4,M-1430,item:268967,27.824,25.0,25.0,157.0,capacity,,2.824
4,M-1810,item:268091,27.824,25.0,25.0,119.5,capacity,,2.824
4,SDC-1450,item:773474,8.9856,8.9856,500000.0,54999975.232,none,,0.0
5,M-1430,item:268967,25.5648,25.0,25.0,132.0,capacity,,0.5648
5,M-1810,item:268091,25.5648,25.0,25.0,125.75,capacity,,0.5648
5,SDC-1450,item:773474,8.99712,8.99712,500000.0,54999966.2464,none,,0.0
6,M-1430,item:268967,23.11296,23.11296,25.0,107.0,none,,0.0
6,M-1810,item:268091,23.11296,23.11296,25.0,100.75,none,,0.0
6,SDC-1450,item:773474,8.999424,8.999424,500000.0,54999957.24928,none,,0.0
7,M-1430,item:268967,20.622592,20.622592,25.0,87.615787,none,,0.0
7,M-1810,item:268091,20.622592,20.622592,25.0,106.116104,none,,0.0
7,SDC-1450,item:773474,8.999885,8.999885,500000.0,54999948.249856,none,,0.0
8,M-1430,item:268967,23.124518,23.124518,25.0,66.993195,none,,0.0
8,M-1810,item:268091,23.124518,23.124518,25.0,85.493512,none,,0.0
8,SDC-1450,item:773474,8.999977,8.999977,500000.0,54999939.249971,none,,0.0
9,M-1430,item:268967,25.624904,25.0,25.0,43.868677,capacity,,0.624904
9,M-1810,item:268091,25.624904,25.0,25.0,62.368994,capacity,,0.624904
9,SDC-1450,item:773474,8.999995,8.999995,500000.0,54999930.249994,none,,0.0
10,M-1430,item:268967,29.124981,19.614426,25.0,19.614426,input_shortage,item:773474,9.510555
10,M-1810,item:268091,29.124981,25.0,25.0,37.368994,capacity,,4.124981
10,SDC-1450,item:773474,8.999999,8.999999,500000.0,54999921.249999,none,,0.0
11,M-1430,item:268967,27.824996,0.894899,25.0,0.894899,input_shortage,item:773474,26.930097
11,M-1810,item:268091,27.824996,12.368994,25.0,12.368994,input_shortage,item:007923,15.456003
11,SDC-1450,item:773474,9.0,9.0,500000.0,54999912.25,none,,0.0
12,M-1430,item:268967,25.564999,0.931888,25.0,0.931888,input_shortage,item:773474,24.633111
12,M-1810,item:268091,25.564999,0.0,25.0,0.0,input_shortage,item:007923,25.564999
12,SDC-1450,item:773474,9.0,9.0,500000.0,54999903.25,none,,0.0
13,M-1430,item:268967,23.113,0.924729,25.0,0.924729,input_shortage,item:773474,22.188271
13,M-1810,item:268091,23.113,0.0,25.0,0.0,input_shortage,item:007923,23.113
13,SDC-1450,item:773474,9.0,9.0,500000.0,54999894.25,none,,0.0
14,M-1430,item:268967,20.6226,0.0,25.0,0.0,input_shortage,item:773474,20.6226
14,M-1810,item:268091,20.6226,0.0,25.0,0.0,input_shortage,item:007923,20.6226
14,SDC-1450,item:773474,9.0,9.0,500000.0,54999885.25,none,,0.0
15,M-1430,item:268967,23.12452,0.932187,25.0,0.932187,input_shortage,item:773474,22.192333
15,M-1810,item:268091,23.12452,0.0,25.0,0.0,input_shortage,item:007923,23.12452
15,SDC-1450,item:773474,9.0,9.0,500000.0,54999876.25,none,,0.0
16,M-1430,item:268967,25.624904,0.0,25.0,0.0,input_shortage,item:773474,25.624904
16,M-1810,item:268091,25.624904,0.0,25.0,0.0,input_shortage,item:007923,25.624904
16,SDC-1450,item:773474,9.0,9.0,500000.0,54999867.25,none,,0.0
17,M-1430,item:268967,29.124981,0.932127,25.0,0.932127,input_shortage,item:773474,28.192854
17,M-1810,item:268091,29.124981,0.0,25.0,0.0,input_shortage,item:007923,29.124981
17,SDC-1450,item:773474,9.0,9.0,500000.0,54999858.25,none,,0.0
18,M-1430,item:268967,27.824996,0.932184,25.0,0.932184,input_shortage,item:773474,26.892812
18,M-1810,item:268091,27.824996,0.0,25.0,0.0,input_shortage,item:007923,27.824996
18,SDC-1450,item:773474,9.0,9.0,500000.0,54999849.25,none,,0.0
19,M-1430,item:268967,25.564999,0.0,25.0,0.0,input_shortage,item:773474,25.564999
19,M-1810,item:268091,25.564999,0.0,25.0,0.0,input_shortage,item:007923,25.564999
19,SDC-1450,item:773474,9.0,9.0,500000.0,54999840.25,none,,0.0
20,M-1430,item:268967,23.113,2.79656,25.0,2.79656,input_shortage,item:773474,20.31644
20,M-1810,item:268091,23.113,0.0,25.0,0.0,input_shortage,item:007923,23.113
20,SDC-1450,item:773474,9.0,9.0,500000.0,54999831.25,none,,0.0
21,M-1430,item:268967,20.6226,0.932175,25.0,0.932175,input_shortage,item:773474,19.690425
21,M-1810,item:268091,20.6226,0.0,25.0,0.0,input_shortage,item:007923,20.6226
21,SDC-1450,item:773474,9.0,9.0,500000.0,54999822.25,none,,0.0
22,M-1430,item:268967,23.12452,0.0,25.0,0.0,input_shortage,item:773474,23.12452
22,M-1810,item:268091,23.12452,0.0,25.0,0.0,input_shortage,item:007923,23.12452
22,SDC-1450,item:773474,9.0,9.0,500000.0,54999813.25,none,,0.0
23,M-1430,item:268967,25.624904,0.932187,25.0,0.932187,input_shortage,item:773474,24.692717
23,M-1810,item:268091,25.624904,0.0,25.0,0.0,input_shortage,item:007923,25.624904
23,SDC-1450,item:773474,9.0,9.0,500000.0,54999804.25,none,,0.0
24,M-1430,item:268967,29.124981,0.932187,25.0,0.932187,input_shortage,item:773474,28.192794
24,M-1810,item:268091,29.124981,0.0,25.0,0.0,input_shortage,item:007923,29.124981
24,SDC-1450,item:773474,9.0,9.0,500000.0,54999795.25,none,,0.0
25,M-1430,item:268967,27.824996,0.932187,25.0,0.932187,input_shortage,item:773474,26.892809
25,M-1810,item:268091,27.824996,0.0,25.0,0.0,input_shortage,item:007923,27.824996
25,SDC-1450,item:773474,9.0,9.0,500000.0,54999786.25,none,,0.0
26,M-1430,item:268967,25.564999,1.862882,25.0,1.862882,input_shortage,item:773474,23.702117
26,M-1810,item:268091,25.564999,0.0,25.0,0.0,input_shortage,item:007923,25.564999
26,SDC-1450,item:773474,9.0,9.0,500000.0,54999777.25,none,,0.0
27,M-1430,item:268967,23.113,1.864373,25.0,1.864373,input_shortage,item:773474,21.248626
27,M-1810,item:268091,23.113,0.0,25.0,0.0,input_shortage,item:007923,23.113
27,SDC-1450,item:773474,9.0,9.0,500000.0,54999768.25,none,,0.0
28,M-1430,item:268967,20.6226,0.0,25.0,0.0,input_shortage,item:773474,20.6226
28,M-1810,item:268091,20.6226,0.0,25.0,0.0,input_shortage,item:007923,20.6226
28,SDC-1450,item:773474,9.0,9.0,500000.0,54999759.25,none,,0.0
29,M-1430,item:268967,23.12452,0.932187,25.0,0.932187,input_shortage,item:773474,22.192333
29,M-1810,item:268091,23.12452,0.0,25.0,0.0,input_shortage,item:007923,23.12452
29,SDC-1450,item:773474,9.0,9.0,500000.0,54999750.25,none,,0.0
30,M-1430,item:268967,23.624904,0.932187,25.0,0.932187,input_shortage,item:773474,22.692717
30,M-1810,item:268091,23.624904,0.0,25.0,0.0,input_shortage,item:007923,23.624904
30,SDC-1450,item:773474,9.0,9.0,500000.0,54999741.25,none,,0.0
31,M-1430,item:268967,23.724981,0.932187,25.0,0.932187,input_shortage,item:773474,22.792794
31,M-1810,item:268091,23.724981,0.0,25.0,0.0,input_shortage,item:007923,23.724981
31,SDC-1450,item:773474,9.0,9.0,500000.0,54999732.25,none,,0.0
32,M-1430,item:268967,23.744996,0.932187,25.0,0.932187,input_shortage,item:773474,22.812809
32,M-1810,item:268091,23.744996,0.0,25.0,0.0,input_shortage,item:007923,23.744996
32,SDC-1450,item:773474,9.0,9.0,500000.0,54999723.25,none,,0.0
33,M-1430,item:268967,23.748999,1.864373,25.0,1.864373,input_shortage,item:773474,21.884626
33,M-1810,item:268091,23.748999,0.0,25.0,0.0,input_shortage,item:007923,23.748999
33,SDC-1450,item:773474,9.0,9.0,500000.0,54999714.25,none,,0.0
34,M-1430,item:268967,23.7498,0.0,25.0,0.0,input_shortage,item:773474,23.7498
34,M-1810,item:268091,23.7498,0.0,25.0,0.0,input_shortage,item:007923,23.7498
34,SDC-1450,item:773474,9.0,9.0,500000.0,54999705.25,none,,0.0
35,M-1430,item:268967,23.74996,0.0,25.0,0.0,input_shortage,item:773474,23.74996
35,M-1810,item:268091,23.74996,0.0,25.0,0.0,input_shortage,item:007923,23.74996
35,SDC-1450,item:773474,9.0,9.0,500000.0,54999696.25,none,,0.0
36,M-1430,item:268967,23.749992,1.864373,25.0,1.864373,input_shortage,item:773474,21.885619
36,M-1810,item:268091,23.749992,0.0,25.0,0.0,input_shortage,item:007923,23.749992
