day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,61.553352,28964.16,1367.5,792.5,5.095025,271.36,3.84,2220.58514,3.11402,1.55904,9.87392,1.608775,635.04,0.544446,0.051968,0.032176,5.039881,0.077546,1.608775,1592.5,955.0,7.0675,646.555,491700.0
1,61.150871,27576.294,1344.5,769.5,4.912635,266.484,3.656,1998.526626,3.076668,1.531026,9.696498,1.562085,625.296,0.53324,0.051034,0.031242,5.00533,0.075678,1.562085,1569.5,932.0,6.8145,637.217,491699.67816
2,60.713391,26067.744,1319.5,744.5,4.714385,261.184,3.456,1757.158676,3.036068,1.500576,9.503648,1.511335,618.8,0.52106,0.050019,0.030227,4.967775,0.073648,1.511335,1544.5,907.0,6.5395,627.067,491699.291952
3,60.275912,24559.194,1294.5,719.5,4.516135,255.884,3.256,1515.790726,2.995468,1.470126,9.310798,1.460585,618.8,0.50888,0.049004,0.029212,4.93022,0.071618,1.460585,1519.5,882.0,6.2645,616.917,491698.89287
4,59.838432,23050.644,1269.5,694.5,4.317885,250.584,3.056,1274.422776,2.954868,1.439676,9.117948,1.409835,537.6,0.4967,0.047989,0.028197,4.892665,0.069588,1.409835,1494.5,857.0,5.9895,606.767,491698.491214
5,59.400953,21542.094,1244.5,669.5,4.119635,245.284,2.856,1033.054826,2.914268,1.409226,8.925098,1.359085,537.6,0.48452,0.046974,0.027182,4.85511,0.067558,1.359085,1469.5,832.0,5.7145,596.617,491698.089043
6,58.996495,20147.411768,1221.38704,646.38704,3.936349,240.384052,2.671096,809.905715,2.876733,1.381074,8.746805,1.312166,624.929106,0.47326,0.046036,0.026243,4.82039,0.065682,1.312166,1446.38704,808.88704,5.460257,587.233138,491697.686769
7,58.635617,18903.003321,1200.764448,625.764448,3.772812,236.012063,2.506116,790.800405,2.843241,1.355956,8.587722,1.270302,633.017821,0.463212,0.045199,0.025406,4.789411,0.064007,1.270302,1425.764448,788.264448,5.233409,578.860366,491697.284474
8,58.230957,17507.623632,1177.63993,602.63993,3.589435,231.109665,2.321119,567.539701,2.805687,1.32779,8.409339,1.270049,624.891564,0.451946,0.04426,0.024467,4.754673,0.062129,1.223359,1402.63993,765.13993,5.254039,569.471811,491696.882175
9,57.793477,15999.073632,1152.63993,577.63993,3.391185,225.809665,2.121119,326.171751,2.765087,1.29734,8.216489,1.219299,543.691564,0.439766,0.043245,0.023452,4.717118,0.060099,1.172609,1377.63993,740.13993,4.979039,559.321811,491696.479875
10,57.355998,14490.523632,1127.63993,552.63993,3.192935,220.509665,1.921119,120.803801,2.724487,1.26689,8.023639,1.168549,537.6,0.427586,0.04223,0.022437,4.679563,0.058069,1.121859,1352.63993,715.13993,4.704039,549.171811,491696.077575
11,57.058741,13465.499664,1110.653022,535.653022,3.058228,216.908441,1.785224,0.0,2.683887,1.23644,7.830789,1.117799,618.8,0.415406,0.041215,0.021422,4.642008,0.056039,1.071109,1327.63993,690.13993,4.429039,539.021811,491695.675275
12,57.058741,13465.499664,1110.653022,535.653022,3.058228,216.908441,1.785224,0.0,2.643287,1.20599,17.997841,1.067049,537.6,0.403226,0.0402,0.020407,4.604453,0.054009,1.020359,1302.63993,665.13993,4.154039,528.871811,491695.272975
13,56.896399,12905.699548,1101.3759,526.3759,2.984661,214.941691,1.711007,0.0,2.605752,1.177839,17.819548,1.02013,462.528977,0.391966,0.039261,0.019469,4.569733,0.052133,0.97344,1279.52693,642.02693,3.899796,519.487933,491694.870675
14,56.733305,12343.307432,1092.055822,517.055822,2.910753,212.965834,1.636447,0.0,2.572261,1.15272,17.660465,1.029016,633.017795,0.381918,0.038424,0.018632,4.538754,0.050458,0.931576,1258.90433,621.40433,3.672948,511.115158,491694.468375
15,56.733305,12523.307432,1092.055822,517.055822,3.109003,238.68012,1.636447,0.0,2.534706,1.155005,17.482082,0.982073,624.891559,0.370652,0.037485,0.017693,4.504016,0.04858,0.884633,1235.77981,598.27981,3.418578,501.726603,491694.066075
16,56.57018,11960.807465,1082.733958,513.983958,3.03508,236.703885,1.761872,0.0,2.494106,1.124555,17.289232,0.931323,618.8,0.358472,0.03647,0.017693,4.466461,0.04858,0.833883,1210.77981,573.27981,3.143578,491.576603,491693.663775
17,56.488618,11679.558127,1078.073036,509.323036,2.998119,235.715769,1.924584,0.0,2.453506,2.701865,17.096382,0.931323,537.6,0.346292,0.035455,0.017611,4.428906,0.04655,0.783133,1185.77981,548.27981,2.868578,481.426603,491693.261475
18,56.407056,11398.30807,1073.412102,510.912102,8.373383,234.727651,2.087297,0.0,2.412906,2.671415,17.096382,0.880573,456.4,0.334112,0.03444,0.016596,4.391351,0.04452,0.732383,1160.77981,523.27981,2.84782,471.276603,491692.859175
19,56.243931,10835.807982,1064.090235,507.840235,8.299461,232.751416,2.012722,0.0,2.372306,2.666083,16.903532,0.880573,618.8,0.321932,0.033425,0.015581,4.353796,0.04452,0.681633,1135.77981,563.214875,2.57282,461.126603,491692.456875
20,56.648388,10835.807982,1064.090235,507.840235,8.299461,232.751416,2.012722,0.0,2.334771,2.637931,16.725239,0.833654,624.928976,0.322851,0.032487,0.014643,4.319076,0.042644,0.634714,1112.66681,540.101875,2.318577,451.742725,491692.054575
21,56.648388,10835.807982,1064.090235,507.840235,8.481851,232.751416,2.012722,0.0,2.30128,2.643263,16.566156,0.79179,633.017795,0.312804,0.031649,0.013806,4.288096,0.040969,0.59285,1092.04421,569.609145,2.091729,443.369949,491691.652275
22,56.566826,10554.557924,1059.429302,503.179302,8.444889,231.763298,1.975434,0.0,2.263726,2.643249,16.580623,0.744847,557.909354,0.301538,0.030711,0.013882,4.253359,0.039091,0.545907,1068.91969,546.484625,1.837359,433.981394,491691.249975
23,56.485265,10273.311466,1054.768428,498.518428,8.606179,230.775192,1.938147,0.0,2.223126,2.612799,16.580623,0.741016,543.691559,0.289358,0.029696,0.012867,4.215804,0.040959,2.185132,1043.91969,521.484625,1.562359,423.831394,491690.847675
24,56.403702,9992.061407,1050.107494,493.857494,8.931005,229.787074,1.90086,0.0,2.182526,2.582349,16.387773,0.690266,618.8,0.277178,0.028681,0.011852,4.178249,0.038929,2.232051,1018.91969,496.484625,1.287359,413.681394,491690.445375
25,56.403702,9992.061407,1050.107494,493.857494,8.931005,229.787074,2.08486,0.0,2.141926,2.551899,16.194923,0.639516,618.8,0.264998,0.027666,0.010837,4.140694,0.036899,2.181301,993.91969,471.484625,1.012359,403.531394,491690.043075
26,56.32214,9710.811349,1045.44656,489.19656,9.077421,228.798957,2.047572,0.0,2.101326,2.551899,16.002073,0.588766,537.6,0.252818,0.026651,0.010837,4.103139,0.036746,2.181301,968.91969,446.484625,0.737359,393.381394,491689.640775
27,56.32214,9710.811349,1090.901106,489.19656,9.077421,228.798957,6.207572,0.0,2.06379,2.551913,15.82378,0.541847,624.928976,0.241557,0.026727,0.009899,4.068418,0.034869,2.134382,945.80669,423.371625,1.033116,383.997516,491689.238475
28,56.32214,9710.811349,1090.901106,489.19656,9.275671,228.798957,6.409841,0.0,2.030299,2.526795,16.050397,0.499983,633.017795,0.23151,0.02589,0.009061,4.037439,0.035224,2.139437,956.43409,402.749025,1.081268,375.624741,491688.836175
29,56.159015,9148.311233,1081.579239,486.124693,9.23871,226.822721,6.335266,0.0,1.992745,2.529079,16.050308,0.45304,624.891559,0.232423,0.024951,0.009137,4.002701,0.036898,2.143245,933.30957,379.624505,1.101898,366.236185,491688.433875
30,56.077452,8867.061175,1076.918305,481.463759,9.201748,225.834603,6.297978,0.0,1.954378,2.500304,15.868066,0.405082,623.266312,0.220913,0.025007,0.041978,3.967212,0.04107,2.142229,909.684666,355.999601,0.842024,356.644474,491688.031575
31,55.914327,8304.561058,1067.596438,478.391892,9.127826,223.858367,6.223403,0.0,1.915849,2.471407,15.863345,0.398784,622.941262,0.209355,0.024044,0.041015,3.931572,0.042898,2.094067,885.959685,332.27462,0.856049,347.012132,491687.629275
32,55.832765,8023.311,1062.935504,479.980959,9.090865,222.870249,6.322011,0.0,1.877287,2.472936,15.680176,0.350581,622.876252,0.197786,0.02308,0.041065,3.895903,0.04097,2.045865,862.214689,308.529624,0.594854,337.371664,491687.226975
33,55.832765,8023.311,1062.935504,479.980959,9.090865,222.870249,6.322011,0.0,1.838718,2.444009,15.496976,0.302371,545.739503,0.186215,0.022115,0.040101,3.860227,0.041071,1.997654,838.46569,284.780625,0.333615,327.72957,491686.824675
34,55.832765,8023.311,1062.935504,479.980959,9.090865,222.870249,6.506915,0.0,1.800149,2.415082,15.472853,0.254159,622.86065,0.174645,0.021151,0.040075,3.82455,0.041173,2.000192,814.71589,261.030825,0.326737,318.087151,491686.422375
35,55.832765,8023.311,1062.935504,479.980959,9.090865,222.870249,6.506915,0.0,1.761579,2.416605,15.468028,0.256697,622.86013,0.163074,0.020187,0.040963,3.788873,0.039244,1.95198,790.96593,237.280865,8.10223,308.444668,491686.020075
36,55.751202,7742.060942,1058.27457,475.320025,9.053904,221.882131,6.506915,0.0,1.723009,2.415691,15.636753,0.208484,545.720156,0.151503,0.019223,0.039999,3.753196,0.039193,1.903767,767.215938,213.530873,8.115981,298.802171,491685.617775
37,55.66964,7460.810883,1053.613637,470.659091,9.090851,220.894013,6.469627,0.0,1.684439,2.386764,15.646396,0.160272,622.860005,0.139932,0.018258,0.039035,3.717518,0.038939,1.855555,743.46594,189.780875,8.129731,289.159672,491685.215475
38,55.34339,6335.81065,1080.424448,464.515357,9.016928,216.941541,6.542761,0.0,1.645869,2.386002,15.463188,0.112059,622.860001,0.128361,0.018309,0.039009,3.681841,0.041071,1.905012,719.71594,166.030875,7.868481,279.517172,491684.813175
39,55.34339,6335.81065,1080.424448,464.515357,9.016928,216.941541,6.780048,0.0,1.607299,2.386001,15.279981,0.063847,621.597374,0.11679,0.017345,0.03906,3.646164,0.04102,1.958299,695.96594,142.280875,7.607231,269.874672,491684.410875
40,55.261827,6054.560592,1075.763514,459.854423,8.979967,215.953423,6.742761,0.0,1.606081,2.441556,15.275156,0.062577,544.457374,0.105219,0.017315,0.039034,3.610487,0.039092,1.957006,672.21594,118.530875,7.847829,260.232172,491684.008575
41,55.261827,6054.560592,1075.763514,466.104423,8.979967,215.953423,6.742761,0.0,1.608111,2.443078,15.443881,0.106978,467.317374,0.105828,0.01635,0.039009,3.574809,0.039193,1.908794,648.46594,94.780875,7.586579,250.589672,491683.606275
42,55.180265,5773.310534,1071.10258,461.443489,8.943006,240.679591,6.817321,0.0,1.569541,2.444601,15.260674,0.058766,390.177374,0.094257,0.015386,0.038044,3.539132,0.120089,1.860581,624.71594,71.030875,7.325329,240.947172,491683.203975
43,55.098702,5492.060475,1066.441647,456.782556,8.906044,265.405759,6.817321,0.0,1.530971,2.476573,15.077466,0.010553,313.037374,0.094866,0.014422,0.03708,3.503455,0.11816,1.812369,600.96594,47.280875,7.290928,231.304672,491682.801675
44,55.098702,5492.060475,1066.441647,463.032556,8.906044,265.405759,6.929184,0.0,1.522528,2.470242,15.037364,0.0,296.152281,0.092333,0.014211,0.038899,3.495645,0.117738,1.843679,595.767328,42.082263,7.494993,229.194035,491682.399375
45,55.01714,5210.810417,1061.780713,458.371622,8.869083,264.417641,7.091896,0.0,1.556019,2.500692,15.037364,0.0,296.152281,0.092333,0.014211,0.039914,3.495645,0.117738,1.843679,595.767328,42.082263,7.747993,229.194035,491681.997075
46,54.854015,4648.310301,1052.458846,474.049755,8.993411,262.441405,7.217321,0.0,1.556019,2.500692,15.230214,0.0,296.152281,0.092333,0.014211,0.039914,3.495645,0.117738,1.945179,595.767328,42.082263,8.002363,229.194035,491681.594775
47,54.854015,4648.310301,1052.458846,474.049755,9.067333,262.441405,7.291896,0.0,1.518465,2.502976,15.051831,0.0,221.043841,0.081067,0.015149,0.038975,3.460908,0.121389,1.898237,572.642808,18.957743,7.747993,219.80548,491681.192475
48,54.854015,4648.310301,1052.458846,480.299755,9.250619,262.441405,7.366113,0.0,1.487678,2.537588,14.905591,0.009728,159.469091,0.083091,0.015394,0.039981,3.432429,0.11985,1.859752,553.685065,0.0,7.539458,212.108636,491680.790175
49,54.527765,3523.310068,1033.815111,467.90602,9.274442,258.488933,7.254251,0.0,1.487678,2.537588,14.905591,0.009728,159.469091,0.094357,0.016409,0.040996,3.432429,0.11985,1.859752,553.685065,0.0,7.814458,212.108636,491680.387875
50,54.609327,3242.060009,1029.154177,463.245086,9.23748,283.215101,7.366113,0.0,1.528278,2.566515,14.905591,0.111228,159.469091,0.106537,0.016409,0.041935,3.432429,0.11985,1.907711,553.685065,0.0,8.075707,212.108636,491679.985575
51,54.609327,3242.060009,1029.154177,463.245086,9.311048,283.215101,7.366113,0.0,1.489708,2.647202,14.915234,0.113766,82.329091,0.094966,0.015445,0.041986,3.396752,0.119952,1.910248,529.935065,41.185065,7.814457,202.466136,491679.583275
52,54.527765,2960.809951,1024.493244,464.834153,9.472337,307.941269,7.328826,0.0,1.451138,2.618275,14.732026,0.065553,5.189091,0.083395,0.015419,0.041021,3.361075,0.118023,1.95465,537.435065,17.435065,8.089457,192.823636,491679.180975
53,54.36464,2398.309835,1015.171376,461.762286,9.398414,305.965033,7.254251,0.0,1.448543,2.616329,15.278966,0.06231,0.0,0.092664,0.016293,0.040957,3.358675,0.125546,2.04656,535.837438,15.837438,8.333133,192.175,491678.778675
54,54.36464,2398.309835,1015.171376,461.762286,9.435376,305.965033,7.254251,0.0,1.448543,2.616329,15.704768,0.161019,0.0,0.104235,0.016293,0.040957,3.358675,0.125546,2.04656,535.837438,15.837438,9.102848,192.175,491678.376375
