day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,1486.0002,535329.3106,21206.1576,6476.1043,9646.9733,0.0,0.0,0.0,882.4741
1,47.5,0.0,87.5,64.96,82.0,409.222,533274.4767,21137.613,124.7546,160.8628,0.0,0.0,0.0,631.3636
2,52.5,0.0,140.0,117.704,93.2,428.4429,531108.4537,21065.5546,149.4289,36.2833,0.0,0.0,0.0,421.8506
3,60.0,0.0,200.0,81.2,94.64,334.9349,529000.8619,20995.5739,101.484,24.5504,0.0,0.0,0.0,264.2857
4,55.0,43.0,212.0,268.0,94.928,336.5865,527035.7039,20927.3425,117.788,13.0814,0.0,0.0,0.0,150.3571
5,50.0,45.0,217.0,201.2,94.9856,351.6441,524986.7453,20859.7071,131.0024,12.2472,0.0,0.0,0.0,51.4286
6,45.0,0.0,262.0,198.4,84.9826,212.6879,523706.811,20814.4933,49.1788,6.6195,0.0,0.0,0.0,0.0
7,40.0,25.0,277.0,141.2,70.0965,210.8009,523241.4843,20801.568,83.2767,4.9367,0.0,0.0,0.0,0.0
8,47.5,50.0,274.5,195.0326,72.748,173.6532,522819.7992,20788.0786,50.8777,4.8645,0.0,0.0,0.0,0.0
9,52.5,73.0,254.0,285.0186,74.6535,181.7032,522446.1444,20774.3495,51.5765,5.1602,0.0,0.0,0.0,0.0
10,60.0,25.0,289.0,154.982,79.3203,201.5231,521638.1576,20748.9252,64.6681,5.8788,0.0,0.0,0.0,0.0
11,55.0,25.0,319.0,215.1366,70.0,179.6308,521576.2169,20746.8531,50.8298,4.6205,0.0,0.0,0.0,0.0
12,50.0,39.997,329.003,150.0052,70.0,170.3425,521443.4361,20745.1922,44.3679,4.5276,0.0,0.0,0.0,0.0
13,45.0,18.4483,355.5547,215.268,72.7736,219.2648,521025.3453,20731.5985,82.6343,5.3234,0.0,0.0,0.0,0.0
14,40.0,23.113,372.4418,213.2346,74.9445,167.8109,520331.5946,20706.5365,52.6444,5.0473,0.0,0.0,0.0,0.0
15,47.5,4.6236,415.3181,255.5666,72.7855,148.6918,520038.125,20701.1755,33.5065,4.619,0.0,0.0,0.0,0.0
16,52.5,95.6226,372.1955,282.5934,74.6609,200.4465,519620.1479,20688.6749,64.6151,5.3484,0.0,0.0,0.0,0.0
17,60.0,0.0,432.1955,179.3632,74.6609,214.157,519180.8527,20674.9969,74.1535,5.4855,0.0,0.0,0.0,0.0
18,55.0,0.0,487.1955,127.6277,70.0,161.216,519074.8178,20674.4058,38.0186,4.4364,0.0,0.0,0.0,0.0
19,50.0,48.1245,489.071,343.8637,79.3219,220.8496,518413.1511,20651.5895,78.1133,6.0722,0.0,0.0,0.0,0.0
20,45.0,9.3216,524.7494,197.2206,68.113,168.8258,518368.6123,20649.6931,48.24,4.2993,0.0,0.0,0.0,0.0
21,40.0,103.0575,461.692,294.084,74.9445,167.8109,517675.7656,20626.6395,52.6444,5.0474,0.0,0.0,0.0,0.0
22,47.5,9.3219,499.8701,273.811,77.4464,185.9434,517026.5355,20601.3717,58.7263,5.5113,0.0,0.0,0.0,0.0
23,52.5,50.0,502.3701,147.9277,70.0,172.5168,516879.4999,20599.384,45.8806,4.5494,0.0,0.0,0.0,0.0
24,60.0,0.0,562.3701,135.9309,74.6609,166.0328,516444.8966,20585.6502,40.6735,5.0043,0.0,0.0,0.0,0.0
25,55.0,32.4349,584.9352,168.1434,74.6609,166.0328,516010.0709,20571.9075,40.6735,5.0043,0.0,0.0,0.0,0.0
26,50.0,20.6226,614.3126,200.1946,74.6609,209.4964,515575.6451,20558.1808,70.9111,5.4389,0.0,0.0,0.0,0.0
27,45.0,57.4464,601.8663,263.692,72.7739,178.3035,515207.9203,20546.6018,54.1375,4.9138,0.0,0.0,0.0,0.0
28,40.0,13.9828,627.8834,180.5993,65.6226,192.4993,515130.085,20546.1763,71.2125,4.2547,0.0,0.0,0.0,0.0
29,47.5,9.3219,666.0616,102.1106,68.1245,143.8751,515015.3327,20544.2599,30.8517,4.0511,0.0,0.0,0.0,0.0
30,47.5,4.6609,708.9006,124.8426,73.2858,150.8313,514586.6195,20530.6259,33.6884,4.6969,0.0,0.0,0.0,0.0
