day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,2368.4743,535857.7923,21177.0804,6774.495,9856.6032,0.0,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,158.1115,534054.0688,21117.5526,39.4178,6.7443,0.0,0.0,0.0
2,52.5,0.0,140.0,94.704,93.2,195.9299,532097.5588,21052.8472,58.7894,7.5714,0.0,0.0,0.0
3,60.0,0.0,200.0,81.2,94.64,177.3699,530147.532,20988.1415,45.5937,7.3858,0.0,0.0,0.0
4,55.0,20.0,235.0,169.2,94.928,245.6579,528197.5025,20923.4357,93.0449,8.0687,0.0,0.0,0.0
5,50.0,45.0,240.0,194.4,94.9856,202.7155,526290.6725,20858.7317,63.1585,7.6393,0.0,0.0,0.0
6,45.0,23.0,262.0,189.3825,91.223,242.7084,524504.1151,20799.3163,96.1885,7.6156,0.0,0.0,0.0
7,40.0,25.0,277.0,205.0,86.2446,154.4888,523008.4755,20745.942,41.6884,6.1744,0.0,0.0,0.0
8,47.5,25.0,299.5,274.167,91.2489,238.8855,521307.6506,20686.0933,93.4965,7.58,0.0,0.0,0.0
9,52.5,0.0,352.0,94.0824,95.0,271.4655,519276.7673,20621.3981,110.985,8.3268,0.0,0.0,0.0
10,60.0,73.113,338.887,342.1647,95.0,200.8544,517491.4644,20556.701,61.8609,7.6207,0.0,0.0,0.0
11,55.0,139.8601,254.027,162.9846,95.0,200.8544,515460.2343,20491.9919,61.8609,7.6207,0.0,0.0,0.0
12,50.0,23.1245,280.9025,179.355,71.264,228.2005,515225.7655,20486.7512,84.4309,5.2472,0.0,0.0,0.0
13,45.0,25.0,300.9025,172.0303,72.7739,169.2651,514807.8647,20473.165,47.8495,4.8235,0.0,0.0,0.0
14,40.0,20.6226,320.2799,200.0371,65.6226,231.2904,514704.0362,20471.4549,98.1995,4.6426,0.0,0.0,0.0
15,47.5,75.0,292.7799,578.3182,68.1245,145.1391,514998.5494,20483.9369,31.7311,4.0637,0.0,0.0,0.0
16,52.5,0.0,345.2799,93.3656,74.6609,204.8354,514482.5824,20470.1933,67.6685,5.3923,0.0,0.0,0.0
17,60.0,49.377,355.9028,171.3419,74.6609,156.7109,514043.335,20456.5171,34.1883,4.9111,0.0,0.0,0.0
18,55.0,98.1245,312.7783,214.7116,70.0,181.8386,513905.637,20454.6596,52.3657,4.6426,0.0,0.0,0.0
19,50.0,20.6226,342.1557,357.359,74.6609,186.3719,513651.5001,20448.1444,54.8234,5.2077,0.0,0.0,0.0
20,45.0,0.0,387.1557,106.201,68.113,168.8258,513525.2633,20446.2249,48.24,4.2993,0.0,0.0,0.0
21,40.0,34.3218,392.8339,171.0844,65.6226,187.8384,513422.235,20444.5468,67.9699,4.2081,0.0,0.0,0.0
22,47.5,84.3219,356.012,159.7378,68.1245,143.8751,513290.1099,20442.6398,30.8517,4.0511,0.0,0.0,0.0
23,52.5,0.0,408.512,159.0983,79.3216,161.5274,512551.1458,20417.2997,36.8429,5.479,0.0,0.0,0.0
24,60.0,0.0,468.512,256.8887,83.9813,212.5804,511526.949,20380.2256,71.6645,6.5092,0.0,0.0,0.0
25,55.0,0.0,523.512,217.1848,74.6609,166.0325,511173.5999,20366.4972,40.6733,5.0043,0.0,0.0,0.0
26,50.0,46.2375,527.2745,173.4013,70.0,197.5168,511030.8004,20364.4356,63.2731,4.7994,0.0,0.0,0.0
27,45.0,0.0,572.2745,44.4678,68.113,182.8071,510828.849,20362.7322,57.9668,4.4391,0.0,0.0,0.0
28,40.0,45.6226,566.6519,427.3306,70.2835,137.9942,510688.5554,20356.5636,32.5971,4.2294,0.0,0.0,0.0
29,47.5,0.0,614.1519,226.2209,77.4464,222.2442,509964.7564,20331.3129,83.9807,5.8743,0.0,0.0,0.0
30,47.5,107.7169,553.935,232.9779,77.9468,189.97,509169.929,20306.0357,60.221,5.6081,0.0,0.0,0.0
31,47.5,9.3216,592.1134,117.9969,68.725,179.3893,509032.7379,20304.0901,53.991,4.4741,0.0,0.0,0.0
32,47.5,25.0,614.6134,404.2389,73.4059,151.3448,508862.0063,20297.6643,33.7321,4.7156,0.0,0.0,0.0
33,47.5,23.6249,638.4885,92.6027,73.4099,175.0869,508357.2526,20284.0242,50.239,4.9535,0.0,0.0,0.0
34,47.5,33.0468,652.9417,135.4992,68.7498,169.6731,508223.4384,20282.1395,47.1667,4.3797,0.0,0.0,0.0
35,47.5,32.4464,667.9953,277.6445,73.4109,189.0939,507880.8936,20268.8237,59.9811,5.0937,0.0,0.0,0.0
36,47.5,0.0,715.4953,217.4217,82.7328,165.6606,506869.8958,20231.8516,42.2862,5.8989,0.0,0.0,0.0
37,47.5,37.7278,725.2675,231.7764,73.4109,222.615,506442.6801,20218.2308,83.3017,5.4289,0.0,0.0,0.0
38,47.5,4.6609,768.1066,155.3561,73.4109,178.5145,506016.2116,20204.5895,53.4362,4.9879,0.0,0.0,0.0
39,47.5,0.0,815.6066,5.4972,68.75,74.0704,505881.0441,20202.6506,30.4647,3.4237,0.0,0.0,0.0
40,47.5,94.9988,768.1078,330.1141,82.7328,107.6097,504945.7907,20165.6762,51.7094,5.3184,0.0,0.0,0.0
41,47.5,9.3219,806.286,187.0135,82.7328,126.2535,503934.4697,20128.6912,64.6799,5.5048,0.0,0.0,0.0
42,47.5,0.0,853.786,62.2387,68.75,130.8923,503799.2219,20126.7491,69.9956,3.9919,0.0,0.0,0.0
43,47.5,23.75,877.536,69.2256,73.4109,74.2262,503371.822,20113.121,29.8769,3.945,0.0,0.0,0.0
44,47.5,56.3765,868.6594,139.776,73.4109,111.959,502944.6133,20099.5005,56.1276,4.3224,0.0,0.0,0.0
45,47.5,37.7328,878.4266,67.0023,68.75,97.8204,502809.468,20097.5625,46.9875,3.6612,0.0,0.0,0.0
46,47.5,0.0,925.9266,73.7695,73.4109,102.6372,502381.9511,20083.9296,49.6424,4.2291,0.0,0.0,0.0
47,47.5,4.6609,968.7657,142.7858,78.0719,126.543,501662.8288,20058.6326,65.5775,4.988,0.0,0.0,0.0
48,47.5,75.9109,940.3548,166.7332,55.7004,56.0503,501071.6348,20035.1861,28.0329,1.7558,0.0,0.0,0.0
49,47.5,23.75,964.1048,62.3973,45.0,82.7328,501072.147,20035.2066,48.6967,0.8273,0.0,0.0,0.0
50,47.5,47.5,964.1048,48.0594,45.0,45.0,501072.3041,20035.2129,22.446,0.45,0.0,0.0,0.0
51,47.5,37.7328,973.872,93.6161,49.6609,60.5171,500780.213,20023.5292,32.5451,1.1249,0.0,0.0,0.0
52,47.5,0.0,1021.372,24.488,45.0,68.75,500780.5488,20023.5426,38.9689,0.6875,0.0,0.0,0.0
53,47.5,0.0,1068.872,1.1132,45.0,45.0,500781.2596,20023.5711,22.446,0.45,0.0,0.0,0.0
54,47.5,33.0719,1083.3001,174.0916,58.9828,64.1112,499906.6011,19988.5847,33.6531,2.2004,0.0,0.0,0.0
55,47.5,1.3785,1129.4216,2.3943,45.0,45.0,499907.2146,19988.6093,22.446,0.45,0.0,0.0,0.0
56,47.5,4.6609,1172.2607,49.8761,49.6609,49.8167,499615.1558,19976.9269,25.1008,1.0179,0.0,0.0,0.0
57,47.5,0.0,1219.7607,109.1219,54.3219,73.2772,499031.4884,19953.5802,40.7261,1.7723,0.0,0.0,0.0
58,47.5,0.0,1267.2607,225.6201,49.6609,49.8167,498919.8345,19941.9213,25.1008,1.0179,0.0,0.0,0.0
59,47.5,0.0,1314.7607,144.6284,56.7797,66.4953,498203.3555,19912.4121,35.6408,1.9786,0.0,0.0,0.0
