day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,12.8,114.7,12.8
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,139.7,0.0,139.7,0.0
5,C-XXXXX,item:268091,25.0,152.5,28.8,123.7,28.8
6,C-XXXXX,item:268967,22.5,162.2,14.72,147.48,14.72
6,C-XXXXX,item:268091,22.5,146.2,0.0,146.2,0.0
7,C-XXXXX,item:268967,20.0,167.48,16.0,151.48,16.0
7,C-XXXXX,item:268091,20.0,166.2,0.0,166.2,0.0
8,C-XXXXX,item:268967,23.75,175.23,0.0,175.23,0.0
8,C-XXXXX,item:268091,23.75,189.95,16.0,173.95,16.0
9,C-XXXXX,item:268967,26.25,201.48,0.0,201.48,0.0
9,C-XXXXX,item:268091,26.25,200.2,0.0,200.2,0.0
10,C-XXXXX,item:268967,30.0,231.48,46.792294,184.687706,46.792294
10,C-XXXXX,item:268091,30.0,230.2,0.0,230.2,0.0
11,C-XXXXX,item:268967,27.5,212.187706,0.0,212.187706,0.0
11,C-XXXXX,item:268091,27.5,257.7,89.510445,168.189555,89.510445
12,C-XXXXX,item:268967,25.0,237.187706,14.799692,222.388014,14.799692
12,C-XXXXX,item:268091,25.0,193.189555,0.0,193.189555,0.0
13,C-XXXXX,item:268967,22.5,244.888014,16.0,228.888014,16.0
