day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,2440.4743,536457.7923,21177.1044,6797.4054,9857.3232,0.0,0.0,0.0
1,47.5,0.0,87.5,64.96,89.2,165.3115,534654.0045,21117.574,43.0092,6.8163,0.0,0.0,0.0
2,52.5,0.0,140.0,94.704,101.84,204.5699,532697.4172,21052.8655,63.099,7.6578,0.0,0.0,0.0
3,60.0,0.0,200.0,81.2,103.568,186.2979,530747.3105,20988.1567,50.0469,7.4751,0.0,0.0,0.0
4,55.0,20.0,235.0,169.2,103.9136,254.6435,528797.2007,20923.4477,97.5269,8.1586,0.0,0.0,0.0
5,50.0,45.0,240.0,203.04,103.9827,211.7126,526898.9303,20858.7407,67.6463,7.7293,0.0,0.0,0.0
6,45.0,23.0,262.0,179.2,100.2225,251.7078,525102.1099,20798.9149,100.6774,7.7056,0.0,0.0,0.0
7,40.0,25.0,277.0,241.0,95.2445,163.4887,523642.3899,20745.5387,46.1776,6.2644,0.0,0.0,0.0
8,47.5,25.0,299.5,281.367,100.2489,247.8854,521948.6845,20685.6871,97.9856,7.67,0.0,0.0,0.0
9,52.5,0.0,352.0,94.0357,104.0,280.4654,519917.6741,20620.9869,115.4742,8.4168,0.0,0.0,0.0
10,60.0,73.113,338.887,360.0275,104.0,209.8544,518150.1536,20556.2852,66.3501,7.7107,0.0,0.0,0.0
11,55.0,139.8601,254.027,162.9846,104.0,209.8544,516118.843,20491.5729,66.3501,7.7107,0.0,0.0,0.0
12,50.0,23.1245,280.9025,189.5374,87.4888,244.6668,515372.2983,20468.6365,93.0353,6.2175,0.0,0.0,0.0
13,45.0,25.0,300.9025,180.8529,82.7061,179.2285,514895.7653,20452.7051,52.8696,5.027,0.0,0.0,0.0
14,40.0,20.6226,320.2799,199.9356,74.6226,240.2904,514791.7549,20450.9877,102.6887,4.7326,0.0,0.0,0.0
15,47.5,75.0,292.7799,585.543,77.1245,161.3639,515086.1876,20463.4664,41.2466,4.226,0.0,0.0,0.0
16,52.5,0.0,345.2799,102.1257,84.593,214.7987,514511.5268,20447.3751,72.6886,5.5959,0.0,0.0,0.0
