day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,1455.682,536482.5845,21195.9068,6470.0528,9508.4194,0.0,0.0,0.0,886.539
1,47.5,0.0,87.5,64.96,82.0,387.1701,534449.8026,21128.2442,120.353,60.0854,0.0,0.0,0.0,657.0779
2,52.5,0.0,140.0,117.704,93.2,433.1483,532279.0742,21055.9976,150.368,57.7869,0.0,0.0,0.0,442.4221
3,60.0,0.0,200.0,81.2,94.64,339.6402,530166.777,20985.8287,102.4232,46.054,0.0,0.0,0.0,279.7143
4,55.0,43.0,212.0,88.0,94.928,341.2919,528016.9136,20917.4018,118.7272,34.585,0.0,0.0,0.0,160.6429
5,50.0,45.0,217.0,201.2,94.9856,356.3495,525963.2497,20849.5782,131.9416,33.7508,0.0,0.0,0.0,56.5714
6,45.0,0.0,262.0,162.4,91.223,223.8753,524191.5428,20788.5397,53.6791,29.0344,0.0,0.0,0.0,0.0
7,40.0,25.0,277.0,278.0,86.2446,227.1279,522696.264,20735.1798,92.4025,5.2551,0.0,0.0,0.0,0.0
8,47.5,50.0,274.5,217.3748,91.2489,192.3678,520960.1646,20675.3587,61.3349,5.2695,0.0,0.0,0.0,0.0
9,52.5,48.0,279.0,148.1084,95.0,202.2924,519004.4804,20610.6702,63.0784,5.6401,0.0,0.0,0.0,0.0
10,60.0,25.0,314.0,84.113,95.0,200.4054,517009.6878,20545.98,61.7656,5.6213,0.0,0.0,0.0,0.0
11,55.0,25.0,344.0,216.2601,86.9869,236.0118,515682.3058,20501.3624,87.6642,5.7232,0.0,0.0,0.0,0.0
12,50.0,25.0,369.0,207.1824,74.6609,202.252,515257.7357,20488.03,65.9116,4.9946,0.0,0.0,0.0,0.0
13,45.0,48.113,365.887,333.9924,77.3901,268.3622,514550.7188,20462.8792,116.1823,5.5889,0.0,0.0,0.0,0.0
14,40.0,66.8601,339.027,293.1674,70.282,162.9111,514230.2139,20449.5022,49.9725,4.1066,0.0,0.0,0.0,0.0
15,47.5,85.734,300.793,383.6592,68.1245,168.8751,514295.5981,20455.8188,48.2442,4.3011,0.0,0.0,0.0,0.0
16,52.5,0.0,353.293,111.0866,74.6609,191.1885,513810.999,20443.3299,58.2148,4.8839,0.0,0.0,0.0,0.0
17,60.0,70.6226,342.6704,175.3137,70.0,179.6681,513663.5755,20441.3268,50.8558,4.6209,0.0,0.0,0.0,0.0
18,55.0,29.6609,368.0094,306.0415,83.9828,189.2243,512682.1207,20405.7189,55.5368,5.16,0.0,0.0,0.0,0.0
19,50.0,38.9366,379.0729,230.1723,74.6606,156.6291,512312.2472,20394.5743,34.1718,4.5383,0.0,0.0,0.0,0.0
20,45.0,23.1245,400.9483,153.1232,68.113,187.4695,512191.1644,20392.8609,61.2104,4.4857,0.0,0.0,0.0,0.0
21,40.0,0.0,440.9483,306.4089,70.2835,192.5733,511920.9926,20381.4972,70.6082,4.4033,0.0,0.0,0.0,0.0
22,47.5,102.7736,385.6747,218.0699,68.1245,191.9881,511780.6348,20379.5842,64.3239,4.5322,0.0,0.0,0.0,0.0
