day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,3530.707,536537.3262,21198.2046,6989.0441,8847.4013,0.0,0.0,0.0,875.5537
1,47.5,0.0,87.5,64.96,528.7359,826.0199,534474.019,21129.4454,334.1435,170.3345,0.0,0.0,0.0,623.1351
2,52.5,0.0,140.0,113.104,629.2831,648.4936,532587.6152,21057.6152,261.0259,35.6639,0.0,0.0,0.0,423.9078
3,60.0,0.0,200.0,125.36,593.0779,566.265,530763.2408,20987.4439,226.5242,26.7137,0.0,0.0,0.0,265.8104
4,55.0,18.432,236.568,18.432,527.5063,502.6816,528814.7536,20918.1731,189.676,20.5005,0.0,0.0,0.0,129.7857
5,50.0,60.8256,225.7424,132.8256,469.1757,517.675,526864.8392,20851.1761,213.7403,12.6623,0.0,0.0,0.0,50.1429
6,45.0,0.0,270.7424,755.0265,420.1853,438.2285,525779.1674,20790.2858,172.4063,9.5838,0.0,0.0,0.0,0.0
7,40.0,46.08,264.6624,2484.6566,377.8589,351.2858,526619.6777,20736.9061,148.8251,8.154,0.0,0.0,0.0,0.0
8,47.5,23.04,289.1224,136.2106,349.5511,388.5243,524873.0221,20676.9609,163.138,9.0894,0.0,0.0,0.0,0.0
9,52.5,90.4209,251.2015,134.2279,332.492,414.1437,522867.2982,20612.1658,172.2705,9.7677,0.0,0.0,0.0,0.0
10,60.0,44.3409,266.8606,220.448,322.1166,391.1037,521007.5916,20547.38,156.2416,9.5373,0.0,0.0,0.0,0.0
11,55.0,42.0458,279.8148,388.6137,315.9031,395.1379,519307.9857,20482.6028,159.0482,9.5776,0.0,0.0,0.0,0.0
12,50.0,0.0,329.8148,265.5529,311.7648,395.1379,517523.2635,20417.831,159.0482,9.5776,0.0,0.0,0.0,0.0
13,45.0,19.0058,355.809,476.6665,305.0952,413.1319,516052.3039,20357.9425,180.3109,9.3329,0.0,0.0,0.0,0.0
14,40.0,46.08,349.729,219.7483,294.2509,372.6081,514522.8341,20305.6971,163.659,8.3672,0.0,0.0,0.0,0.0
15,47.5,46.08,351.149,233.7702,288.9612,344.1834,512836.8381,20253.2761,132.29,8.646,0.0,0.0,0.0,0.0
16,52.5,23.04,380.609,110.0039,288.6237,391.1037,510854.7949,20188.5047,156.2416,9.5373,0.0,0.0,0.0,0.0
17,60.0,65.6631,374.9459,485.76,290.3662,395.1379,509203.4093,20124.9911,159.0482,9.5776,0.0,0.0,0.0,0.0
18,55.0,19.0058,410.9401,465.9027,292.9265,503.4029,507468.585,20060.4513,234.3681,10.6603,0.0,0.0,0.0,0.0
19,50.0,0.0,460.9401,452.6814,295.1382,437.1837,505810.7156,19998.1733,188.2994,9.9981,0.0,0.0,0.0,0.0
20,45.0,23.04,482.9001,212.114,293.0639,367.0519,504107.2456,19938.3866,148.2531,8.8721,0.0,0.0,0.0,0.0
21,40.0,153.7783,369.1218,452.6094,267.8097,118.097,504222.9268,19929.4039,22.8629,3.8443,0.0,0.0,0.0,0.0
22,47.5,65.6525,350.9693,110.4945,223.8642,140.552,504212.0419,19927.4499,37.9115,4.0309,0.0,0.0,0.0,0.0
23,52.5,0.0,403.4693,804.5225,176.8797,194.02,504847.938,19925.3799,70.2535,4.7785,0.0,0.0,0.0,0.0
24,60.0,0.0,463.4693,694.169,136.7318,128.9342,505401.4893,19924.5512,24.9733,4.1277,0.0,0.0,0.0,0.0
25,55.0,130.7277,387.7417,767.9225,106.3559,175.9467,505818.9907,19922.4957,57.6799,4.5978,0.0,0.0,0.0,0.0
26,50.0,23.04,414.7017,436.2429,84.0095,105.8942,506063.325,19922.9376,8.9444,3.8973,0.0,0.0,0.0,0.0
27,45.0,67.3916,392.3101,441.8288,65.8513,120.9413,506245.9282,19922.1438,24.2982,3.8335,0.0,0.0,0.0,0.0
28,40.0,2.6609,429.6492,78.1181,51.559,87.3525,506164.5028,19920.45,7.3783,3.2149,0.0,0.0,0.0,0.0
29,47.5,0.0,477.1492,91.5969,45.5133,120.9901,506043.9934,19918.5613,24.3023,3.8353,0.0,0.0,0.0,0.0
30,47.5,23.04,501.6092,46.7582,39.8264,121.3705,505846.7343,19916.6671,23.2715,3.8959,0.0,0.0,0.0,0.0
31,47.5,21.3009,527.8082,51.9741,35.4487,100.4935,505673.2708,19915.9318,8.4882,3.6985,0.0,0.0,0.0,0.0
32,47.5,0.0,575.3082,446.1093,32.2284,162.6683,505847.1729,19915.2024,51.6914,4.3225,0.0,0.0,0.0,0.0
33,47.5,0.0,622.8082,419.1315,29.8877,122.4602,506033.6382,19913.288,23.7083,3.9209,0.0,0.0,0.0,0.0
34,47.5,62.0901,608.2182,380.63,28.1918,100.5986,506140.5991,19911.3403,8.4971,3.7024,0.0,0.0,0.0,0.0
35,47.5,44.9049,610.8132,169.8574,26.9642,122.4827,506029.9591,19909.3961,23.7214,3.9212,0.0,0.0,0.0,0.0
36,47.5,0.0,658.3132,77.4028,5.6644,14.1412,506079.3064,19909.1333,1.1944,0.5204,0.0,0.0,0.0,0.0
37,47.5,21.8834,683.9299,45.2724,25.433,122.4873,505865.5804,19907.1958,23.7245,3.9213,0.0,0.0,0.0,0.0
38,47.5,0.0,731.4299,63.9331,21.215,63.8134,505770.6262,19906.7585,20.2425,2.9085,0.0,0.0,0.0,0.0
39,47.5,21.8878,757.042,203.9997,24.6312,88.7416,505749.9804,19905.3967,50.0569,3.5838,0.0,0.0,0.0,0.0
40,47.5,21.8871,782.655,82.1313,1.8877,1.2347,505803.7182,19907.7033,0.2442,0.1543,0.0,0.0,0.0,0.0
41,47.5,65.2821,764.8729,109.7254,24.2114,23.4595,505712.9899,19907.5235,4.6402,2.931,0.0,0.0,0.0,0.0
42,47.5,0.0,812.3729,25.4747,24.0839,24.6115,505601.9666,19906.5371,5.4416,2.9425,0.0,0.0,0.0,0.0
43,47.5,0.0,859.8729,1.1982,23.9916,23.4595,505467.7753,19904.6276,4.6402,2.931,0.0,0.0,0.0,0.0
44,47.5,0.0,907.3729,45.798,2.0378,45.6162,505457.5075,19904.4819,30.8189,0.6677,0.0,0.0,0.0,0.0
45,47.5,0.0,954.8729,48.8729,20.7491,42.2583,505365.9365,19902.8388,19.2566,2.7639,0.0,0.0,0.0,0.0
46,47.5,44.928,957.4449,108.237,23.2045,22.8303,505297.3449,19903.4663,4.5157,2.8524,0.0,0.0,0.0,0.0
47,47.5,0.0,1004.9449,50.2604,23.8162,47.0644,505187.4536,19901.5494,21.0621,3.167,0.0,0.0,0.0,0.0
48,47.5,21.888,1030.5569,66.1666,23.7979,23.4595,505096.1507,19901.3632,4.6402,2.931,0.0,0.0,0.0,0.0
49,47.5,23.6049,1054.4519,43.6702,13.0331,31.8452,505022.2226,19900.3026,15.7619,1.7942,0.0,0.0,0.0,0.0
50,47.5,0.0,1101.9519,1.0845,0.0251,0.0,505023.332,19900.346,0.0,0.0,0.0,0.0,0.0,0.0
51,47.5,0.0,1149.4519,80.3914,0.0182,77.0563,505023.4744,19900.3509,53.6081,0.7706,0.0,0.0,0.0,0.0
52,47.5,96.0621,1100.8898,97.06,0.0131,0.0,505024.4853,19900.3909,0.0,0.0,0.0,0.0,0.0,0.0
53,47.5,0.0,1148.3898,7.7231,0.0095,0.0,505032.2179,19900.6998,0.0,0.0,0.0,0.0,0.0,0.0
54,47.5,0.0,1195.8898,7.3712,0.0069,0.0,505039.5959,19900.9946,0.0,0.0,0.0,0.0,0.0,0.0
55,47.5,0.0,1243.3898,0.2987,0.005,0.0,505039.8996,19901.0066,0.0,0.0,0.0,0.0,0.0,0.0
56,47.5,0.0,1290.8898,24.0423,0.0036,0.0,505063.9454,19901.9683,0.0,0.0,0.0,0.0,0.0,0.0
57,47.5,0.0,1338.3898,0.6599,0.0026,0.0,505064.608,19901.9947,0.0,0.0,0.0,0.0,0.0,0.0
58,47.5,0.0,1385.8898,0.0794,0.0019,0.0,505064.6892,19901.9978,0.0,0.0,0.0,0.0,0.0,0.0
59,47.5,0.0,1433.3898,1.5826,0.0014,0.0,505066.2732,19902.0611,0.0,0.0,0.0,0.0,0.0,0.0
60,47.5,0.0,1480.8898,1.8503,0.001,0.0,505068.1245,19902.1351,0.0,0.0,0.0,0.0,0.0,0.0
61,47.5,0.0,1528.3898,0.4656,0.0007,0.0,505068.5907,19902.1538,0.0,0.0,0.0,0.0,0.0,0.0
62,47.5,0.0,1575.8898,0.1231,0.0005,0.0,505068.7144,19902.1587,0.0,0.0,0.0,0.0,0.0,0.0
63,47.5,0.0,1623.3898,0.6055,0.0004,0.0,505069.3203,19902.1829,0.0,0.0,0.0,0.0,0.0,0.0
64,47.5,0.0,1670.8898,0.6416,0.0003,0.0,505069.9621,19902.2086,0.0,0.0,0.0,0.0,0.0,0.0
65,47.5,0.0,1718.3898,30.5828,0.0002,0.0,505100.5451,19903.4319,0.0,0.0,0.0,0.0,0.0,0.0
66,47.5,0.0,1765.8898,0.5889,0.0001,0.0,505101.1341,19903.4554,0.0,0.0,0.0,0.0,0.0,0.0
67,47.5,0.0,1813.3898,0.0659,0.0001,0.0,505101.2002,19903.4581,0.0,0.0,0.0,0.0,0.0,0.0
68,47.5,0.0,1860.8898,0.4001,0.0001,0.0,505101.6003,19903.4741,0.0,0.0,0.0,0.0,0.0,0.0
69,47.5,0.0,1908.3898,1.1116,0.0001,0.0,505102.712,19903.5185,0.0,0.0,0.0,0.0,0.0,0.0
70,47.5,0.0,1955.8898,0.5326,0.0,0.0,505103.2446,19903.5399,0.0,0.0,0.0,0.0,0.0,0.0
71,47.5,0.0,2003.3898,28.7098,0.0,0.0,505131.9545,19904.6882,0.0,0.0,0.0,0.0,0.0,0.0
72,47.5,0.0,2050.8898,0.1915,0.0,0.0,505132.1459,19904.6959,0.0,0.0,0.0,0.0,0.0,0.0
73,47.5,0.0,2098.3898,17.1849,0.0,0.0,505149.3309,19905.3833,0.0,0.0,0.0,0.0,0.0,0.0
74,47.5,0.0,2145.8898,23.625,0.0,0.0,505172.9559,19906.3283,0.0,0.0,0.0,0.0,0.0,0.0
75,47.5,0.0,2193.3898,0.2418,0.0,0.0,505173.1977,19906.338,0.0,0.0,0.0,0.0,0.0,0.0
76,47.5,0.0,2240.8898,53.6948,0.0,0.0,505226.8925,19908.4858,0.0,0.0,0.0,0.0,0.0,0.0
77,47.5,0.0,2288.3898,0.2354,0.0,0.0,505227.1279,19908.4952,0.0,0.0,0.0,0.0,0.0,0.0
78,47.5,0.0,2335.8898,0.2169,0.0,0.0,505227.3447,19908.5039,0.0,0.0,0.0,0.0,0.0,0.0
79,47.5,0.0,2383.3898,0.2901,0.0,0.0,505227.6348,19908.5155,0.0,0.0,0.0,0.0,0.0,0.0
80,47.5,0.0,2430.8898,0.4885,0.0,0.0,505228.1233,19908.535,0.0,0.0,0.0,0.0,0.0,0.0
81,47.5,0.0,2478.3898,0.6449,0.0,0.0,505228.7682,19908.5608,0.0,0.0,0.0,0.0,0.0,0.0
