day,node_id,item_id,capacity_qty_per_day,used_qty,remaining_capacity_qty,utilization
0,SDC-1450,item:007923,428.571429,64.96,363.611429,0.151573
0,SDC-1450,item:693055,25.714286,25.714286,0.0,1.0
0,SDC-1450,item:773474,500000.0,180.0,499820.0,0.00036
0,SDC-VD0500655A,item:002612,5.142857,0.0,5.142857,0.0
0,SDC-VD0505677A,item:099439,5.142857,1.689975,3.452882,0.328606
0,SDC-VD0508918A,item:730384,6.625,6.625,0.0,1.0
0,SDC-VD0514881A,item:016332,12.222222,0.563934,11.658288,0.04614
0,SDC-VD0518684A,item:001893,5.142857,0.0,5.142857,0.0
0,SDC-VD0519670A,item:001848,5.142857,1.60776,3.535097,0.31262
0,SDC-VD0519670A,item:029313,5.142857,0.053592,5.089265,0.010421
0,SDC-VD0520115A,item:708073,5.142857,5.142857,0.0,1.0
0,SDC-VD0520132A,item:038005,5.142857,5.142857,0.0,1.0
0,SDC-VD0520132A,item:049371,5.947955,5.099969,0.847986,0.857432
0,SDC-VD0525412A,item:333362,45.454545,36.0,9.454545,0.792
0,SDC-VD0901566A,item:338928,31.25,31.25,0.0,1.0
0,SDC-VD0910216A,item:001893,5.142857,5.142857,0.0,1.0
0,SDC-VD0910216A,item:002612,5.142857,1.689975,3.452882,0.328606
0,SDC-VD0914320A,item:055703,7.692308,0.080794,7.611514,0.010503
0,SDC-VD0914360C,item:338929,64.935065,36.0,28.935065,0.5544
0,SDC-VD0914690A,item:042342,1885.6875,36.0,1849.6875,0.019091
0,SDC-VD0949099A,item:021081,5587.5,36.0,5551.5,0.006443
0,SDC-VD0951020A,item:001757,5.142857,3.17898,1.963877,0.618135
0,SDC-VD0951020A,item:001848,5.142857,0.0,5.142857,0.0
0,SDC-VD0960508A,item:021081,5587.5,36.0,5551.5,0.006443
0,SDC-VD0964290A,item:055703,5.142857,0.0,5.142857,0.0
0,SDC-VD0972460A,item:021081,5587.5,36.0,5551.5,0.006443
0,SDC-VD0975221A,item:021081,5587.5,36.0,5551.5,0.006443
0,SDC-VD0989480A,item:426331,5.142857,5.142857,0.0,1.0
0,SDC-VD0990780A,item:002612,5.142857,0.0,5.142857,0.0
0,SDC-VD0993480A,item:344135,31.25,31.25,0.0,1.0
0,SDC-VD1091642A,item:001893,5.142857,5.039623,0.103234,0.979927
0,SDC-VD1091642A,item:002612,5.142857,0.0,5.142857,0.0
0,SDC-VD1095770A,item:734545,5.142857,4.16,0.982857,0.808889
0,SDC-VD1096202A,item:039668,7.03125,0.0338,6.997451,0.004807
1,SDC-1450,item:007923,428.571429,74.704,353.867429,0.174309
1,SDC-1450,item:693055,25.714286,25.714286,0.0,1.0
1,SDC-1450,item:773474,500000.0,36.0,499964.0,7.2e-05
1,SDC-VD0500655A,item:002612,5.142857,0.0,5.142857,0.0
1,SDC-VD0505677A,item:099439,5.142857,0.04669,5.096167,0.009079
1,SDC-VD0508918A,item:730384,6.625,6.625,0.0,1.0
1,SDC-VD0514881A,item:016332,12.222222,0.011206,12.211017,0.000917
1,SDC-VD0518684A,item:001893,5.142857,0.0,5.142857,0.0
1,SDC-VD0519670A,item:001848,5.142857,0.028014,5.114843,0.005447
1,SDC-VD0519670A,item:029313,5.142857,0.000934,5.141923,0.000182
1,SDC-VD0520115A,item:708073,5.142857,0.451758,4.691099,0.087842
1,SDC-VD0520132A,item:038005,5.142857,5.142857,0.0,1.0
1,SDC-VD0520132A,item:049371,5.947955,0.034551,5.913405,0.005809
1,SDC-VD0525412A,item:333362,45.454545,0.0,45.454545,0.0
1,SDC-VD0901566A,item:338928,31.25,4.75,26.5,0.152
1,SDC-VD0910216A,item:001893,5.142857,0.177422,4.965435,0.034499
1,SDC-VD0910216A,item:002612,5.142857,0.04669,5.096167,0.009079
1,SDC-VD0914320A,item:055703,7.692308,0.001868,7.69044,0.000243
1,SDC-VD0914360C,item:338929,64.935065,0.0,64.935065,0.0
1,SDC-VD0914690A,item:042342,1885.6875,0.0,1885.6875,0.0
1,SDC-VD0949099A,item:021081,5587.5,0.0,5587.5,0.0
1,SDC-VD0951020A,item:001757,5.142857,0.037352,5.105505,0.007263
1,SDC-VD0951020A,item:001848,5.142857,0.0,5.142857,0.0
1,SDC-VD0960508A,item:021081,5587.5,0.0,5587.5,0.0
