day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,0.0,2562.857143,0.0
0,C-XXXXX,item:268091,1900.0,1900.0,0.0,1900.0,0.0
1,C-XXXXX,item:268967,3090.551021,5653.408164,0.0,5653.408164,0.0
1,C-XXXXX,item:268091,2357.530612,4257.530612,4257.530612,0.0,50919.000002
2,C-XXXXX,item:268967,3618.244898,9271.653062,9271.653062,0.0,64299.857146
2,C-XXXXX,item:268091,2815.061225,2815.061225,2815.061225,0.0,54484.857145
3,C-XXXXX,item:268967,4145.938776,4145.938776,4145.938776,0.0,72968.204085
3,C-XXXXX,item:268091,3272.591837,3272.591837,3272.591837,0.0,51669.79592
4,C-XXXXX,item:268967,4673.632653,4673.632653,4673.632653,0.0,68822.26531
4,C-XXXXX,item:268091,3730.122449,3730.122449,3730.122449,0.0,56678.122451
5,C-XXXXX,item:268967,5201.326531,5201.326531,5201.326531,0.0,68165.000003
5,C-XXXXX,item:268091,4187.653061,4187.653061,4187.653061,0.0,70882.428574
6,C-XXXXX,item:268967,5729.020408,5729.020408,5729.020408,0.0,62963.673472
6,C-XXXXX,item:268091,4645.183674,4645.183674,4645.183674,0.0,66694.775513
7,C-XXXXX,item:268967,6256.714286,6256.714286,6256.714286,0.0,67089.551024
7,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,71703.102043
8,C-XXXXX,item:268967,5958.591837,5958.591837,5958.591837,0.0,73949.571432
8,C-XXXXX,item:268091,5426.020408,5426.020408,5426.020408,0.0,76711.428574
9,C-XXXXX,item:268967,5660.469388,5660.469388,5660.469388,0.0,81635.408167
9,C-XXXXX,item:268091,5749.326531,5749.326531,5749.326531,0.0,81853.979595
10,C-XXXXX,item:268967,5362.346939,5362.346939,5362.346939,0.0,75974.938779
10,C-XXXXX,item:268091,6072.632653,6072.632653,6072.632653,0.0,88099.673472
11,C-XXXXX,item:268967,5064.22449,5064.22449,5064.22449,0.0,73884.224493
11,C-XXXXX,item:268091,6395.938776,6395.938776,6395.938776,0.0,82027.040819
12,C-XXXXX,item:268967,4766.102041,4766.102041,4766.102041,0.0,68820.000003
12,C-XXXXX,item:268091,6719.244898,6719.244898,6719.244898,0.0,88272.734696
13,C-XXXXX,item:268967,4467.979592,4467.979592,4467.979592,0.0,65834.91837
13,C-XXXXX,item:268091,7042.551021,7042.551021,7042.551021,0.0,106836.755105
14,C-XXXXX,item:268967,4169.857143,4169.857143,4169.857143,0.0,62257.448982
14,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,113082.448982
15,C-XXXXX,item:268967,4132.530612,4132.530612,4132.530612,0.0,58381.857145
15,C-XXXXX,item:268091,7980.979592,7980.979592,7980.979592,0.0,133263.000003
16,C-XXXXX,item:268967,4095.204082,4095.204082,4095.204082,0.0,54249.326533
16,C-XXXXX,item:268091,8596.102041,8596.102041,8596.102041,0.0,125282.020411
17,C-XXXXX,item:268967,4057.877551,4057.877551,4057.877551,0.0,53760.224492
17,C-XXXXX,item:268091,9211.22449,9211.22449,9211.22449,0.0,139202.142859
18,C-XXXXX,item:268967,4020.551021,4020.551021,4020.551021,0.0,53995.979595
18,C-XXXXX,item:268091,9826.346939,9826.346939,9826.346939,0.0,129990.918369
19,C-XXXXX,item:268967,3983.22449,3983.22449,3983.22449,0.0,54785.734696
19,C-XXXXX,item:268091,10441.469388,10441.469388,10441.469388,0.0,132345.367348
20,C-XXXXX,item:268967,3945.89796,3945.89796,3945.89796,0.0,60311.142859
20,C-XXXXX,item:268091,11056.591837,11056.591837,11056.591837,0.0,134699.816327
21,C-XXXXX,item:268967,3908.571429,3908.571429,3908.571429,0.0,56365.244899
21,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,137054.265306
22,C-XXXXX,item:268967,4053.387755,4053.387755,4053.387755,0.0,57155.000001
22,C-XXXXX,item:268091,11480.816327,11480.816327,11480.816327,0.0,143120.571432
23,C-XXXXX,item:268967,4198.204082,4198.204082,4198.204082,0.0,57762.612246
23,C-XXXXX,item:268091,11289.918367,11289.918367,11289.918367,0.0,151923.183677
24,C-XXXXX,item:268967,4343.020408,4343.020408,4343.020408,0.0,57544.081633
24,C-XXXXX,item:268091,11099.020408,11099.020408,11099.020408,0.0,149441.510207
25,C-XXXXX,item:268967,4487.836735,4487.836735,4487.836735,0.0,57325.551021
25,C-XXXXX,item:268091,10908.122449,10908.122449,10908.122449,0.0,146959.836736
26,C-XXXXX,item:268967,4632.653061,4632.653061,4632.653061,0.0,57107.020408
26,C-XXXXX,item:268091,10717.22449,10717.22449,10717.22449,0.0,152713.714284
27,C-XXXXX,item:268967,4777.469388,4777.469388,4777.469388,0.0,58197.061225
27,C-XXXXX,item:268091,10526.32653,10526.32653,10526.32653,0.0,150041.142854
28,C-XXXXX,item:268967,4922.285714,4922.285714,4922.285714,0.0,60079.673468
28,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,139514.816324
29,C-XXXXX,item:268967,4766.938775,4766.938775,4766.938775,0.0,61962.285712
29,C-XXXXX,item:268091,10208.163265,10208.163265,10208.163265,0.0,137033.142853
30,C-XXXXX,item:268967,4611.591837,4611.591837,4611.591837,0.0,64145.061221
30,C-XXXXX,item:268091,10080.897959,10080.897959,10080.897959,0.0,134487.836729
31,C-XXXXX,item:268967,4456.244898,4456.244898,4456.244898,0.0,62125.551017
31,C-XXXXX,item:268091,9953.632653,9953.632653,9953.632653,0.0,141132.571426
32,C-XXXXX,item:268967,4300.897959,4300.897959,4300.897959,0.0,60703.469387
32,C-XXXXX,item:268091,9826.367347,9826.367347,9826.367347,0.0,131178.938773
33,C-XXXXX,item:268967,4145.55102,4145.55102,4145.55102,0.0,62788.673469
33,C-XXXXX,item:268091,9699.102041,9699.102041,9699.102041,0.0,129524.489795
34,C-XXXXX,item:268967,3990.204082,3990.204082,3990.204082,0.0,64873.877551
34,C-XXXXX,item:268091,9571.836735,9571.836735,9571.836735,0.0,127870.040817
35,C-XXXXX,item:268967,3834.857143,3834.857143,3834.857143,0.0,66959.081632
35,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,126215.591839
36,C-XXXXX,item:268967,4265.897959,4265.897959,4265.897959,0.0,69044.285714
36,C-XXXXX,item:268091,9103.959184,9103.959184,9103.959184,0.0,124561.142861
37,C-XXXXX,item:268967,4696.938776,4696.938776,4696.938776,0.0,70543.102041
37,C-XXXXX,item:268091,8763.346939,8763.346939,8763.346939,0.0,127455.428576
38,C-XXXXX,item:268967,5127.979592,5127.979592,5127.979592,0.0,70757.061224
38,C-XXXXX,item:268091,8422.734694,8422.734694,8422.734694,0.0,118692.081637
39,C-XXXXX,item:268967,5559.020408,5559.020408,5559.020408,0.0,70971.020408
39,C-XXXXX,item:268091,8082.122449,8082.122449,8082.122449,0.0,116706.122449
40,C-XXXXX,item:268967,5990.061224,5990.061224,5990.061224,0.0,71184.979592
40,C-XXXXX,item:268091,7741.510204,7741.510204,7741.510204,0.0,121844.163265
41,C-XXXXX,item:268967,6421.102041,6421.102041,6421.102041,0.0,71836.22449
41,C-XXXXX,item:268091,7400.897959,7400.897959,7400.897959,0.0,139521.142856
42,C-XXXXX,item:268967,6852.142857,6852.142857,6852.142857,0.0,65415.122449
42,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,132120.244897
43,C-XXXXX,item:268967,6513.244898,6513.244898,6513.244898,0.0,83043.285713
43,C-XXXXX,item:268091,8086.244898,8086.244898,8086.244898,0.0,137258.285713
44,C-XXXXX,item:268967,6174.346939,6174.346939,6174.346939,0.0,89416.7551
44,C-XXXXX,item:268091,9112.204081,9112.204081,9112.204081,0.0,129172.040815
45,C-XXXXX,item:268967,5835.44898,5835.44898,5835.44898,0.0,83242.408161
45,C-XXXXX,item:268091,10138.163265,10138.163265,10138.163265,0.0,146536.938774
46,C-XXXXX,item:268967,5496.55102,5496.55102,5496.55102,0.0,81696.285714
46,C-XXXXX,item:268091,11164.122449,11164.122449,11164.122449,0.0,136398.775508
47,C-XXXXX,item:268967,5157.653061,5157.653061,5157.653061,0.0,76199.734694
47,C-XXXXX,item:268091,12190.081633,12190.081633,12190.081633,0.0,157551.30612
48,C-XXXXX,item:268967,4818.755102,4818.755102,4818.755102,0.0,72992.632655
48,C-XXXXX,item:268091,13216.040816,13216.040816,13216.040816,0.0,163058.489793
49,C-XXXXX,item:268967,4479.857143,4479.857143,4479.857143,0.0,73038.102043
49,C-XXXXX,item:268091,14242.0,14242.0,14242.0,0.0,188314.85714
50,C-XXXXX,item:268967,4776.836735,4776.836735,4776.836735,0.0,73083.571431
50,C-XXXXX,item:268091,14149.346939,14149.346939,14149.346939,0.0,174072.85714
51,C-XXXXX,item:268967,5073.816327,5073.816327,5073.816327,0.0,72493.163268
51,C-XXXXX,item:268091,14056.693877,14056.693877,14056.693877,0.0,185238.653061
52,C-XXXXX,item:268967,5370.795919,5370.795919,5370.795919,0.0,71742.326533
52,C-XXXXX,item:268091,13964.040816,13964.040816,13964.040816,0.0,184034.163265
53,C-XXXXX,item:268967,5667.77551,5667.77551,5667.77551,0.0,70991.489798
53,C-XXXXX,item:268091,13871.387755,13871.387755,13871.387755,0.0,170070.122448
54,C-XXXXX,item:268967,5964.755102,5964.755102,5964.755102,0.0,79348.857146
54,C-XXXXX,item:268091,13778.734694,13778.734694,13778.734694,0.0,181625.183671
55,C-XXXXX,item:268967,6261.734694,6261.734694,6261.734694,0.0,73384.102044
55,C-XXXXX,item:268091,13686.081632,13686.081632,13686.081632,0.0,180420.693874
