day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,44.0,44.0,0.0,0.0,44.0,585.271,32697.3608,1029.912,61.5312,44.949,1039.9344,0.0,0.0
1,44.0,44.0,0.0,77.952,43.65,218.637,30893.9086,969.3987,108.8834,70.7795,2527.3646,0.0,0.0
2,44.0,44.0,0.0,0.0,41.73,205.808,29034.3224,909.1942,126.2761,78.7369,2974.8605,0.0,1039.9344
3,48.0,48.0,0.0,143.5161,42.946,213.933,27300.4342,848.8074,126.5973,79.3655,2974.8605,0.0,2527.3646
4,52.0,52.0,0.0,89.4688,44.7892,1286.1832,25467.5534,790.5646,160.9882,90.9176,2974.8605,1039.9344,2974.8605
5,56.0,56.0,0.0,337.1491,46.25,2807.4702,23837.6571,730.859,210.1069,106.7881,2974.8605,2527.3646,1934.9262
6,56.0,56.0,0.0,320.5647,46.25,3273.8501,22172.2924,676.6883,225.6516,111.4519,2974.8605,2974.8605,447.4959
7,56.0,56.0,0.0,244.9286,46.25,3220.6397,20484.502,617.7968,182.2182,92.8046,1949.1566,2974.8605,0.0
8,52.0,48.0,4.0,148.6557,46.25,3165.8701,18763.2083,564.1118,123.822,77.3684,531.7263,2974.8605,0.0
9,48.0,26.48,25.52,231.9212,46.25,2144.4749,18168.0953,552.0383,77.6034,80.0553,162.5,2974.8605,14.2304
10,44.0,66.02,3.5,390.1053,44.9917,1600.1071,18291.8269,555.7791,60.0766,80.8428,185.0,2974.8605,81.7138
11,44.0,22.0,25.5,2912.6032,43.7484,1633.4583,19878.9004,614.4551,60.7149,83.4337,185.0,1949.1566,154.9802
12,44.0,62.5,7.0,3212.0755,41.7497,1761.6008,20188.7311,624.4022,65.8659,95.5505,185.0,531.7263,154.2491
13,48.0,22.0,33.0,2589.5655,42.9499,1819.7394,19483.5676,613.3485,67.0971,107.8907,185.0,162.5,77.649
14,52.0,24.0,61.0,2874.4956,44.79,842.94,20052.0188,647.611,73.6471,107.1927,1133.644,185.0,20.9994
15,56.0,68.5,48.5,4466.3359,46.25,445.5016,22558.4133,746.9691,118.8891,109.1847,2549.5737,185.0,0.0
16,56.0,66.1149,38.3851,470.4692,46.25,332.2392,21184.5886,696.2616,131.7226,95.4693,2995.8599,185.0,987.4144
17,56.0,0.0,94.3851,606.1122,46.25,257.0089,20087.7521,644.5954,127.9375,84.0471,2974.8605,185.0,2474.8447
18,52.0,0.0,146.3851,1510.8294,46.25,1266.8252,19834.4606,646.6126,161.008,91.4344,2977.4977,1133.644,2974.8605
19,48.0,159.492,34.8931,385.0319,46.25,2793.6542,18184.9801,594.9969,211.1011,106.9056,2987.6477,2549.5737,1987.4461
20,44.0,0.0,78.8931,167.3564,44.9917,3216.3469,16556.7424,541.2864,224.0441,110.773,2995.1605,2995.8599,449.9268
21,44.0,21.25,101.6431,648.6538,43.7484,3219.0191,15320.7597,486.0098,184.323,95.561,1987.9774,2974.8605,11.5653
22,44.0,0.0,145.6431,1647.0515,41.7497,3160.3649,15175.0736,487.5301,125.0688,80.6112,561.5465,2977.4977,17.251
23,48.0,138.4496,55.1935,2435.69,42.9499,2133.2043,16711.2678,527.1839,77.8733,79.9758,182.8,2987.6477,30.4244
24,52.0,29.1932,78.0003,109.6685,44.79,1677.3471,16485.4521,524.6437,63.4807,81.9973,205.3,2995.1605,86.7616
25,56.0,59.3452,74.6551,310.4174,26.5006,331.8526,18168.696,580.5492,20.6577,71.8737,197.6812,1987.9774,104.4805
26,56.0,84.2497,46.4054,3322.2407,46.25,1734.8404,18602.4534,590.1802,64.1098,97.4468,187.5312,561.5465,103.2299
27,56.0,60.2506,42.1548,169.4594,35.0,1016.1968,17048.7996,542.3407,41.1364,98.9735,185.0,182.8,10.7299
28,52.0,29.7478,64.407,2842.9439,46.25,1840.9398,16595.4162,543.8467,64.1477,85.1525,103.2299,205.3,0.0
29,48.0,0.0,112.407,184.6456,46.25,1398.6457,13948.1574,457.9022,63.9323,59.6061,449.274,197.6812,0.0
