day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,152.5,43.0,109.5,43.0
5,C-XXXXX,item:268091,25.0,152.5,0.0,152.5,0.0
6,C-XXXXX,item:268967,22.5,132.0,0.0,132.0,0.0
6,C-XXXXX,item:268091,22.5,175.0,41.25,133.75,41.25
7,C-XXXXX,item:268967,20.0,152.0,0.0,152.0,0.0
7,C-XXXXX,item:268091,20.0,153.75,0.0,153.75,0.0
8,C-XXXXX,item:268967,23.75,175.75,25.0,150.75,25.0
8,C-XXXXX,item:268091,23.75,177.5,42.5,135.0,42.5
9,C-XXXXX,item:268967,26.25,177.0,0.0,177.0,0.0
9,C-XXXXX,item:268091,26.25,161.25,21.25,140.0,21.25
10,C-XXXXX,item:268967,30.0,207.0,0.0,207.0,0.0
10,C-XXXXX,item:268091,30.0,170.0,21.25,148.75,21.25
11,C-XXXXX,item:268967,27.5,234.5,50.0,184.5,50.0
11,C-XXXXX,item:268091,27.5,176.25,0.0,176.25,0.0
12,C-XXXXX,item:268967,25.0,209.5,25.0,184.5,25.0
12,C-XXXXX,item:268091,25.0,201.25,63.122592,138.127408,63.122592
13,C-XXXXX,item:268967,22.5,207.0,66.86007,140.13993,66.86007
13,C-XXXXX,item:268091,22.5,160.627408,0.0,160.627408,0.0
14,C-XXXXX,item:268967,20.0,160.13993,0.0,160.13993,0.0
14,C-XXXXX,item:268091,20.0,180.627408,21.25,159.377408,21.25
15,C-XXXXX,item:268967,23.75,183.88993,0.0,183.88993,0.0
15,C-XXXXX,item:268091,23.75,183.127408,0.0,183.127408,0.0
16,C-XXXXX,item:268967,26.25,210.13993,50.0,160.13993,50.0
16,C-XXXXX,item:268091,26.25,209.377408,0.0,209.377408,0.0
17,C-XXXXX,item:268967,30.0,190.13993,25.0,165.13993,25.0
17,C-XXXXX,item:268091,30.0,239.377408,84.3726,155.004808,84.3726
18,C-XXXXX,item:268967,27.5,192.63993,71.23752,121.40241,71.23752
18,C-XXXXX,item:268091,27.5,182.504808,0.0,182.504808,0.0
19,C-XXXXX,item:268967,25.0,146.40241,0.0,146.40241,0.0
19,C-XXXXX,item:268091,25.0,207.504808,0.0,207.504808,0.0
20,C-XXXXX,item:268967,22.5,168.90241,0.0,168.90241,0.0
20,C-XXXXX,item:268091,22.5,230.004808,42.5,187.504808,42.5
21,C-XXXXX,item:268967,20.0,188.90241,20.6226,168.27981,20.6226
21,C-XXXXX,item:268091,20.0,207.504808,42.5,165.004808,42.5
22,C-XXXXX,item:268967,23.75,192.02981,25.0,167.02981,25.0
22,C-XXXXX,item:268091,23.75,188.754808,0.0,188.754808,0.0
23,C-XXXXX,item:268967,26.25,193.27981,0.0,193.27981,0.0
23,C-XXXXX,item:268091,26.25,215.004808,63.75,151.254808,63.75
24,C-XXXXX,item:268967,30.0,223.27981,98.12452,125.15529,98.12452
24,C-XXXXX,item:268091,30.0,181.254808,0.0,181.254808,0.0
25,C-XXXXX,item:268967,27.5,152.65529,43.7356,108.91969,43.7356
25,C-XXXXX,item:268091,27.5,208.754808,0.0,208.754808,0.0
26,C-XXXXX,item:268967,25.0,133.91969,0.0,133.91969,0.0
26,C-XXXXX,item:268091,25.0,233.754808,20.6226,213.132208,20.6226
27,C-XXXXX,item:268967,22.5,156.41969,0.0,156.41969,0.0
27,C-XXXXX,item:268091,22.5,235.632208,0.0,235.632208,0.0
28,C-XXXXX,item:268967,20.0,176.41969,25.0,151.41969,25.0
28,C-XXXXX,item:268091,20.0,255.632208,21.25,234.382208,21.25
29,C-XXXXX,item:268967,23.75,175.16969,0.0,175.16969,0.0
29,C-XXXXX,item:268091,23.75,258.132208,0.0,258.132208,0.0
