day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3235.04
0,SDC-1450,item:021081,983400.0
0,SDC-1450,item:693055,189.88
0,SDC-1450,item:773474,4.90564
0,SDC-VD0500655A,item:002612,216.0
0,SDC-VD0505677A,item:099439,215.9594
0,SDC-VD0508918A,item:730384,211.76
0,SDC-VD0514881A,item:016332,215.990256
0,SDC-VD0518684A,item:001893,216.0
0,SDC-VD0519670A,item:001848,215.97564
0,SDC-VD0519670A,item:029313,215.999188
0,SDC-VD0520115A,item:708073,215.8414
0,SDC-VD0520132A,item:038005,215.650016
0,SDC-VD0520132A,item:049371,215.969956
0,SDC-VD0525412A,item:333362,196.0
0,SDC-VD0901566A,item:338928,196.0
0,SDC-VD0910216A,item:001893,215.84572
0,SDC-VD0910216A,item:002612,215.9594
0,SDC-VD0914320A,item:055703,215.998376
0,SDC-VD0914360C,item:338929,196.0
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,216.0
0,SDC-VD0951020A,item:001757,215.96752
0,SDC-VD0951020A,item:001848,216.0
0,SDC-VD0960508A,item:021081,216.0
0,SDC-VD0964290A,item:055703,216.0
0,SDC-VD0972460A,item:021081,216.0
0,SDC-VD0975221A,item:021081,216.0
0,SDC-VD0989480A,item:426331,215.78
0,SDC-VD0990780A,item:002612,216.0
0,SDC-VD0993480A,item:344135,196.0
0,SDC-VD1091642A,item:001893,216.0
0,SDC-VD1091642A,item:002612,216.0
0,SDC-VD1095770A,item:734545,215.84
0,SDC-VD1096202A,item:039668,215.999188
1,SDC-1450,item:007923,3160.336
1,SDC-1450,item:021081,983399.654747
1,SDC-1450,item:693055,180.542
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,216.0
1,SDC-VD0505677A,item:099439,215.91271
1,SDC-VD0508918A,item:730384,206.884
1,SDC-VD0514881A,item:016332,215.97905
1,SDC-VD0518684A,item:001893,216.0
1,SDC-VD0519670A,item:001848,215.947626
1,SDC-VD0519670A,item:029313,215.998254
1,SDC-VD0520115A,item:708073,215.65901
1,SDC-VD0520132A,item:038005,215.247535
1,SDC-VD0520132A,item:049371,215.935405
1,SDC-VD0525412A,item:333362,173.0
1,SDC-VD0901566A,item:338928,173.0
1,SDC-VD0910216A,item:001893,215.668298
1,SDC-VD0910216A,item:002612,215.91271
1,SDC-VD0914320A,item:055703,215.996508
1,SDC-VD0914360C,item:338929,173.0
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0949099A,item:021081,215.654747
1,SDC-VD0951020A,item:001757,215.930168
1,SDC-VD0951020A,item:001848,216.0
1,SDC-VD0960508A,item:021081,216.0
1,SDC-VD0964290A,item:055703,216.0
1,SDC-VD0972460A,item:021081,216.0
1,SDC-VD0975221A,item:021081,216.0
1,SDC-VD0989480A,item:426331,215.527
1,SDC-VD0990780A,item:002612,216.0
1,SDC-VD0993480A,item:344135,173.0
1,SDC-VD1091642A,item:001893,216.0
1,SDC-VD1091642A,item:002612,216.0
1,SDC-VD1095770A,item:734545,215.656
1,SDC-VD1096202A,item:039668,215.998254
2,SDC-1450,item:007923,3077.1872
2,SDC-1450,item:021081,983399.231673
2,SDC-1450,item:693055,170.1484
2,SDC-1450,item:773474,0.0
2,SDC-VD0500655A,item:002612,216.0
2,SDC-VD0505677A,item:099439,215.860742
2,SDC-VD0508918A,item:730384,201.4568
2,SDC-VD0514881A,item:016332,215.966578
2,SDC-VD0518684A,item:001893,216.0
2,SDC-VD0519670A,item:001848,215.916445
2,SDC-VD0519670A,item:029313,215.997215
2,SDC-VD0520115A,item:708073,215.456002
2,SDC-VD0520132A,item:038005,214.799557
2,SDC-VD0520132A,item:049371,215.896949
2,SDC-VD0525412A,item:333362,147.4
2,SDC-VD0901566A,item:338928,147.4
2,SDC-VD0910216A,item:001893,215.47082
2,SDC-VD0910216A,item:002612,215.860742
2,SDC-VD0914320A,item:055703,215.99443
2,SDC-VD0914360C,item:338929,147.4
2,SDC-VD0914690A,item:042342,0.0
2,SDC-VD0949099A,item:021081,215.231673
2,SDC-VD0951020A,item:001757,215.888594
2,SDC-VD0951020A,item:001848,216.0
2,SDC-VD0960508A,item:021081,216.0
2,SDC-VD0964290A,item:055703,216.0
2,SDC-VD0972460A,item:021081,216.0
2,SDC-VD0975221A,item:021081,216.0
2,SDC-VD0989480A,item:426331,215.2454
2,SDC-VD0990780A,item:002612,216.0
2,SDC-VD0993480A,item:344135,147.4
2,SDC-VD1091642A,item:001893,216.0
2,SDC-VD1091642A,item:002612,216.0
2,SDC-VD1095770A,item:734545,215.4512
2,SDC-VD1096202A,item:039668,215.997215
3,SDC-1450,item:007923,2987.8672
3,SDC-1450,item:021081,983398.793034
3,SDC-1450,item:693055,158.9834
3,SDC-1450,item:773474,0.0
3,SDC-VD0500655A,item:002612,216.0
3,SDC-VD0505677A,item:099439,215.804917
3,SDC-VD0508918A,item:730384,195.6268
3,SDC-VD0514881A,item:016332,215.95318
3,SDC-VD0518684A,item:001893,216.0
3,SDC-VD0519670A,item:001848,215.88295
3,SDC-VD0519670A,item:029313,215.996098
3,SDC-VD0520115A,item:708073,215.237927
3,SDC-VD0520132A,item:038005,214.318329
3,SDC-VD0520132A,item:049371,215.855639
3,SDC-VD0525412A,item:333362,119.9
3,SDC-VD0901566A,item:338928,119.9
3,SDC-VD0910216A,item:001893,215.258685
3,SDC-VD0910216A,item:002612,215.804917
3,SDC-VD0914320A,item:055703,215.992197
3,SDC-VD0914360C,item:338929,119.9
3,SDC-VD0914690A,item:042342,0.0
3,SDC-VD0949099A,item:021081,214.793034
3,SDC-VD0951020A,item:001757,215.843934
3,SDC-VD0951020A,item:001848,216.0
3,SDC-VD0960508A,item:021081,216.0
3,SDC-VD0964290A,item:055703,216.0
3,SDC-VD0972460A,item:021081,216.0
3,SDC-VD0975221A,item:021081,216.0
3,SDC-VD0989480A,item:426331,214.9429
3,SDC-VD0990780A,item:002612,216.0
3,SDC-VD0993480A,item:344135,119.9
3,SDC-VD1091642A,item:001893,216.0
3,SDC-VD1091642A,item:002612,216.0
3,SDC-VD1095770A,item:734545,215.2312
3,SDC-VD1096202A,item:039668,215.996098
4,SDC-1450,item:007923,2898.5472
4,SDC-1450,item:021081,983398.351282
4,SDC-1450,item:693055,147.8184
4,SDC-1450,item:773474,0.0
4,SDC-VD0500655A,item:002612,216.0
4,SDC-VD0505677A,item:099439,215.749092
4,SDC-VD0508918A,item:730384,189.7968
4,SDC-VD0514881A,item:016332,215.939782
4,SDC-VD0518684A,item:001893,216.0
4,SDC-VD0519670A,item:001848,215.849455
4,SDC-VD0519670A,item:029313,215.994982
4,SDC-VD0520115A,item:708073,215.019852
4,SDC-VD0520132A,item:038005,213.837102
4,SDC-VD0520132A,item:049371,215.814328
4,SDC-VD0525412A,item:333362,92.4
4,SDC-VD0901566A,item:338928,92.4
4,SDC-VD0910216A,item:001893,215.04655
4,SDC-VD0910216A,item:002612,215.749092
4,SDC-VD0914320A,item:055703,215.989964
4,SDC-VD0914360C,item:338929,92.4
4,SDC-VD0914690A,item:042342,0.0
4,SDC-VD0949099A,item:021081,214.351282
4,SDC-VD0951020A,item:001757,215.799274
4,SDC-VD0951020A,item:001848,216.0
4,SDC-VD0960508A,item:021081,216.0
4,SDC-VD0964290A,item:055703,216.0
4,SDC-VD0972460A,item:021081,216.0
4,SDC-VD0975221A,item:021081,216.0
4,SDC-VD0989480A,item:426331,214.6404
4,SDC-VD0990780A,item:002612,216.0
4,SDC-VD0993480A,item:344135,92.4
4,SDC-VD1091642A,item:001893,216.0
4,SDC-VD1091642A,item:002612,216.0
4,SDC-VD1095770A,item:734545,215.0112
4,SDC-VD1096202A,item:039668,215.994982
5,SDC-1450,item:007923,2815.51273
5,SDC-1450,item:021081,983397.908908
5,SDC-1450,item:693055,137.439091
5,SDC-1450,item:773474,0.0
5,SDC-VD0500655A,item:002612,216.0
5,SDC-VD0505677A,item:099439,215.697195
5,SDC-VD0508918A,item:730384,184.377062
5,SDC-VD0514881A,item:016332,215.927327
5,SDC-VD0518684A,item:001893,216.0
5,SDC-VD0519670A,item:001848,215.818317
5,SDC-VD0519670A,item:029313,215.993944
5,SDC-VD0520115A,item:708073,214.817123
5,SDC-VD0520132A,item:038005,213.389739
5,SDC-VD0520132A,item:049371,215.775925
5,SDC-VD0525412A,item:333362,66.8352
5,SDC-VD0901566A,item:338928,66.8352
5,SDC-VD0910216A,item:001893,214.849343
5,SDC-VD0910216A,item:002612,215.697195
5,SDC-VD0914320A,item:055703,215.987888
5,SDC-VD0914360C,item:338929,66.8352
5,SDC-VD0914690A,item:042342,0.0
5,SDC-VD0949099A,item:021081,213.908908
5,SDC-VD0951020A,item:001757,215.757756
5,SDC-VD0951020A,item:001848,216.0
5,SDC-VD0960508A,item:021081,216.0
5,SDC-VD0964290A,item:055703,216.0
5,SDC-VD0972460A,item:021081,216.0
5,SDC-VD0975221A,item:021081,216.0
5,SDC-VD0989480A,item:426331,214.359187
5,SDC-VD0990780A,item:002612,216.0
5,SDC-VD0993480A,item:344135,66.8352
5,SDC-VD1091642A,item:001893,216.0
5,SDC-VD1091642A,item:002612,216.0
5,SDC-VD1095770A,item:734545,214.806682
5,SDC-VD1096202A,item:039668,215.993944
6,SDC-1450,item:007923,2740.441836
6,SDC-1450,item:021081,983397.466409
6,SDC-1450,item:693055,128.055229
6,SDC-1450,item:773474,0.0
6,SDC-VD0500655A,item:002612,216.0
6,SDC-VD0505677A,item:099439,215.650276
6,SDC-VD0508918A,item:730384,179.477115
6,SDC-VD0514881A,item:016332,215.916066
6,SDC-VD0518684A,item:001893,216.0
6,SDC-VD0519670A,item:001848,215.790166
6,SDC-VD0519670A,item:029313,215.993006
6,SDC-VD0520115A,item:708073,214.633837
6,SDC-VD0520132A,item:038005,212.985281
6,SDC-VD0520132A,item:049371,215.741204
6,SDC-VD0525412A,item:333362,43.72224
6,SDC-VD0901566A,item:338928,43.72224
6,SDC-VD0910216A,item:001893,214.671049
6,SDC-VD0910216A,item:002612,215.650276
6,SDC-VD0914320A,item:055703,215.986011
6,SDC-VD0914360C,item:338929,43.72224
6,SDC-VD0914690A,item:042342,0.0
6,SDC-VD0949099A,item:021081,213.466409
6,SDC-VD0951020A,item:001757,215.720221
6,SDC-VD0951020A,item:001848,216.0
6,SDC-VD0960508A,item:021081,216.0
6,SDC-VD0964290A,item:055703,216.0
6,SDC-VD0972460A,item:021081,216.0
6,SDC-VD0975221A,item:021081,216.0
6,SDC-VD0989480A,item:426331,214.104945
6,SDC-VD0990780A,item:002612,216.0
6,SDC-VD0993480A,item:344135,43.72224
6,SDC-VD1091642A,item:001893,216.0
6,SDC-VD1091642A,item:002612,216.0
