day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1998.0979,21348.9052,635.4519,4.06,24.8014,1389.9179
1,50.0,0.0,100.0,81.2,50.0,0.0,19532.0073,572.8266,0.0,0.0,0.0
2,50.0,0.0,150.0,0.0,50.0,0.0,17633.9094,510.1981,0.0,0.0,0.0
3,50.0,0.0,200.0,0.0,50.0,0.0,15735.8116,447.5696,0.0,0.0,0.0
4,50.0,0.0,250.0,0.0,50.0,0.0,13837.7137,384.9411,0.0,0.0,0.0
5,50.0,0.0,300.0,50.0,50.0,0.0,11989.6158,322.3126,0.0,0.0,0.0
6,50.0,0.0,350.0,0.0,50.0,0.0,10091.518,259.6841,0.0,0.0,0.0
7,50.0,0.0,400.0,0.0,50.0,13986.6851,6536.1606,158.3177,28.42,173.61,12329.4256
8,50.0,0.0,450.0,2435.2979,50.0,0.0,7073.3606,160.3371,0.0,0.0,0.0
9,50.0,0.0,500.0,0.0,0.0,0.0,7073.3606,160.3371,0.0,0.0,0.0
10,50.0,50.0,500.0,50.0,0.0,0.0,7073.3606,160.3371,0.0,0.0,0.0
11,50.0,0.0,550.0,0.0,0.0,0.0,7073.3606,160.3371,0.0,0.0,0.0
12,50.0,0.0,600.0,300.0,0.0,0.0,7373.3606,160.3371,0.0,0.0,0.0
13,50.0,0.0,650.0,0.0,0.0,0.0,7373.3606,160.3371,0.0,0.0,0.0
14,50.0,0.0,700.0,0.0,0.0,2298.0979,6925.1807,158.0603,4.06,24.8014,1849.9179
15,50.0,0.0,750.0,13149.4851,50.0,0.0,18176.5679,547.8118,0.0,0.0,0.0
16,50.0,0.0,800.0,0.0,50.0,0.0,16278.4701,485.1833,0.0,0.0,0.0
17,50.0,300.0,550.0,300.0,50.0,0.0,14380.3722,422.5548,0.0,0.0,0.0
18,50.0,0.0,600.0,0.0,50.0,0.0,12482.2743,359.9263,0.0,0.0,0.0
19,50.0,0.0,650.0,50.0,50.0,0.0,10634.1764,297.2978,0.0,0.0,0.0
20,50.0,0.0,700.0,0.0,50.0,0.0,8736.0786,234.6693,0.0,0.0,0.0
21,50.0,0.0,750.0,0.0,50.0,13986.6851,5800.7212,158.1028,28.42,173.61,12949.4256
22,50.0,0.0,800.0,2435.2979,50.0,0.0,6337.9212,160.1223,0.0,0.0,0.0
23,50.0,0.0,850.0,0.0,0.0,0.0,6337.9212,160.1223,0.0,0.0,0.0
24,50.0,50.0,850.0,50.0,0.0,0.0,6337.9212,160.1223,0.0,0.0,0.0
25,50.0,0.0,900.0,0.0,0.0,0.0,6337.9212,160.1223,0.0,0.0,0.0
26,50.0,0.0,950.0,300.0,0.0,0.0,6637.9212,160.1223,0.0,0.0,0.0
27,50.0,0.0,1000.0,0.0,0.0,0.0,6637.9212,160.1223,0.0,0.0,0.0
28,50.0,0.0,1050.0,0.0,0.0,2298.0979,6189.7413,157.8455,4.06,24.8014,1849.918
29,50.0,0.0,1100.0,13149.4851,50.0,0.0,17441.1285,547.597,0.0,0.0,0.0
