day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,8.268361,7.874629
0,M-1430,item:042342,28511.595,27153.9
0,M-1430,item:333362,472.5,450.0
0,M-1430,item:344135,472.5,450.0
0,M-1430,item:708073,3.746925,3.5685
0,M-1430,item:730384,100.17,95.4
0,M-1430,item:734545,3.78,3.6
0,M-1430,item:773474,4561.854255,4344.6231
0,M-1810,item:001757,0.76734,0.7308
0,M-1810,item:001848,0.575505,0.5481
0,M-1810,item:001893,3.644865,3.4713
0,M-1810,item:002612,0.959175,0.9135
0,M-1810,item:016332,0.230202,0.21924
0,M-1810,item:029313,0.019184,0.01827
0,M-1810,item:039668,0.019184,0.01827
0,M-1810,item:049371,0.709789,0.67599
0,M-1810,item:055703,0.038367,0.03654
0,M-1810,item:099439,0.959175,0.9135
0,M-1810,item:338928,472.5,450.0
0,M-1810,item:338929,472.5,450.0
0,M-1810,item:426331,5.1975,4.95
0,M-1810,item:693055,191.835,182.7
0,M-1810,item:693710,700.0,626.92
1,M-1430,item:038005,7.874629,7.480898
1,M-1430,item:042342,27153.9,25796.205
1,M-1430,item:333362,450.0,427.5
1,M-1430,item:344135,450.0,427.5
1,M-1430,item:708073,3.5685,3.390075
1,M-1430,item:730384,95.4,90.63
1,M-1430,item:734545,3.6,3.42
1,M-1430,item:773474,4344.6231,4127.391945
1,M-1810,item:001757,0.7308,0.69426
1,M-1810,item:001848,0.5481,0.520695
1,M-1810,item:001893,3.4713,3.297735
1,M-1810,item:002612,0.9135,0.867825
1,M-1810,item:016332,0.21924,0.208278
1,M-1810,item:029313,0.01827,0.017357
1,M-1810,item:039668,0.01827,0.017357
1,M-1810,item:049371,0.67599,0.64219
1,M-1810,item:055703,0.03654,0.034713
1,M-1810,item:099439,0.9135,0.867825
1,M-1810,item:338928,450.0,427.5
1,M-1810,item:338929,450.0,427.5
1,M-1810,item:426331,4.95,4.7025
1,M-1810,item:693055,182.7,173.565
1,M-1810,item:693710,700.0,626.92
2,M-1430,item:038005,7.480898,7.087166
2,M-1430,item:042342,25796.205,24438.51
2,M-1430,item:333362,427.5,405.0
2,M-1430,item:344135,427.5,405.0
2,M-1430,item:708073,3.390075,3.21165
2,M-1430,item:730384,90.63,85.86
2,M-1430,item:734545,3.42,3.24
2,M-1430,item:773474,4127.391945,3910.16079
2,M-1810,item:001757,0.69426,0.65772
2,M-1810,item:001848,0.520695,0.49329
2,M-1810,item:001893,3.297735,3.12417
2,M-1810,item:002612,0.867825,0.82215
2,M-1810,item:016332,0.208278,0.197316
2,M-1810,item:029313,0.017357,0.016443
2,M-1810,item:039668,0.017357,0.016443
2,M-1810,item:049371,0.64219,0.608391
2,M-1810,item:055703,0.034713,0.032886
2,M-1810,item:099439,0.867825,0.82215
2,M-1810,item:338928,427.5,405.0
2,M-1810,item:338929,427.5,405.0
2,M-1810,item:426331,4.7025,4.455
2,M-1810,item:693055,173.565,164.43
2,M-1810,item:693710,626.92,553.84
3,M-1430,item:038005,7.087166,6.693435
3,M-1430,item:042342,24438.51,23080.815
3,M-1430,item:333362,405.0,382.5
3,M-1430,item:344135,405.0,382.5
3,M-1430,item:708073,3.21165,3.033225
3,M-1430,item:730384,90.63,85.86
3,M-1430,item:734545,3.24,3.06
3,M-1430,item:773474,3910.16079,3692.929635
3,M-1810,item:001757,0.65772,0.62118
3,M-1810,item:001848,0.49329,0.465885
3,M-1810,item:001893,3.12417,2.950605
3,M-1810,item:002612,0.82215,0.776475
3,M-1810,item:016332,0.197316,0.186354
3,M-1810,item:029313,0.016443,0.015529
3,M-1810,item:039668,0.016443,0.015529
3,M-1810,item:049371,0.608391,0.574592
3,M-1810,item:055703,0.032886,0.031059
3,M-1810,item:099439,0.82215,0.776475
3,M-1810,item:338928,405.0,382.5
3,M-1810,item:338929,405.0,382.5
3,M-1810,item:426331,4.455,4.2075
3,M-1810,item:693055,164.43,155.295
3,M-1810,item:693710,626.92,553.84
4,M-1430,item:038005,6.693435,6.299703
4,M-1430,item:042342,23080.815,21723.12
4,M-1430,item:333362,382.5,360.0
4,M-1430,item:344135,382.5,360.0
4,M-1430,item:708073,3.033225,2.8548
4,M-1430,item:730384,85.86,81.09
4,M-1430,item:734545,3.06,2.88
4,M-1430,item:773474,3692.929635,3475.69848
4,M-1810,item:001757,0.62118,0.58464
4,M-1810,item:001848,0.465885,0.43848
4,M-1810,item:001893,2.950605,2.77704
4,M-1810,item:002612,0.776475,0.7308
4,M-1810,item:016332,0.186354,0.175392
4,M-1810,item:029313,0.015529,0.014616
4,M-1810,item:039668,0.015529,0.014616
4,M-1810,item:049371,0.574592,0.540792
4,M-1810,item:055703,0.032886,0.031059
4,M-1810,item:099439,0.776475,0.7308
4,M-1810,item:338928,382.5,360.0
4,M-1810,item:338929,382.5,360.0
4,M-1810,item:426331,4.2075,3.96
4,M-1810,item:693055,155.295,146.16
4,M-1810,item:693710,626.92,553.84
5,M-1430,item:038005,6.299703,5.905972
5,M-1430,item:042342,21723.12,20365.425
5,M-1430,item:333362,360.0,337.5
5,M-1430,item:344135,382.5,360.0
5,M-1430,item:708073,2.8548,2.676375
5,M-1430,item:730384,81.09,76.32
5,M-1430,item:734545,2.88,2.7
5,M-1430,item:773474,3475.69848,3258.467325
5,M-1810,item:001757,0.58464,0.5481
5,M-1810,item:001848,0.43848,0.411075
5,M-1810,item:001893,2.950605,2.77704
5,M-1810,item:002612,0.7308,0.685125
5,M-1810,item:016332,0.175392,0.16443
5,M-1810,item:029313,0.014616,0.013703
5,M-1810,item:039668,0.014616,0.013703
5,M-1810,item:049371,0.574592,0.540792
5,M-1810,item:055703,0.031059,0.029232
5,M-1810,item:099439,0.7308,0.685125
5,M-1810,item:338928,382.5,360.0
5,M-1810,item:338929,382.5,360.0
5,M-1810,item:426331,3.96,3.7125
5,M-1810,item:693055,146.16,137.025
5,M-1810,item:693710,700.0,626.92
6,M-1430,item:038005,5.905972,5.51224
6,M-1430,item:042342,20365.425,19007.73
6,M-1430,item:333362,337.5,315.0
6,M-1430,item:344135,360.0,337.5
6,M-1430,item:708073,2.676375,2.49795
6,M-1430,item:730384,76.32,71.55
6,M-1430,item:734545,2.7,2.52
6,M-1430,item:773474,3258.467325,3041.23617
6,M-1810,item:001757,0.5481,0.51156
6,M-1810,item:001848,0.411075,0.38367
6,M-1810,item:001893,2.77704,2.603475
6,M-1810,item:002612,0.685125,0.63945
6,M-1810,item:016332,0.16443,0.153468
6,M-1810,item:029313,0.014616,0.013703
6,M-1810,item:039668,0.013703,0.012789
6,M-1810,item:049371,0.540792,0.506993
6,M-1810,item:055703,0.029232,0.027405
6,M-1810,item:099439,0.685125,0.63945
6,M-1810,item:338928,360.0,337.5
6,M-1810,item:338929,382.5,360.0
6,M-1810,item:426331,3.7125,3.465
6,M-1810,item:693055,137.025,127.89
6,M-1810,item:693710,626.92,553.84
7,M-1430,item:038005,5.905972,5.51224
7,M-1430,item:042342,19007.73,17650.035
7,M-1430,item:333362,315.0,292.5
7,M-1430,item:344135,355.5,333.0
7,M-1430,item:708073,2.676375,2.49795
7,M-1430,item:730384,71.55,66.78
7,M-1430,item:734545,2.52,2.34
7,M-1430,item:773474,3194.23617,2977.005015
7,M-1810,item:001757,0.5481,0.51156
7,M-1810,item:001848,0.411075,0.38367
7,M-1810,item:001893,2.603475,2.42991
7,M-1810,item:002612,0.63945,0.593775
7,M-1810,item:016332,0.153468,0.142506
7,M-1810,item:029313,0.013703,0.012789
7,M-1810,item:039668,0.012789,0.011876
7,M-1810,item:049371,0.506993,0.473193
7,M-1810,item:055703,0.027405,0.025578
7,M-1810,item:099439,0.685125,0.63945
7,M-1810,item:338928,337.5,315.0
7,M-1810,item:338929,360.0,337.5
7,M-1810,item:426331,3.96,3.7125
7,M-1810,item:693055,127.89,118.755
7,M-1810,item:693710,626.92,553.84
8,M-1430,item:038005,5.905972,5.51224
8,M-1430,item:042342,17803.035,16445.34
8,M-1430,item:333362,292.5,270.0
8,M-1430,item:344135,333.0,310.5
8,M-1430,item:708073,2.676375,2.49795
8,M-1430,item:730384,66.78,62.01
8,M-1430,item:734545,2.52,2.34
8,M-1430,item:773474,2977.005015,2759.77386
8,M-1810,item:001757,0.51156,0.47502
8,M-1810,item:001848,0.38367,0.356265
8,M-1810,item:001893,2.42991,2.256345
8,M-1810,item:002612,0.593775,0.5481
8,M-1810,item:016332,0.142506,0.131544
8,M-1810,item:029313,0.012789,0.011876
8,M-1810,item:039668,0.012789,0.011876
8,M-1810,item:049371,0.473193,0.439394
8,M-1810,item:055703,0.025578,0.023751
8,M-1810,item:099439,0.685125,0.63945
8,M-1810,item:338928,315.0,292.5
8,M-1810,item:338929,337.5,315.0
8,M-1810,item:426331,3.7125,3.465
8,M-1810,item:693055,118.755,109.62
8,M-1810,item:693710,626.92,553.84
9,M-1430,item:038005,5.51224,5.118509
9,M-1430,item:042342,16445.34,15087.645
9,M-1430,item:333362,270.0,247.5
9,M-1430,item:344135,310.5,288.0
9,M-1430,item:708073,2.49795,2.319525
9,M-1430,item:730384,62.01,57.24
9,M-1430,item:734545,2.34,2.16
9,M-1430,item:773474,2759.77386,2542.542705
9,M-1810,item:001757,0.51156,0.47502
9,M-1810,item:001848,0.43848,0.411075
9,M-1810,item:001893,2.256345,2.08278
9,M-1810,item:002612,0.5481,0.502425
9,M-1810,item:016332,0.131544,0.120582
9,M-1810,item:029313,0.011876,0.010962
9,M-1810,item:039668,0.012789,0.011876
9,M-1810,item:049371,0.473193,0.439394
9,M-1810,item:055703,0.023751,0.021924
9,M-1810,item:099439,0.63945,0.593775
9,M-1810,item:338928,360.0,337.5
9,M-1810,item:338929,337.5,315.0
9,M-1810,item:426331,3.465,3.2175
9,M-1810,item:693055,127.89,118.755
9,M-1810,item:693710,700.0,626.92
10,M-1430,item:038005,5.118509,4.724778
10,M-1430,item:042342,15087.645,13729.95
10,M-1430,item:333362,247.5,225.0
10,M-1430,item:344135,333.0,310.5
10,M-1430,item:708073,2.319525,2.1411
10,M-1430,item:730384,71.55,66.78
10,M-1430,item:734545,2.16,1.98
10,M-1430,item:773474,2542.542705,2325.31155
10,M-1810,item:001757,0.47502,0.43848
10,M-1810,item:001848,0.411075,0.38367
10,M-1810,item:001893,2.08278,1.909215
10,M-1810,item:002612,0.502425,0.45675
10,M-1810,item:016332,0.131544,0.120582
10,M-1810,item:029313,0.010962,0.010049
10,M-1810,item:039668,0.011876,0.010962
10,M-1810,item:049371,0.439394,0.405594
10,M-1810,item:055703,0.021924,0.020097
10,M-1810,item:099439,0.63945,0.593775
10,M-1810,item:338928,337.5,315.0
10,M-1810,item:338929,315.0,292.5
10,M-1810,item:426331,3.2175,2.97
10,M-1810,item:693055,118.755,109.62
10,M-1810,item:693710,626.92,553.84
11,M-1430,item:038005,5.118509,4.724778
11,M-1430,item:042342,13729.95,12372.255
11,M-1430,item:333362,225.0,202.5
11,M-1430,item:344135,310.5,288.0
11,M-1430,item:708073,2.319525,2.1411
11,M-1430,item:730384,76.32,71.55
11,M-1430,item:734545,1.98,1.8
11,M-1430,item:773474,2325.31155,2108.080395
11,M-1810,item:001757,0.47502,0.43848
11,M-1810,item:001848,0.38367,0.356265
11,M-1810,item:001893,1.909215,1.73565
11,M-1810,item:002612,0.502425,0.45675
11,M-1810,item:016332,0.131544,0.120582
11,M-1810,item:029313,0.010049,0.009135
11,M-1810,item:039668,0.011876,0.010962
11,M-1810,item:049371,0.405594,0.371795
11,M-1810,item:055703,0.020097,0.01827
11,M-1810,item:099439,0.593775,0.5481
11,M-1810,item:338928,337.5,315.0
11,M-1810,item:338929,310.5,288.0
11,M-1810,item:426331,2.97,2.7225
11,M-1810,item:693055,118.755,109.62
11,M-1810,item:693710,553.84,480.76
12,M-1430,item:038005,4.724778,4.331046
12,M-1430,item:042342,12372.255,11014.56
12,M-1430,item:333362,202.5,180.0
12,M-1430,item:344135,288.0,265.5
12,M-1430,item:708073,2.1411,1.962675
12,M-1430,item:730384,81.09,76.32
12,M-1430,item:734545,1.8,1.62
12,M-1430,item:773474,2108.080395,1890.84924
12,M-1810,item:001757,0.43848,0.40194
12,M-1810,item:001848,0.356265,0.32886
12,M-1810,item:001893,1.909215,1.73565
12,M-1810,item:002612,0.45675,0.411075
12,M-1810,item:016332,0.131544,0.120582
12,M-1810,item:029313,0.012789,0.011876
12,M-1810,item:039668,0.010962,0.010049
12,M-1810,item:049371,0.371795,0.337995
12,M-1810,item:055703,0.020097,0.01827
12,M-1810,item:099439,0.5481,0.502425
12,M-1810,item:338928,315.0,292.5
12,M-1810,item:338929,333.0,310.5
12,M-1810,item:426331,2.97,2.7225
12,M-1810,item:693055,118.755,109.62
12,M-1810,item:693710,626.92,553.84
13,M-1430,item:038005,4.331046,3.937315
13,M-1430,item:042342,11014.56,9656.865
13,M-1430,item:333362,225.0,202.5
13,M-1430,item:344135,265.5,243.0
13,M-1430,item:708073,2.1411,1.962675
13,M-1430,item:730384,76.32,71.55
13,M-1430,item:734545,1.98,1.8
13,M-1430,item:773474,1922.495722,1705.264567
13,M-1810,item:001757,0.43848,0.40194
13,M-1810,item:001848,0.356265,0.32886
13,M-1810,item:001893,1.909215,1.73565
13,M-1810,item:002612,0.45675,0.411075
13,M-1810,item:016332,0.142506,0.131544
13,M-1810,item:029313,0.011876,0.010962
13,M-1810,item:039668,0.010049,0.009135
13,M-1810,item:049371,0.337995,0.304196
13,M-1810,item:055703,0.01827,0.016443
13,M-1810,item:099439,0.502425,0.45675
13,M-1810,item:338928,292.5,270.0
13,M-1810,item:338929,310.5,288.0
13,M-1810,item:426331,2.7225,2.475
13,M-1810,item:693055,109.62,100.485
13,M-1810,item:693710,626.92,553.84
14,M-1430,item:038005,4.724778,4.331046
14,M-1430,item:042342,9656.865,8299.17
14,M-1430,item:333362,243.0,220.5
14,M-1430,item:344135,243.0,220.5
14,M-1430,item:708073,1.962675,1.78425
14,M-1430,item:730384,71.55,66.78
14,M-1430,item:734545,2.16,1.98
14,M-1430,item:773474,1705.264567,1488.033412
14,M-1810,item:001757,0.40194,0.3654
