day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,22.5,22.5
0,M-1810,item:268091,22.5,22.5
1,M-1430,item:268967,22.5,45.0
1,M-1810,item:268091,22.5,45.0
2,M-1430,item:268967,22.5,67.5
2,M-1810,item:268091,22.5,67.5
3,M-1430,item:268967,22.5,90.0
3,M-1810,item:268091,22.5,90.0
4,M-1430,item:268967,22.5,112.5
4,M-1810,item:268091,22.5,112.5
5,M-1430,item:268967,22.5,135.0
5,M-1810,item:268091,22.5,135.0
6,M-1430,item:268967,22.5,157.5
6,M-1810,item:268091,22.5,157.5
7,M-1430,item:268967,22.5,180.0
7,M-1810,item:268091,22.5,180.0
8,M-1430,item:268967,22.5,202.5
8,M-1810,item:268091,22.5,202.5
9,M-1430,item:268967,22.5,225.0
9,M-1810,item:268091,22.5,225.0
10,M-1430,item:268967,22.5,247.5
10,M-1810,item:268091,22.5,247.5
11,M-1430,item:268967,19.125,266.625
11,M-1810,item:268091,22.5,270.0
12,M-1430,item:268967,21.99375,288.61875
12,M-1810,item:268091,22.5,292.5
13,M-1430,item:268967,22.424062,311.042812
13,M-1810,item:268091,22.5,315.0
14,M-1430,item:268967,22.488609,333.531422
14,M-1810,item:268091,22.5,337.5
15,M-1430,item:268967,22.498291,356.029713
15,M-1810,item:268091,22.5,360.0
16,M-1430,item:268967,22.499744,378.529457
16,M-1810,item:268091,22.5,382.5
17,M-1430,item:268967,22.499962,401.029419
17,M-1810,item:268091,19.125,401.625
18,M-1430,item:268967,22.499994,423.529413
18,M-1810,item:268091,21.99375,423.61875
19,M-1430,item:268967,22.499999,446.029412
19,M-1810,item:268091,22.424062,446.042812
20,M-1430,item:268967,22.5,468.529412
20,M-1810,item:268091,22.488609,468.531422
21,M-1430,item:268967,22.5,491.029412
21,M-1810,item:268091,22.498291,491.029713
22,M-1430,item:268967,19.63125,510.660662
22,M-1810,item:268091,22.499744,513.529457
23,M-1430,item:268967,21.639375,532.300037
23,M-1810,item:268091,22.499962,536.029419
24,M-1430,item:268967,22.306359,554.606396
24,M-1810,item:268091,22.499994,558.529413
25,M-1430,item:268967,22.461272,577.067668
25,M-1810,item:268091,22.499999,581.029412
26,M-1430,item:268967,22.492738,599.560406
26,M-1810,item:268091,22.5,603.529412
27,M-1430,item:268967,22.498693,622.059099
27,M-1810,item:268091,22.5,626.029412
28,M-1430,item:268967,22.499771,644.558871
28,M-1810,item:268091,19.63125,645.660662
29,M-1430,item:268967,22.499961,667.058831
29,M-1810,item:268091,21.639375,667.300037
