day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1728.1102,21313.9323,634.6972,4.06,24.3013,1389.9179
1,50.0,0.0,100.0,81.2,50.0,1951.2247,19213.8815,565.0403,4.06,24.7264,2012.4056
2,50.0,0.0,150.0,81.2,50.0,1984.6919,17113.8308,495.3835,4.06,24.7902,2051.7788
3,50.0,0.0,200.0,81.2,50.0,1989.712,15013.7801,425.7266,4.06,24.7997,2057.6848
4,50.0,0.0,250.0,81.2,50.0,1990.465,12913.7294,356.0698,4.06,24.8012,2058.5707
5,50.0,0.0,300.0,123.7,50.0,2026.7029,10813.6786,286.4129,4.06,24.8014,2058.7035
6,50.0,0.0,350.0,123.7,50.0,2011.7199,8817.1573,220.8973,4.06,22.4224,2144.6058
7,50.0,0.0,400.0,123.7,50.0,2024.4724,6834.7537,155.9463,4.06,24.4446,2173.7265
8,50.0,36.125,413.875,1764.2352,46.25,1792.7879,6728.751,156.0007,4.06,23.0197,1905.9892
9,50.0,36.125,427.75,1987.3497,49.4375,1957.2092,6614.6707,155.732,4.06,24.3379,2095.3182
10,50.0,36.125,441.625,2020.8169,49.9156,2011.1323,6499.3787,155.4149,4.06,24.7024,2158.141
11,50.0,36.125,455.5,2025.837,49.9873,2023.6098,6383.905,155.0904,4.06,24.7822,2172.7279
12,50.0,36.125,469.375,2026.59,49.9981,2026.1397,6268.404,154.7649,4.06,24.7979,2175.6905
13,50.0,36.125,483.25,2023.5154,49.9997,2023.9086,6152.8989,154.4393,4.06,24.8008,2176.251
14,50.0,36.125,497.125,2011.2418,46.25,2002.929,6059.943,153.8238,3.451,23.2412,2168.8525
15,50.0,36.125,511.0,2012.2207,49.4375,2020.7089,5944.6386,153.4545,3.9686,24.3966,2181.3685
16,50.0,33.4156,527.5844,1791.4283,46.7281,1827.0904,5840.4964,153.154,4.0463,23.2461,1957.9816
17,50.0,35.7186,541.8658,1957.0053,49.0311,1937.7085,5737.1005,152.8427,4.0579,24.1771,2084.8879
18,50.0,36.064,555.8017,2011.1017,49.7829,2000.1213,5633.5995,152.5211,4.0597,24.6241,2157.306
19,50.0,36.1159,569.6859,2020.4177,49.9567,2017.3775,5530.0502,152.1966,4.06,24.7585,2180.5651
20,50.0,36.1236,583.5623,2025.6609,49.9919,2024.8255,5426.4887,151.8715,4.06,24.792,2186.5717
21,50.0,36.1248,597.4375,2023.8368,49.9985,2024.0461,5322.9247,151.5463,4.06,24.7995,2187.9491
22,50.0,33.4156,614.0219,2015.1699,46.8122,2006.2907,5241.7533,151.2255,3.5423,23.4749,2180.5729
23,50.0,35.7186,628.3033,2012.1311,49.0437,2019.6753,5133.3094,150.9018,3.9047,24.2584,2184.85
24,50.0,33.7611,644.5422,1824.648,47.0755,1856.1475,5028.6363,150.6035,4.0251,23.3979,1992.2111
25,50.0,35.425,659.1172,1937.1688,48.7377,1925.4998,4925.066,150.295,4.053,24.0602,2071.0163
26,50.0,35.9682,673.1491,2000.0144,49.6262,1988.9319,4821.5571,149.9755,4.0587,24.5395,2144.367
27,50.0,36.0937,687.0554,2017.3576,49.9071,2013.1112,4718.0143,149.6518,4.0598,24.7257,2175.136
28,50.0,36.1191,700.9362,2024.4155,49.9792,2023.0684,4614.4557,149.327,4.06,24.782,2184.8565
29,50.0,36.1239,714.8123,2023.9236,49.9956,2023.1046,4514.6505,149.1521,4.06,24.7969,2190.3082
