day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,491747.2
0,SDC-1450,item:021081,3076366.587297
0,SDC-1450,item:693055,118308.4
0,SDC-1450,item:773474,105859.893927
0,SDC-VD0500655A,item:002612,175.7573
0,SDC-VD0505677A,item:099439,591.542
0,SDC-VD0508918A,item:730384,18914.034285
0,SDC-VD0514881A,item:016332,159.63504
0,SDC-VD0518684A,item:001893,824.523747
0,SDC-VD0519670A,item:001848,145.98126
0,SDC-VD0519670A,item:029313,178.30292
0,SDC-VD0520115A,item:708073,707.491943
0,SDC-VD0520132A,item:038005,0.0
0,SDC-VD0520132A,item:049371,334.12572
0,SDC-VD0525412A,item:333362,89217.142854
0,SDC-VD0901566A,item:338928,291400.0
0,SDC-VD0910216A,item:001893,631.056627
0,SDC-VD0910216A,item:002612,120.6022
0,SDC-VD0914320A,item:055703,177.732084
0,SDC-VD0914360C,item:338929,291400.0
0,SDC-VD0914690A,item:042342,5224410.359819
0,SDC-VD0949099A,item:021081,121753.767664
0,SDC-VD0951020A,item:001757,473.2336
0,SDC-VD0951020A,item:001848,270.656854
0,SDC-VD0960508A,item:021081,124186.790761
0,SDC-VD0964290A,item:055703,178.981752
0,SDC-VD0972460A,item:021081,124916.69769
0,SDC-VD0975221A,item:021081,124916.69769
0,SDC-VD0989480A,item:426331,3205.4
0,SDC-VD0990780A,item:002612,163.0292
0,SDC-VD0993480A,item:344135,89217.142854
0,SDC-VD1091642A,item:001893,792.279227
0,SDC-VD1091642A,item:002612,175.7573
0,SDC-VD1095770A,item:734545,692.64
0,SDC-VD1096202A,item:039668,178.30292
1,SDC-1450,item:007923,491747.2
1,SDC-1450,item:021081,3076181.058023
1,SDC-1450,item:693055,118308.4
1,SDC-1450,item:773474,105859.880439
1,SDC-VD0500655A,item:002612,175.7573
1,SDC-VD0505677A,item:099439,591.542
1,SDC-VD0508918A,item:730384,18914.034285
1,SDC-VD0514881A,item:016332,159.63504
1,SDC-VD0518684A,item:001893,824.523747
1,SDC-VD0519670A,item:001848,145.98126
1,SDC-VD0519670A,item:029313,178.30292
1,SDC-VD0520115A,item:708073,707.491943
1,SDC-VD0520132A,item:038005,0.0
1,SDC-VD0520132A,item:049371,331.27154
1,SDC-VD0525412A,item:333362,89217.142854
1,SDC-VD0901566A,item:338928,291400.0
1,SDC-VD0910216A,item:001893,631.056627
1,SDC-VD0910216A,item:002612,120.6022
1,SDC-VD0914320A,item:055703,177.732084
1,SDC-VD0914360C,item:338929,291400.0
1,SDC-VD0914690A,item:042342,5224410.359819
1,SDC-VD0949099A,item:021081,121753.663682
1,SDC-VD0951020A,item:001757,473.2336
1,SDC-VD0951020A,item:001848,270.656854
1,SDC-VD0960508A,item:021081,124186.761052
1,SDC-VD0964290A,item:055703,178.981752
1,SDC-VD0972460A,item:021081,124916.690263
1,SDC-VD0975221A,item:021081,124916.690263
1,SDC-VD0989480A,item:426331,3205.4
1,SDC-VD0990780A,item:002612,163.0292
1,SDC-VD0993480A,item:344135,89217.142854
1,SDC-VD1091642A,item:001893,792.279227
1,SDC-VD1091642A,item:002612,175.7573
1,SDC-VD1095770A,item:734545,692.64
1,SDC-VD1096202A,item:039668,178.30292
2,SDC-1450,item:007923,491747.2
2,SDC-1450,item:021081,3075959.849763
2,SDC-1450,item:693055,118308.4
2,SDC-1450,item:773474,105859.870679
2,SDC-VD0500655A,item:002612,175.7573
2,SDC-VD0505677A,item:099439,591.542
2,SDC-VD0508918A,item:730384,18914.034285
2,SDC-VD0514881A,item:016332,159.63504
2,SDC-VD0518684A,item:001893,824.523747
2,SDC-VD0519670A,item:001848,145.98126
2,SDC-VD0519670A,item:029313,178.30292
2,SDC-VD0520115A,item:708073,707.491943
2,SDC-VD0520132A,item:038005,0.0
2,SDC-VD0520132A,item:049371,328.41736
2,SDC-VD0525412A,item:333362,89217.142854
2,SDC-VD0901566A,item:338928,291400.0
2,SDC-VD0910216A,item:001893,631.056627
2,SDC-VD0910216A,item:002612,120.6022
2,SDC-VD0914320A,item:055703,177.732084
2,SDC-VD0914360C,item:338929,291400.0
2,SDC-VD0914690A,item:042342,5224410.359819
2,SDC-VD0949099A,item:021081,121753.58844
2,SDC-VD0951020A,item:001757,473.2336
2,SDC-VD0951020A,item:001848,270.656854
2,SDC-VD0960508A,item:021081,124186.739554
2,SDC-VD0964290A,item:055703,178.981752
2,SDC-VD0972460A,item:021081,124916.684889
2,SDC-VD0975221A,item:021081,124916.684889
2,SDC-VD0989480A,item:426331,3205.4
2,SDC-VD0990780A,item:002612,163.0292
2,SDC-VD0993480A,item:344135,89217.142854
2,SDC-VD1091642A,item:001893,792.279227
2,SDC-VD1091642A,item:002612,175.7573
2,SDC-VD1095770A,item:734545,692.64
2,SDC-VD1096202A,item:039668,178.30292
3,SDC-1450,item:007923,490266.112
3,SDC-1450,item:021081,3130700.25392
3,SDC-1450,item:693055,118123.264
3,SDC-1450,item:773474,99921.384499
3,SDC-VD0500655A,item:002612,175.711016
3,SDC-VD0505677A,item:099439,590.61632
3,SDC-VD0508918A,item:730384,18783.636114
3,SDC-VD0514881A,item:016332,159.412877
3,SDC-VD0518684A,item:001893,824.171988
3,SDC-VD0519670A,item:001848,145.592474
3,SDC-VD0519670A,item:029313,178.284406
3,SDC-VD0520115A,item:708073,702.614313
3,SDC-VD0520132A,item:038005,0.0
3,SDC-VD0520132A,item:049371,437.056077
3,SDC-VD0525412A,item:333362,88602.05714
3,SDC-VD0901566A,item:338928,290944.0
