day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,2734.66159,2734.66159
0,M-1810,item:268091,3505.571651,3505.571651
0,SDC-1450,item:773474,28190.979191,28190.979191
1,M-1430,item:268967,2597.218032,5331.879622
1,M-1810,item:268091,1520.0,5025.571651
1,SDC-1450,item:773474,28123.430736,56314.409927
2,M-1430,item:268967,2569.729321,7901.608943
2,M-1810,item:268091,1824.0,6849.571651
2,SDC-1450,item:773474,27500.316435,83814.726362
3,M-1430,item:268967,2564.231579,10465.840521
3,M-1810,item:268091,1884.8,8734.371651
3,SDC-1450,item:773474,26837.632674,110652.359035
4,M-1430,item:268967,2563.13203,13028.972551
4,M-1810,item:268091,1896.96,10631.331651
4,SDC-1450,item:773474,26288.955942,136941.314977
5,M-1430,item:268967,2562.91212,15591.884672
5,M-1810,item:268091,1899.392,12530.723651
5,SDC-1450,item:773474,25870.692797,162812.007774
6,M-1430,item:268967,2562.868138,18154.75281
6,M-1810,item:268091,1899.8784,14430.602051
6,SDC-1450,item:773474,25561.740365,188373.748139
7,M-1430,item:268967,5517.945056,23672.697867
7,M-1810,item:268091,4462.147109,18892.749159
7,SDC-1450,item:773474,25336.355635,213710.103774
8,M-1430,item:268967,5720.0,29392.697867
8,M-1810,item:268091,4974.600851,23867.35001
8,SDC-1450,item:773474,30878.848254,244588.952028
9,M-1430,item:268967,5720.0,35112.697867
9,M-1810,item:268091,5077.091599,28944.441609
9,SDC-1450,item:773474,36856.574519,281445.526548
10,M-1430,item:268967,5720.0,40832.697867
10,M-1810,item:268091,5097.589749,34042.031358
10,SDC-1450,item:773474,41725.80226,323171.328808
11,M-1430,item:268967,5720.0,46552.697867
11,M-1810,item:268091,5101.689379,39143.720736
11,SDC-1450,item:773474,45399.484748,368570.813556
12,M-1430,item:268967,5720.0,52272.697867
12,M-1810,item:268091,5102.509305,44246.230041
12,SDC-1450,item:773474,48099.321688,416670.135245
13,M-1430,item:268967,5720.0,57992.697867
13,M-1810,item:268091,5102.67329,49348.90333
13,SDC-1450,item:773474,50064.422131,466734.557375
14,M-1430,item:268967,4587.219115,62579.916982
14,M-1810,item:268091,6913.220372,56262.123703
14,SDC-1450,item:773474,51489.555185,518224.11256
15,M-1430,item:268967,4253.329537,66833.24652
15,M-1810,item:268091,7275.329789,63537.453491
15,SDC-1450,item:773474,50334.332151,568558.444712
16,M-1430,item:268967,4186.551622,71019.798141
16,M-1810,item:268091,7347.751672,70885.205164
16,SDC-1450,item:773474,48249.360564,616807.805275
17,M-1430,item:268967,4173.196039,75192.99418
17,M-1810,item:268091,7362.236049,78247.441212
17,SDC-1450,item:773474,46266.489194,663074.294469
18,M-1430,item:268967,4170.524922,79363.519102
18,M-1810,item:268091,7365.132924,85612.574137
18,SDC-1450,item:773474,44674.823264,707749.117733
19,M-1430,item:268967,4169.990699,83533.509801
19,M-1810,item:268091,7365.712299,92978.286436
19,SDC-1450,item:773474,43474.573832,751223.691564
20,M-1430,item:268967,4169.883854,87703.393655
20,M-1810,item:268091,7365.828174,100344.11461
20,SDC-1450,item:773474,42591.626031,793815.317596
21,M-1430,item:268967,3960.833914,91664.227569
21,M-1810,item:268091,10810.537064,111154.651674
21,SDC-1450,item:773474,41948.521806,835763.839401
22,M-1430,item:268967,3919.023926,95583.251495
22,M-1810,item:268091,11499.478842,122654.130515
22,SDC-1450,item:773474,41078.343496,876842.182898
23,M-1430,item:268967,3910.661928,99493.913424
23,M-1810,item:268091,11637.267197,134291.397712
23,SDC-1450,item:773474,40256.053303,917098.236201
24,M-1430,item:268967,3908.989529,103402.902953
24,M-1810,item:268091,11664.824868,145956.222581
24,SDC-1450,item:773474,39591.652227,956689.888428
25,M-1430,item:268967,3908.655049,107311.558002
25,M-1810,item:268091,11670.336402,157626.558983
25,SDC-1450,item:773474,39088.479879,995778.368307
26,M-1430,item:268967,3908.588153,111220.146155
26,M-1810,item:268091,11671.438709,169297.997692
26,SDC-1450,item:773474,38717.541885,1034495.910192
27,M-1430,item:268967,3908.574774,115128.720928
27,M-1810,item:268091,11671.659171,180969.656863
27,SDC-1450,item:773474,38447.109188,1072943.019381
28,M-1430,item:268967,4719.543526,119848.264454
28,M-1810,item:268091,10602.674691,191572.331554
28,SDC-1450,item:773474,38250.838256,1111193.857637
29,M-1430,item:268967,4881.737276,124730.001731
29,M-1810,item:268091,10388.877795,201961.209349
29,SDC-1450,item:773474,39674.588785,1150868.446422
30,M-1430,item:268967,4914.176026,129644.177757
30,M-1810,item:268091,10346.118416,212307.327765
30,SDC-1450,item:773474,41450.780484,1192319.226906
31,M-1430,item:268967,4920.663776,134564.841534
31,M-1810,item:268091,10337.56654,222644.894305
31,SDC-1450,item:773474,43004.859475,1235324.086381
32,M-1430,item:268967,4921.961326,139486.80286
32,M-1810,item:268091,10335.856165,232980.750469
32,SDC-1450,item:773474,44216.227605,1279540.313986
33,M-1430,item:268967,4922.220836,144409.023697
33,M-1810,item:268091,10335.51409,243316.264559
33,SDC-1450,item:773474,45119.285433,1324659.599419
34,M-1430,item:268967,4922.272738,149331.296435
34,M-1810,item:268091,10335.445675,253651.710234
34,SDC-1450,item:773474,45780.570734,1370440.170152
35,M-1430,item:268967,4052.340262,153383.636697
35,M-1810,item:268091,9622.746278,263274.456512
35,SDC-1450,item:773474,46261.344689,1416701.514842
36,M-1430,item:268967,3878.353767,157261.990464
36,M-1810,item:268091,9480.206399,272754.662911
36,SDC-1450,item:773474,44930.071037,1461631.585878
37,M-1430,item:268967,3843.556468,161105.546932
37,M-1810,item:268091,9451.698423,282206.361334
37,SDC-1450,item:773474,43166.684483,1504798.270361
38,M-1430,item:268967,3836.597008,164942.14394
38,M-1810,item:268091,9445.996828,291652.358162
38,SDC-1450,item:773474,41602.361039,1546400.6314
39,M-1430,item:268967,3835.205116,168777.349056
39,M-1810,item:268091,9444.856509,301097.21467
39,SDC-1450,item:773474,40377.27658,1586777.90798
40,M-1430,item:268967,3834.926738,172612.275794
40,M-1810,item:268091,9444.628445,310541.843115
40,SDC-1450,item:773474,39462.369146,1626240.277126
41,M-1430,item:268967,3834.871062,176447.146855
41,M-1810,item:268091,9444.582832,319986.425948
41,SDC-1450,item:773474,38791.94107,1665032.218197
42,M-1430,item:268967,5720.0,182167.146855
42,M-1810,item:268091,7537.145138,327523.571085
42,SDC-1450,item:773474,38304.386975,1703336.605172
43,M-1430,item:268967,5720.0,187887.146855
43,M-1810,item:268091,7155.657599,334679.228684
43,SDC-1450,item:773474,41590.996153,1744927.601325
44,M-1430,item:268967,5720.0,193607.146855
44,M-1810,item:268091,7079.360091,341758.588775
44,SDC-1450,item:773474,44975.11615,1789902.717474
45,M-1430,item:268967,5720.0,199327.146855
45,M-1810,item:268091,7064.100589,348822.689364
45,SDC-1450,item:773474,47701.914311,1837604.631786
46,M-1430,item:268967,5720.0,205047.146855
46,M-1810,item:268091,7061.048689,355883.738053
46,SDC-1450,item:773474,49751.888473,1887356.520259
47,M-1430,item:268967,5720.0,210767.146855
47,M-1810,item:268091,7060.438309,362944.176362
47,SDC-1450,item:773474,51256.503003,1938613.023262
48,M-1430,item:268967,5720.0,216487.146855
48,M-1810,item:268091,7060.316233,370004.492595
48,SDC-1450,item:773474,52351.1227,1990964.145963
